Date,FRC
2013-01-17,35.869999
2013-01-18,35.889998999999996
2013-01-22,36.080002
2013-01-23,35.939999
2013-01-24,35.599998
2013-01-25,35.34
2013-01-28,35.349998
2013-01-29,35.419998
2013-01-30,35.580002
2013-01-31,35.689999
2013-02-01,36.299999
2013-02-04,36.150002
2013-02-05,36.73
2013-02-06,37.09
2013-02-07,36.810001
2013-02-08,36.93
2013-02-11,37.259997999999996
2013-02-12,37.189999
2013-02-13,37.169998
2013-02-14,37.240002000000004
2013-02-15,37.110001000000004
2013-02-19,37.049999
2013-02-20,36.68
2013-02-21,36.400002
2013-02-22,36.91
2013-02-25,36.060001
2013-02-26,36.419998
2013-02-27,36.450001
2013-02-28,36.450001
2013-03-01,36.860001000000004
2013-03-04,37.009997999999996
2013-03-05,37.169998
2013-03-06,37.389998999999996
2013-03-07,37.860001000000004
2013-03-08,38.43
2013-03-11,37.900002
2013-03-12,37.82
2013-03-13,37.919998
2013-03-14,38.09
2013-03-15,38.09
2013-03-18,37.75
2013-03-19,37.889998999999996
2013-03-20,38.060001
2013-03-21,38.099998
2013-03-22,38.16
2013-03-25,38.43
2013-03-26,38.400002
2013-03-27,38.490002000000004
2013-03-28,38.619999
2013-04-01,37.869999
2013-04-02,37.73
2013-04-03,37.419998
2013-04-04,37.400002
2013-04-05,37.490002000000004
2013-04-08,37.790001000000004
2013-04-09,39.470001
2013-04-10,39.84
2013-04-11,40.029999
2013-04-12,40.0
2013-04-15,38.220001
2013-04-16,37.84
2013-04-17,36.779999
2013-04-18,36.689999
2013-04-19,36.889998999999996
2013-04-22,37.029999
2013-04-23,37.59
2013-04-24,37.599998
2013-04-25,37.790001000000004
2013-04-26,37.5
2013-04-29,37.52
2013-04-30,37.98
2013-05-01,37.41
2013-05-02,37.990002000000004
2013-05-03,38.220001
2013-05-06,38.299999
2013-05-07,38.939999
2013-05-08,39.09
2013-05-09,39.34
2013-05-10,39.380001
2013-05-13,39.490002000000004
2013-05-14,39.84
2013-05-15,40.029999
2013-05-16,39.810001
2013-05-17,39.740002000000004
2013-05-20,39.93
2013-05-21,39.009997999999996
2013-05-22,38.540001000000004
2013-05-23,38.259997999999996
2013-05-24,38.580002
2013-05-28,38.369999
2013-05-29,37.540001000000004
2013-05-30,37.709998999999996
2013-05-31,37.16
2013-06-03,37.599998
2013-06-04,36.900002
2013-06-05,37.43
2013-06-06,37.939999
2013-06-07,38.369999
2013-06-10,38.700001
2013-06-11,38.060001
2013-06-12,38.240002000000004
2013-06-13,38.73
2013-06-14,38.560001
2013-06-17,38.740002000000004
2013-06-18,38.509997999999996
2013-06-19,38.09
2013-06-20,37.700001
2013-06-21,37.849998
2013-06-24,37.369999
2013-06-25,37.869999
2013-06-26,37.900002
2013-06-27,38.439999
2013-06-28,38.48
2013-07-01,38.759997999999996
2013-07-02,39.41
2013-07-03,39.110001000000004
2013-07-05,38.380001
2013-07-08,39.150002
2013-07-09,39.639998999999996
2013-07-10,39.549999
2013-07-11,39.369999
2013-07-12,40.009997999999996
2013-07-15,40.150002
2013-07-16,39.700001
2013-07-17,41.799999
2013-07-18,43.700001
2013-07-19,43.200001
2013-07-22,42.490002000000004
2013-07-23,43.110001000000004
2013-07-24,42.98
2013-07-25,42.939999
2013-07-26,42.610001000000004
2013-07-29,42.110001000000004
2013-07-30,42.740002000000004
2013-07-31,43.189999
2013-08-01,44.59
2013-08-02,44.349998
2013-08-05,44.470001
2013-08-06,44.509997999999996
2013-08-07,44.580002
2013-08-08,44.400002
2013-08-09,44.669998
2013-08-12,44.549999
2013-08-13,44.450001
2013-08-14,44.48
2013-08-15,44.029999
2013-08-16,43.830002
2013-08-19,43.709998999999996
2013-08-20,44.52
2013-08-21,44.630001
2013-08-22,45.709998999999996
2013-08-23,45.91
2013-08-26,45.349998
2013-08-27,43.82
2013-08-28,44.209998999999996
2013-08-29,44.490002000000004
2013-08-30,44.279999
2013-09-03,44.490002000000004
2013-09-04,44.950001
2013-09-05,45.349998
2013-09-06,44.900002
2013-09-09,45.360001000000004
2013-09-10,45.75
2013-09-11,45.529999
2013-09-12,45.209998999999996
2013-09-13,45.549999
2013-09-16,46.0
2013-09-17,46.779999
2013-09-18,46.900002
2013-09-19,46.0
2013-09-20,47.029999
2013-09-23,46.68
2013-09-24,47.049999
2013-09-25,46.759997999999996
2013-09-26,46.650002
2013-09-27,46.720001
2013-09-30,46.630001
2013-10-01,47.290001000000004
2013-10-02,47.040001000000004
2013-10-03,46.599998
2013-10-04,47.0
2013-10-07,46.57
2013-10-08,45.84
2013-10-09,46.130001
2013-10-10,47.009997999999996
2013-10-11,47.639998999999996
2013-10-14,47.68
2013-10-15,47.380001
2013-10-16,48.400002
2013-10-17,49.349998
2013-10-18,49.779999
2013-10-21,50.400002
2013-10-22,50.119999
2013-10-23,49.880001
2013-10-24,50.540001000000004
2013-10-25,50.970001
2013-10-28,51.639998999999996
2013-10-29,51.549999
2013-10-30,51.369999
2013-10-31,51.07
2013-11-01,50.66
2013-11-04,50.360001000000004
2013-11-05,50.220001
2013-11-06,50.459998999999996
2013-11-07,49.919998
2013-11-08,50.990002000000004
2013-11-11,50.43
2013-11-12,49.790001000000004
2013-11-13,49.41
2013-11-14,49.73
2013-11-15,49.41
2013-11-18,49.23
2013-11-19,48.380001
2013-11-20,49.400002
2013-11-21,50.740002000000004
2013-11-22,51.080002
2013-11-25,51.060001
2013-11-26,50.950001
2013-11-27,51.41
2013-11-29,51.099998
2013-12-02,51.419998
2013-12-03,50.299999
2013-12-04,50.369999
2013-12-05,50.150002
2013-12-06,50.93
2013-12-09,51.130001
2013-12-10,50.900002
2013-12-11,50.709998999999996
2013-12-12,51.009997999999996
2013-12-13,50.919998
2013-12-16,51.529999
2013-12-17,51.029999
2013-12-18,51.880001
2013-12-19,51.52
2013-12-20,52.060001
2013-12-23,52.400002
2013-12-24,52.5
2013-12-26,52.310001
2013-12-27,52.720001
2013-12-30,52.349998
2013-12-31,52.349998
2014-01-02,51.380001
2014-01-03,51.57
2014-01-06,51.32
2014-01-07,50.669998
2014-01-08,51.080002
2014-01-09,51.5
2014-01-10,51.98
2014-01-13,51.57
2014-01-14,51.619999
2014-01-15,52.169998
2014-01-16,51.689999
2014-01-17,51.220001
2014-01-21,51.830002
2014-01-22,52.099998
2014-01-23,51.529999
2014-01-24,50.709998999999996
2014-01-27,49.34
2014-01-28,49.450001
2014-01-29,48.959998999999996
2014-01-30,49.43
2014-01-31,48.529999
2014-02-03,47.650002
2014-02-04,49.0
2014-02-05,48.560001
2014-02-06,49.169998
2014-02-07,49.389998999999996
2014-02-10,49.369999
2014-02-11,50.169998
2014-02-12,49.799999
2014-02-13,49.439999
2014-02-14,50.279999
2014-02-18,50.849998
2014-02-19,49.639998999999996
2014-02-20,49.91
2014-02-21,50.450001
2014-02-24,51.639998999999996
2014-02-25,51.150002
2014-02-26,51.25
2014-02-27,51.639998999999996
2014-02-28,51.970001
2014-03-03,51.580002
2014-03-04,52.580002
2014-03-05,52.580002
2014-03-06,52.290001000000004
2014-03-07,52.919998
2014-03-10,52.66
2014-03-11,52.689999
2014-03-12,52.560001
2014-03-13,52.650002
2014-03-14,52.779999
2014-03-17,53.220001
2014-03-18,53.630001
2014-03-19,54.290001000000004
2014-03-20,55.290001000000004
2014-03-21,55.380001
2014-03-24,55.18
2014-03-25,54.900002
2014-03-26,54.580002
2014-03-27,53.029999
2014-03-28,53.75
2014-03-31,53.990002000000004
2014-04-01,54.790001000000004
2014-04-02,54.939999
2014-04-03,54.869999
2014-04-04,54.650002
2014-04-07,53.299999
2014-04-08,54.400002
2014-04-09,54.549999
2014-04-10,53.220001
2014-04-11,52.459998999999996
2014-04-14,52.360001000000004
2014-04-15,52.360001000000004
2014-04-16,52.07
2014-04-17,52.080002
2014-04-21,51.900002
2014-04-22,51.919998
2014-04-23,51.91
2014-04-24,51.610001000000004
2014-04-25,51.18
2014-04-28,50.459998999999996
2014-04-29,50.419998
2014-04-30,50.759997999999996
2014-05-01,51.23
2014-05-02,51.889998999999996
2014-05-05,51.389998999999996
2014-05-06,50.84
2014-05-07,50.869999
2014-05-08,50.490002000000004
2014-05-09,50.84
2014-05-12,51.549999
2014-05-13,50.75
2014-05-14,49.959998999999996
2014-05-15,49.939999
2014-05-16,50.57
2014-05-19,51.200001
2014-05-20,50.59
2014-05-21,51.060001
2014-05-22,51.02
2014-05-23,51.450001
2014-05-27,51.91
2014-05-28,51.080002
2014-05-29,50.860001000000004
2014-05-30,50.860001000000004
2014-06-02,51.509997999999996
2014-06-03,52.310001
2014-06-04,53.07
2014-06-05,53.27
2014-06-06,54.139998999999996
2014-06-09,54.419998
2014-06-10,54.369999
2014-06-11,53.439999
2014-06-12,53.389998999999996
2014-06-13,53.259997999999996
2014-06-16,53.619999
2014-06-17,54.34
2014-06-18,54.720001
2014-06-19,54.619999
2014-06-20,54.91
2014-06-23,55.099998
2014-06-24,54.34
2014-06-25,54.52
2014-06-26,55.130001
2014-06-27,54.52
2014-06-30,54.990002000000004
2014-07-01,55.459998999999996
2014-07-02,55.07
2014-07-03,55.619999
2014-07-07,55.259997999999996
2014-07-08,54.66
2014-07-09,54.73
2014-07-10,54.23
2014-07-11,54.34
2014-07-14,54.220001
2014-07-15,55.0
2014-07-16,46.700001
2014-07-17,47.759997999999996
2014-07-18,47.32
2014-07-21,46.810001
2014-07-22,45.77
2014-07-23,46.040001000000004
2014-07-24,46.82
2014-07-25,47.32
2014-07-28,46.950001
2014-07-29,47.029999
2014-07-30,46.830002
2014-07-31,46.720001
2014-08-01,47.0
2014-08-04,47.240002000000004
2014-08-05,47.0
2014-08-06,47.150002
2014-08-07,46.189999
2014-08-08,46.400002
2014-08-11,46.310001
2014-08-12,45.959998999999996
2014-08-13,45.959998999999996
2014-08-14,47.119999
2014-08-15,48.450001
2014-08-18,48.16
2014-08-19,48.400002
2014-08-20,48.330002
2014-08-21,48.720001
2014-08-22,48.869999
2014-08-25,48.970001
2014-08-26,49.16
2014-08-27,48.810001
2014-08-28,48.439999
2014-08-29,48.900002
