Date,MXIM
1990-04-06,0.648438
1990-04-09,0.632813
1990-04-10,0.648438
1990-04-11,0.65625
1990-04-12,0.65625
1990-04-16,0.65625
1990-04-17,0.671875
1990-04-18,0.664063
1990-04-19,0.664063
1990-04-20,0.664063
1990-04-23,0.664063
1990-04-24,0.648438
1990-04-25,0.664063
1990-04-26,0.664063
1990-04-27,0.648438
1990-04-30,0.664063
1990-05-01,0.648438
1990-05-02,0.648438
1990-05-03,0.664063
1990-05-04,0.671875
1990-05-07,0.65625
1990-05-08,0.6875
1990-05-09,0.671875
1990-05-10,0.695313
1990-05-11,0.679688
1990-05-14,0.695313
1990-05-15,0.695313
1990-05-16,0.6875
1990-05-17,0.710938
1990-05-18,0.71875
1990-05-21,0.75
1990-05-22,0.804688
1990-05-23,0.796875
1990-05-24,0.804688
1990-05-25,0.789063
1990-05-29,0.765625
1990-05-30,0.765625
1990-05-31,0.75
1990-06-01,0.757813
1990-06-04,0.765625
1990-06-05,0.765625
1990-06-06,0.75
1990-06-07,0.75
1990-06-08,0.75
1990-06-11,0.742188
1990-06-12,0.757813
1990-06-13,0.75
1990-06-14,0.75
1990-06-15,0.75
1990-06-18,0.734375
1990-06-19,0.75
1990-06-20,0.734375
1990-06-21,0.734375
1990-06-22,0.742188
1990-06-25,0.757813
1990-06-26,0.757813
1990-06-27,0.742188
1990-06-28,0.742188
1990-06-29,0.757813
1990-07-02,0.742188
1990-07-03,0.742188
1990-07-05,0.742188
1990-07-06,0.75
1990-07-09,0.757813
1990-07-10,0.757813
1990-07-11,0.773438
1990-07-12,0.773438
1990-07-13,0.804688
1990-07-16,0.8125
1990-07-17,0.820313
1990-07-18,0.796875
1990-07-19,0.789063
1990-07-20,0.789063
1990-07-23,0.742188
1990-07-24,0.71875
1990-07-25,0.71875
1990-07-26,0.703125
1990-07-27,0.6875
1990-07-30,0.6875
1990-07-31,0.6875
1990-08-01,0.6875
1990-08-02,0.6875
1990-08-03,0.609375
1990-08-06,0.609375
1990-08-07,0.609375
1990-08-08,0.625
1990-08-09,0.632813
1990-08-10,0.632813
1990-08-13,0.632813
1990-08-14,0.648438
1990-08-15,0.671875
1990-08-16,0.640625
