Date,LRCX
1986-07-24,1.527778
1986-07-25,1.583333
1986-07-28,1.611111
1986-07-29,1.583333
1986-07-30,1.555556
1986-07-31,1.555556
1986-08-01,1.527778
1986-08-04,1.5
1986-08-05,1.5
1986-08-06,1.555556
1986-08-07,1.5
1986-08-08,1.555556
1986-08-11,1.555556
1986-08-12,1.583333
1986-08-13,1.611111
1986-08-14,1.611111
1986-08-15,1.666667
1986-08-18,1.638889
1986-08-19,1.666667
1986-08-20,1.7222220000000001
1986-08-21,1.75
1986-08-22,1.8055560000000002
1986-08-25,1.75
1986-08-26,1.7777779999999999
1986-08-27,1.7777779999999999
1986-08-28,1.7777779999999999
1986-08-29,1.7777779999999999
1986-09-02,1.6944439999999998
1986-09-03,1.638889
1986-09-04,1.6944439999999998
1986-09-05,1.555556
1986-09-08,1.555556
1986-09-09,1.5
1986-09-10,1.444444
1986-09-11,1.194444
1986-09-12,1.166667
1986-09-15,1.111111
1986-09-16,1.138889
1986-09-17,1.111111
1986-09-18,1.111111
1986-09-19,1.111111
1986-09-22,1.111111
1986-09-23,1.055556
1986-09-24,0.8888889999999999
1986-09-25,1.027778
1986-09-26,1.027778
1986-09-29,1.055556
1986-09-30,1.166667
1986-10-01,1.138889
1986-10-02,1.138889
1986-10-03,1.083333
1986-10-06,1.111111
1986-10-07,1.138889
1986-10-08,1.194444
1986-10-09,1.222222
1986-10-10,1.305556
1986-10-13,1.277778
1986-10-14,1.222222
1986-10-15,1.222222
1986-10-16,1.277778
1986-10-17,1.305556
1986-10-20,1.25
1986-10-21,1.222222
1986-10-22,1.222222
1986-10-23,1.166667
1986-10-24,1.194444
1986-10-27,1.166667
1986-10-28,1.111111
1986-10-29,1.111111
1986-10-30,1.138889
1986-10-31,1.138889
1986-11-03,1.111111
1986-11-04,1.055556
1986-11-05,1.083333
1986-11-06,1.111111
1986-11-07,1.083333
1986-11-10,1.111111
1986-11-11,1.083333
1986-11-12,1.138889
1986-11-13,1.138889
1986-11-14,1.166667
1986-11-17,1.166667
1986-11-18,1.138889
1986-11-19,1.138889
1986-11-20,1.111111
1986-11-21,1.194444
1986-11-24,1.166667
1986-11-25,1.111111
1986-11-26,1.138889
1986-11-28,1.138889
1986-12-01,1.111111
1986-12-02,1.083333
1986-12-03,1.027778
1986-12-04,1.083333
1986-12-05,1.083333
1986-12-08,1.027778
1986-12-09,1.0
1986-12-10,1.027778
1986-12-11,1.027778
1986-12-12,1.055556
1986-12-15,1.027778
1986-12-16,1.027778
1986-12-17,1.055556
1986-12-18,1.055556
1986-12-19,1.027778
1986-12-22,0.9722219999999999
1986-12-23,1.0
1986-12-24,1.0
1986-12-26,0.9722219999999999
1986-12-29,1.0
1986-12-30,1.0
1986-12-31,1.0
1987-01-02,1.027778
1987-01-05,0.9722219999999999
1987-01-06,1.027778
1987-01-07,1.277778
1987-01-08,1.25
1987-01-09,1.305556
1987-01-12,1.361111
1987-01-13,1.361111
1987-01-14,1.472222
1987-01-15,1.472222
1987-01-16,1.5
1987-01-19,1.527778
1987-01-20,1.527778
1987-01-21,1.555556
1987-01-22,1.472222
1987-01-23,1.444444
1987-01-26,1.472222
1987-01-27,1.444444
1987-01-28,1.472222
1987-01-29,1.416667
1987-01-30,1.444444
1987-02-02,1.388889
1987-02-03,1.5
1987-02-04,1.527778
1987-02-05,1.555556
1987-02-06,1.5
1987-02-09,1.472222
1987-02-10,1.388889
1987-02-11,1.361111
1987-02-12,1.388889
1987-02-13,1.444444
1987-02-17,1.527778
1987-02-18,1.555556
1987-02-19,1.527778
1987-02-20,1.527778
1987-02-23,1.472222
1987-02-24,1.444444
1987-02-25,1.472222
1987-02-26,1.611111
1987-02-27,1.666667
1987-03-02,1.7222220000000001
1987-03-03,1.6944439999999998
1987-03-04,1.75
1987-03-05,1.611111
1987-03-06,1.583333
1987-03-09,1.611111
1987-03-10,1.611111
1987-03-11,1.611111
1987-03-12,1.638889
1987-03-13,1.583333
1987-03-16,1.611111
1987-03-17,1.611111
1987-03-18,1.611111
1987-03-19,1.666667
1987-03-20,1.666667
1987-03-23,1.7222220000000001
1987-03-24,1.7222220000000001
1987-03-25,1.7222220000000001
1987-03-26,1.6944439999999998
1987-03-27,1.6944439999999998
1987-03-30,1.666667
1987-03-31,1.666667
1987-04-01,1.583333
1987-04-02,1.638889
1987-04-03,1.611111
1987-04-06,1.6944439999999998
1987-04-07,1.7222220000000001
1987-04-08,1.666667
1987-04-09,1.638889
1987-04-10,1.611111
1987-04-13,1.638889
1987-04-14,1.611111
1987-04-15,1.611111
1987-04-16,1.7222220000000001
1987-04-20,1.6944439999999998
1987-04-21,1.638889
1987-04-22,1.7777779999999999
1987-04-23,1.6944439999999998
1987-04-24,1.75
1987-04-27,1.6944439999999998
1987-04-28,1.9444439999999998
1987-04-29,1.9722220000000001
1987-04-30,1.9444439999999998
1987-05-01,1.916667
1987-05-04,1.916667
1987-05-05,1.916667
1987-05-06,1.9722220000000001
1987-05-07,1.9444439999999998
1987-05-08,2.055556
1987-05-11,2.055556
1987-05-12,2.083333
1987-05-13,2.138889
1987-05-14,2.055556
1987-05-15,1.9722220000000001
1987-05-18,1.9444439999999998
1987-05-19,1.9722220000000001
1987-05-20,1.9722220000000001
1987-05-21,1.9722220000000001
1987-05-22,1.916667
1987-05-26,1.9444439999999998
1987-05-27,1.861111
1987-05-28,1.888889
1987-05-29,1.861111
1987-06-01,1.833333
1987-06-02,1.8055560000000002
1987-06-03,1.8055560000000002
1987-06-04,1.833333
1987-06-05,1.8055560000000002
1987-06-08,1.7777779999999999
1987-06-09,1.8055560000000002
