Date,NLSN
2017-06-26,38.759997999999996
2017-06-27,38.939999
2017-06-28,38.98
2017-06-29,38.57
2017-06-30,38.66
2017-07-03,38.450001
2017-07-05,37.970001
2017-07-06,37.490002000000004
2017-07-07,37.5
2017-07-10,37.5
2017-07-11,37.16
2017-07-12,37.869999
2017-07-13,38.27
2017-07-14,38.650002
2017-07-17,39.009997999999996
2017-07-18,38.990002000000004
2017-07-19,38.59
2017-07-20,38.91
2017-07-21,39.419998
2017-07-24,39.830002
2017-07-25,38.619999
2017-07-26,39.889998999999996
2017-07-27,41.209998999999996
2017-07-28,41.799999
2017-07-31,43.009997999999996
2017-08-01,42.959998999999996
2017-08-02,43.25
2017-08-03,42.990002000000004
2017-08-04,42.369999
2017-08-07,43.080002
2017-08-08,41.939999
2017-08-09,42.380001
2017-08-10,41.169998
2017-08-11,40.790001000000004
2017-08-14,40.900002
2017-08-15,40.939999
2017-08-16,40.470001
2017-08-17,40.009997999999996
2017-08-18,39.66
2017-08-21,39.349998
2017-08-22,39.700001
2017-08-23,39.060001
2017-08-24,39.27
2017-08-25,39.490002000000004
2017-08-28,39.360001000000004
2017-08-29,39.07
2017-08-30,38.889998999999996
2017-08-31,38.849998
2017-09-01,39.509997999999996
2017-09-05,38.810001
2017-09-06,38.98
2017-09-07,38.549999
2017-09-08,38.48
2017-09-11,39.0
2017-09-12,39.5
2017-09-13,39.049999
2017-09-14,39.369999
2017-09-15,39.849998
2017-09-18,40.25
2017-09-19,40.169998
2017-09-20,40.419998
2017-09-21,40.52
2017-09-22,40.889998999999996
2017-09-25,41.130001
2017-09-26,41.110001000000004
2017-09-27,40.990002000000004
2017-09-28,41.27
2017-09-29,41.450001
2017-10-02,41.450001
2017-10-03,41.330002
2017-10-04,41.5
2017-10-05,41.02
2017-10-06,41.150002
2017-10-09,40.389998999999996
2017-10-10,40.18
2017-10-11,39.720001
2017-10-12,39.869999
2017-10-13,39.700001
2017-10-16,39.619999
2017-10-17,40.0
2017-10-18,41.689999
2017-10-19,41.310001
2017-10-20,41.759997999999996
2017-10-23,41.380001
2017-10-24,41.130001
2017-10-25,38.560001
2017-10-26,39.27
2017-10-27,38.57
2017-10-30,37.66
2017-10-31,37.07
2017-11-01,36.16
2017-11-02,36.810001
2017-11-03,36.84
2017-11-06,37.380001
2017-11-07,38.0
2017-11-08,37.540001000000004
2017-11-09,37.099998
2017-11-10,36.619999
2017-11-13,36.169998
2017-11-14,35.970001
2017-11-15,36.07
2017-11-16,35.669998
2017-11-17,36.380001
2017-11-20,35.849998
2017-11-21,36.0
2017-11-22,36.59
2017-11-24,36.509997999999996
2017-11-27,36.580002
2017-11-28,37.450001
2017-11-29,36.32
2017-11-30,36.720001
2017-12-01,36.23
2017-12-04,37.610001000000004
2017-12-05,37.830002
2017-12-06,37.959998999999996
2017-12-07,38.110001000000004
2017-12-08,37.950001
2017-12-11,37.889998999999996
2017-12-12,37.93
2017-12-13,36.950001
2017-12-14,36.599998
2017-12-15,37.220001
2017-12-18,37.529999
2017-12-19,37.5
2017-12-20,36.220001
2017-12-21,36.450001
2017-12-22,36.540001000000004
2017-12-26,36.209998999999996
2017-12-27,35.860001000000004
2017-12-28,36.0
2017-12-29,36.400002
2018-01-02,36.66
2018-01-03,35.990002000000004
2018-01-04,35.790001000000004
2018-01-05,36.0
2018-01-08,36.16
2018-01-09,36.330002
2018-01-10,36.259997999999996
2018-01-11,36.299999
2018-01-12,37.459998999999996
2018-01-16,37.099998
2018-01-17,36.290001000000004
2018-01-18,36.560001
2018-01-19,36.709998999999996
2018-01-22,37.099998
2018-01-23,37.080002
2018-01-24,37.529999
2018-01-25,37.200001
2018-01-26,37.189999
2018-01-29,37.029999
2018-01-30,36.52
2018-01-31,37.41
2018-02-01,38.509997999999996
2018-02-02,37.490002000000004
2018-02-05,36.080002
2018-02-06,36.860001000000004
2018-02-07,37.560001
2018-02-08,33.900002
2018-02-09,33.700001
2018-02-12,33.599998
2018-02-13,33.060001
2018-02-14,32.98
2018-02-15,33.599998
2018-02-16,33.68
2018-02-20,33.110001000000004
2018-02-21,32.52
2018-02-22,32.009997999999996
2018-02-23,33.259997999999996
2018-02-26,33.790001000000004
2018-02-27,33.16
2018-02-28,32.630001
2018-03-01,32.299999
2018-03-02,32.68
2018-03-05,33.240002000000004
2018-03-06,33.279999
2018-03-07,32.700001
2018-03-08,32.790001000000004
2018-03-09,33.41
2018-03-12,33.919998
2018-03-13,33.5
2018-03-14,33.540001000000004
2018-03-15,33.470001
2018-03-16,33.5
2018-03-19,32.68
2018-03-20,32.41
2018-03-21,32.439999
2018-03-22,31.82
2018-03-23,31.51
2018-03-26,32.029999
2018-03-27,32.09
2018-03-28,32.27
2018-03-29,31.790001
2018-04-02,30.83
2018-04-03,31.09
2018-04-04,31.35
2018-04-05,32.209998999999996
2018-04-06,31.58
2018-04-09,31.959999
2018-04-10,32.5
2018-04-11,32.349998
2018-04-12,32.490002000000004
2018-04-13,32.34
2018-04-16,33.650002
2018-04-17,34.139998999999996
2018-04-18,34.41
2018-04-19,34.700001
2018-04-20,33.040001000000004
2018-04-23,33.549999
2018-04-24,33.5
2018-04-25,34.349998
2018-04-26,31.91
2018-04-27,32.049999
2018-04-30,31.450001
2018-05-01,30.74
2018-05-02,30.209999
2018-05-03,30.139999
2018-05-04,30.190001000000002
2018-05-07,30.1
2018-05-08,29.879998999999998
2018-05-09,30.209999
2018-05-10,30.299999
2018-05-11,30.17
2018-05-14,30.52
2018-05-15,30.74
2018-05-16,31.25
2018-05-17,31.25
2018-05-18,31.09
2018-05-21,31.1
2018-05-22,31.16
2018-05-23,30.450001
2018-05-24,30.48
2018-05-25,30.0
2018-05-29,29.74
2018-05-30,30.09
2018-05-31,30.17
2018-06-01,29.83
2018-06-04,29.99
2018-06-05,30.0
2018-06-06,30.76
2018-06-07,30.950001
2018-06-08,31.24
2018-06-11,31.309998999999998
2018-06-12,31.459999
2018-06-13,31.530001000000002
2018-06-14,31.530001000000002
2018-06-15,31.389999
2018-06-18,30.969998999999998
2018-06-19,30.65
2018-06-20,30.74
2018-06-21,30.9
2018-06-22,31.120001000000002
2018-06-25,30.969998999999998
