Date,DFS
2010-03-26,15.39
2010-03-29,15.35
2010-03-30,15.12
2010-03-31,14.9
2010-04-01,15.34
2010-04-05,15.58
2010-04-06,15.38
2010-04-07,15.17
2010-04-08,15.41
2010-04-09,15.5
2010-04-12,15.6
2010-04-13,15.6
2010-04-14,16.040001
2010-04-15,16.120001000000002
2010-04-16,15.36
2010-04-19,15.67
2010-04-20,15.86
2010-04-21,15.66
2010-04-22,15.82
2010-04-23,16.26
2010-04-26,16.09
2010-04-27,15.37
2010-04-28,15.44
2010-04-29,16.040001
2010-04-30,15.46
2010-05-03,16.1
2010-05-04,15.34
2010-05-05,14.94
2010-05-06,14.41
2010-05-07,14.08
2010-05-10,14.87
2010-05-11,14.9
2010-05-12,15.21
2010-05-13,14.79
2010-05-14,14.24
2010-05-17,14.21
2010-05-18,13.46
2010-05-19,13.6
2010-05-20,13.04
2010-05-21,13.53
2010-05-24,13.16
2010-05-25,13.19
2010-05-26,13.17
2010-05-27,13.7
2010-05-28,13.45
2010-06-01,13.18
2010-06-02,13.47
2010-06-03,13.52
2010-06-04,12.86
2010-06-07,12.43
2010-06-08,12.64
2010-06-09,12.57
2010-06-10,13.6
2010-06-11,13.66
2010-06-14,13.4
2010-06-15,13.92
2010-06-16,14.08
2010-06-17,14.04
2010-06-18,14.0
2010-06-21,13.99
2010-06-22,13.84
2010-06-23,14.01
2010-06-24,14.08
2010-06-25,14.52
2010-06-28,14.76
2010-06-29,13.8
2010-06-30,13.98
2010-07-01,13.92
2010-07-02,13.84
2010-07-06,13.9
2010-07-07,14.57
2010-07-08,14.63
2010-07-09,14.85
2010-07-12,14.65
2010-07-13,15.27
2010-07-14,15.18
2010-07-15,15.21
2010-07-16,14.5
2010-07-19,14.49
2010-07-20,14.83
2010-07-21,14.27
2010-07-22,14.99
2010-07-23,15.06
2010-07-26,15.49
2010-07-27,15.24
2010-07-28,15.04
2010-07-29,15.1
2010-07-30,15.27
2010-08-02,15.76
2010-08-03,15.54
2010-08-04,15.6
2010-08-05,15.43
2010-08-06,15.31
2010-08-09,15.57
2010-08-10,15.33
2010-08-11,14.75
2010-08-12,14.71
2010-08-13,14.68
2010-08-16,14.68
2010-08-17,14.79
2010-08-18,14.77
2010-08-19,14.4
2010-08-20,14.27
2010-08-23,14.27
2010-08-24,13.97
2010-08-25,13.91
2010-08-26,13.96
2010-08-27,14.77
2010-08-30,14.32
2010-08-31,14.51
2010-09-01,15.16
2010-09-02,15.54
2010-09-03,15.86
2010-09-07,15.31
2010-09-08,15.62
2010-09-09,15.71
2010-09-10,15.9
2010-09-13,16.059998999999998
2010-09-14,15.68
2010-09-15,15.79
2010-09-16,15.79
2010-09-17,15.57
2010-09-20,16.16
2010-09-21,15.96
2010-09-22,16.299999
2010-09-23,16.5
2010-09-24,16.77
2010-09-27,16.49
2010-09-28,16.51
2010-09-29,16.58
2010-09-30,16.68
2010-10-01,16.58
2010-10-04,16.309998999999998
2010-10-05,16.879998999999998
2010-10-06,17.0
2010-10-07,16.780001000000002
2010-10-08,16.950001
2010-10-11,16.940001000000002
2010-10-12,17.09
2010-10-13,17.68
2010-10-14,17.66
2010-10-15,17.1
2010-10-18,17.200001
2010-10-19,17.32
2010-10-20,17.540001
2010-10-21,17.549999
2010-10-22,17.41
2010-10-25,17.52
2010-10-26,17.66
2010-10-27,17.51
2010-10-28,17.450001
2010-10-29,17.65
2010-11-01,18.030001000000002
2010-11-02,18.040001
2010-11-03,18.139999
2010-11-04,18.74
2010-11-05,18.91
2010-11-08,18.940001000000002
2010-11-09,18.469998999999998
2010-11-10,18.719998999999998
2010-11-11,19.09
2010-11-12,18.6
2010-11-15,18.870001000000002
2010-11-16,18.1
2010-11-17,18.35
2010-11-18,18.379998999999998
2010-11-19,18.4
2010-11-22,18.43
2010-11-23,18.209999
2010-11-24,18.6
2010-11-26,18.42
2010-11-29,18.42
2010-11-30,18.280001000000002
2010-12-01,18.860001
2010-12-02,18.940001000000002
2010-12-03,18.84
2010-12-06,19.040001
2010-12-07,18.469998999999998
2010-12-08,18.83
2010-12-09,18.77
2010-12-10,19.27
2010-12-13,19.1
2010-12-14,19.15
2010-12-15,19.129998999999998
2010-12-16,18.530001000000002
2010-12-17,18.02
2010-12-20,18.27
2010-12-21,18.23
2010-12-22,18.200001
2010-12-23,18.459999
2010-12-27,18.58
2010-12-28,18.559998999999998
2010-12-29,18.57
2010-12-30,18.17
2010-12-31,18.530001000000002
2011-01-03,18.83
2011-01-04,18.620001000000002
2011-01-05,19.17
2011-01-06,18.99
2011-01-07,18.9
2011-01-10,19.120001000000002
2011-01-11,19.24
2011-01-12,19.9
2011-01-13,20.040001
2011-01-14,20.379998999999998
2011-01-18,20.74
2011-01-19,20.42
2011-01-20,20.34
2011-01-21,20.469998999999998
2011-01-24,20.42
2011-01-25,20.450001
2011-01-26,20.73
2011-01-27,21.040001
2011-01-28,20.459999
2011-01-31,20.59
2011-02-01,20.889999
2011-02-02,20.59
2011-02-03,20.549999
2011-02-04,20.610001
2011-02-07,21.129998999999998
2011-02-08,21.469998999999998
2011-02-09,21.110001
2011-02-10,21.6
2011-02-11,21.719998999999998
2011-02-14,21.799999
2011-02-15,21.620001000000002
2011-02-16,21.98
2011-02-17,21.99
2011-02-18,21.860001
2011-02-22,21.1
2011-02-23,21.0
2011-02-24,21.610001
2011-02-25,21.82
2011-02-28,21.75
2011-03-01,21.120001000000002
2011-03-02,21.049999
2011-03-03,21.450001
2011-03-04,21.610001
2011-03-07,21.540001
2011-03-08,22.27
2011-03-09,21.889999
2011-03-10,21.700001
2011-03-11,21.83
2011-03-14,21.92
2011-03-15,21.73
2011-03-16,21.17
2011-03-17,21.620001000000002
2011-03-18,22.0
2011-03-21,22.639999
2011-03-22,22.25
2011-03-23,23.440001000000002
2011-03-24,23.860001
2011-03-25,24.0
2011-03-28,24.360001
2011-03-29,24.49
2011-03-30,24.98
2011-03-31,24.120001000000002
2011-04-01,24.15
2011-04-04,24.639999
2011-04-05,24.6
2011-04-06,24.42
2011-04-07,24.040001
2011-04-08,23.85
2011-04-11,24.120001000000002
2011-04-12,24.059998999999998
2011-04-13,24.23
2011-04-14,23.950001
2011-04-15,24.280001000000002
2011-04-18,23.85
2011-04-19,24.370001000000002
2011-04-20,24.92
2011-04-21,24.76
2011-04-25,24.5
2011-04-26,24.74
2011-04-27,24.5
2011-04-28,24.67
2011-04-29,24.84
2011-05-02,24.67
2011-05-03,24.75
2011-05-04,24.049999
2011-05-05,24.01
2011-05-06,24.290001
2011-05-09,24.610001
2011-05-10,24.58
2011-05-11,24.18
2011-05-12,24.200001
2011-05-13,24.24
2011-05-16,25.07
2011-05-17,25.26
2011-05-18,25.33
2011-05-19,25.68
2011-05-20,24.92
2011-05-23,24.43
2011-05-24,23.549999
2011-05-25,23.549999
2011-05-26,23.799999
2011-05-27,23.77
2011-05-31,23.84
2011-06-01,23.43
2011-06-02,23.41
2011-06-03,23.200001
2011-06-06,22.43
2011-06-07,22.790001
2011-06-08,22.66
2011-06-09,22.82
2011-06-10,22.52
2011-06-13,22.66
2011-06-14,23.18
2011-06-15,22.950001
2011-06-16,23.27
2011-06-17,23.09
2011-06-20,23.620001000000002
2011-06-21,24.040001
2011-06-22,23.59
2011-06-23,23.889999
2011-06-24,24.790001
2011-06-27,25.209999
2011-06-28,26.139999
2011-06-29,26.610001
2011-06-30,26.75
2011-07-01,26.549999
2011-07-05,26.809998999999998
2011-07-06,27.040001
2011-07-07,27.52
2011-07-08,27.120001000000002
2011-07-11,26.700001
2011-07-12,26.450001
2011-07-13,26.139999
2011-07-14,25.42
2011-07-15,25.43
2011-07-18,25.799999
2011-07-19,25.809998999999998
2011-07-20,26.059998999999998
2011-07-21,26.48
2011-07-22,25.969998999999998
2011-07-25,26.17
2011-07-26,26.08
2011-07-27,25.51
2011-07-28,25.77
2011-07-29,25.610001
2011-08-01,25.6
2011-08-02,24.690001000000002
2011-08-03,24.879998999999998
2011-08-04,23.440001000000002
2011-08-05,22.83
2011-08-08,20.73
2011-08-09,22.629998999999998
2011-08-10,21.879998999999998
2011-08-11,23.5
2011-08-12,23.33
2011-08-15,23.870001000000002
2011-08-16,23.700001
2011-08-17,24.0
2011-08-18,22.82
2011-08-19,22.91
2011-08-22,23.25
2011-08-23,23.9
2011-08-24,24.83
2011-08-25,24.4
2011-08-26,24.790001
2011-08-29,25.110001
2011-08-30,24.92
2011-08-31,25.16
2011-09-01,24.84
2011-09-02,24.219998999999998
2011-09-06,23.889999
2011-09-07,24.809998999999998
2011-09-08,24.48
2011-09-09,23.92
2011-09-12,25.030001000000002
2011-09-13,25.08
2011-09-14,25.799999
2011-09-15,26.190001000000002
2011-09-16,26.469998999999998
2011-09-19,26.27
2011-09-20,26.790001
2011-09-21,25.34
2011-09-22,25.25
2011-09-23,25.35
2011-09-26,26.030001000000002
2011-09-27,24.860001
2011-09-28,23.879998999999998
2011-09-29,23.6
2011-09-30,22.940001000000002
2011-10-03,22.26
2011-10-04,22.860001
2011-10-05,22.99
2011-10-06,23.99
2011-10-07,23.41
2011-10-10,24.52
2011-10-11,24.950001
2011-10-12,25.43
2011-10-13,24.24
2011-10-14,24.129998999999998
2011-10-17,22.870001000000002
2011-10-18,23.049999
2011-10-19,22.09
2011-10-20,22.469998999999998
2011-10-21,23.15
2011-10-24,24.450001
2011-10-25,22.92
2011-10-26,23.299999
2011-10-27,24.52
2011-10-28,24.48
2011-10-31,23.559998999999998
2011-11-01,22.84
2011-11-02,23.57
2011-11-03,24.610001
2011-11-04,24.5
2011-11-07,24.719998999999998
2011-11-08,24.559998999999998
2011-11-09,23.65
2011-11-10,23.74
2011-11-11,24.77
2011-11-14,24.559998999999998
2011-11-15,24.91
2011-11-16,23.719998999999998
2011-11-17,22.690001000000002
2011-11-18,23.030001000000002
2011-11-21,22.860001
2011-11-22,23.209999
2011-11-23,22.91
2011-11-25,22.959999
2011-11-28,23.16
2011-11-29,22.74
2011-11-30,23.82
2011-12-01,24.040001
2011-12-02,24.209999
2011-12-05,24.51
2011-12-06,24.379998999999998
2011-12-07,24.530001000000002
2011-12-08,23.969998999999998
2011-12-09,24.74
2011-12-12,24.209999
2011-12-13,23.879998999999998
2011-12-14,23.82
2011-12-15,23.07
2011-12-16,24.23
2011-12-19,23.57
2011-12-20,24.219998999999998
2011-12-21,24.17
2011-12-22,24.299999
2011-12-23,24.49
2011-12-27,24.190001000000002
2011-12-28,23.950001
2011-12-29,24.139999
2011-12-30,24.0
2012-01-03,24.209999
2012-01-04,24.309998999999998
2012-01-05,24.52
2012-01-06,24.299999
2012-01-09,24.4
2012-01-10,25.65
2012-01-11,25.860001
2012-01-12,26.33
2012-01-13,26.51
2012-01-17,27.0
2012-01-18,26.92
2012-01-19,27.129998999999998
2012-01-20,27.389999
2012-01-23,27.74
2012-01-24,27.83
2012-01-25,27.450001
2012-01-26,27.959999
2012-01-27,27.139999
2012-01-30,27.290001
2012-01-31,27.18
2012-02-01,27.719998999999998
2012-02-02,27.75
2012-02-03,28.219998999999998
2012-02-06,28.280001000000002
2012-02-07,28.940001000000002
2012-02-08,28.780001000000002
2012-02-09,28.889999
2012-02-10,28.18
2012-02-13,28.68
2012-02-14,28.48
2012-02-15,29.01
2012-02-16,29.58
2012-02-17,29.540001
2012-02-21,29.690001000000002
2012-02-22,29.719998999999998
2012-02-23,30.040001
2012-02-24,30.190001000000002
2012-02-27,29.84
2012-02-28,30.370001000000002
2012-02-29,30.01
2012-03-01,30.67
2012-03-02,30.530001000000002
2012-03-05,30.49
2012-03-06,29.93
2012-03-07,30.389999
2012-03-08,30.379998999999998
2012-03-09,30.610001
2012-03-12,30.780001000000002
2012-03-13,32.02
2012-03-14,32.040001000000004
2012-03-15,32.02
2012-03-16,32.049999
2012-03-19,32.48
2012-03-20,31.860001
2012-03-21,31.639999
2012-03-22,32.490002000000004
2012-03-23,33.830002
2012-03-26,33.830002
2012-03-27,33.810001
2012-03-28,33.16
2012-03-29,32.950001
2012-03-30,33.34
