Date,SLB
1985-06-27,9.46875
1985-06-28,9.65625
1985-07-01,9.71875
1985-07-02,9.6875
1985-07-03,9.5625
1985-07-05,9.5625
1985-07-08,9.5625
1985-07-09,9.5
1985-07-10,9.5
1985-07-11,9.5
1985-07-12,9.46875
1985-07-15,9.28125
1985-07-16,9.25
1985-07-17,9.3125
1985-07-18,9.4375
1985-07-19,9.5
1985-07-22,9.375
1985-07-23,9.4375
1985-07-24,9.53125
1985-07-25,9.71875
1985-07-26,9.875
1985-07-29,9.65625
1985-07-30,9.84375
1985-07-31,9.6875
1985-08-01,9.625
1985-08-02,9.4375
1985-08-05,9.40625
1985-08-06,9.21875
1985-08-07,9.34375
1985-08-08,9.25
1985-08-09,9.28125
1985-08-12,9.4375
1985-08-13,9.28125
1985-08-14,9.25
1985-08-15,9.21875
1985-08-16,9.21875
1985-08-19,9.1875
1985-08-20,9.25
1985-08-21,9.25
1985-08-22,9.1875
1985-08-23,9.125
1985-08-26,9.21875
1985-08-27,9.28125
1985-08-28,9.34375
1985-08-29,9.28125
1985-08-30,9.15625
1985-09-03,9.09375
1985-09-04,8.96875
1985-09-05,9.03125
1985-09-06,9.15625
1985-09-09,9.03125
1985-09-10,9.125
1985-09-11,8.96875
1985-09-12,8.71875
1985-09-13,8.46875
1985-09-16,8.5625
1985-09-17,8.46875
1985-09-18,8.46875
1985-09-19,8.625
1985-09-20,8.4375
1985-09-23,8.625
1985-09-24,8.5
1985-09-25,8.34375
1985-09-26,8.625
1985-09-30,8.5625
1985-10-01,9.09375
1985-10-02,8.71875
1985-10-03,8.8125
1985-10-04,8.6875
1985-10-07,8.5
1985-10-08,8.5625
1985-10-09,8.59375
1985-10-10,8.40625
1985-10-11,8.53125
1985-10-14,8.5625
1985-10-15,8.53125
1985-10-16,8.71875
1985-10-17,8.40625
1985-10-18,8.34375
1985-10-21,8.3125
1985-10-22,8.3125
1985-10-23,8.28125
1985-10-24,8.25
1985-10-25,8.25
1985-10-28,8.25
1985-10-29,8.3125
1985-10-30,8.40625
1985-10-31,8.3125
1985-11-01,8.5
1985-11-04,8.59375
1985-11-05,8.625
1985-11-06,8.5
1985-11-07,8.625
1985-11-08,8.6875
1985-11-11,8.71875
1985-11-12,8.8125
1985-11-13,8.75
1985-11-14,8.75
1985-11-15,8.625
1985-11-18,8.53125
1985-11-19,8.46875
1985-11-20,8.4375
1985-11-21,8.5
1985-11-22,8.875
1985-11-25,9.1875
1985-11-26,9.0625
1985-11-27,9.0625
1985-11-29,8.9375
1985-12-02,8.75
1985-12-03,8.625
1985-12-04,8.8125
1985-12-05,8.71875
1985-12-06,8.84375
1985-12-09,8.4375
1985-12-10,8.375
1985-12-11,8.25
1985-12-12,8.78125
1985-12-13,8.8125
1985-12-16,8.8125
1985-12-17,8.53125
1985-12-18,8.625
1985-12-19,8.65625
1985-12-20,8.75
1985-12-23,8.75
1985-12-24,8.71875
1985-12-26,8.90625
1985-12-27,8.90625
1985-12-30,9.03125
1985-12-31,9.125
1986-01-02,9.0
1986-01-03,9.0625
1986-01-06,9.15625
1986-01-07,9.40625
1986-01-08,9.25
1986-01-09,9.125
1986-01-10,9.1875
1986-01-13,8.8125
1986-01-14,8.84375
1986-01-15,8.84375
1986-01-16,8.71875
1986-01-17,8.53125
1986-01-20,8.625
1986-01-21,8.375
1986-01-22,8.15625
1986-01-23,8.125
1986-01-24,8.15625
1986-01-27,8.03125
1986-01-28,8.0625
1986-01-29,7.9375
1986-01-30,8.0
1986-01-31,8.34375
1986-02-03,8.0625
1986-02-04,7.71875
1986-02-05,7.875
1986-02-06,7.96875
1986-02-07,7.96875
1986-02-10,8.03125
1986-02-11,7.78125
1986-02-12,7.8125
1986-02-13,7.59375
1986-02-14,7.5
1986-02-18,7.46875
1986-02-19,7.3125
1986-02-20,7.5625
1986-02-21,7.4375
1986-02-24,7.5625
1986-02-25,7.6875
1986-02-26,7.625
1986-02-27,7.625
1986-02-28,7.5
1986-03-03,7.46875
1986-03-04,7.40625
1986-03-05,7.46875
1986-03-06,7.4375
1986-03-07,7.28125
1986-03-10,7.4375
1986-03-11,7.875
1986-03-12,7.8125
1986-03-13,7.6875
1986-03-14,7.8125
1986-03-17,7.875
1986-03-18,7.8125
1986-03-19,7.9375
1986-03-20,7.96875
1986-03-21,7.75
1986-03-24,7.75
1986-03-25,7.78125
1986-03-26,7.9375
1986-03-27,8.03125
1986-03-31,7.9375
1986-04-01,7.84375
1986-04-02,7.875
1986-04-03,7.90625
1986-04-04,7.875
1986-04-07,7.875
1986-04-08,7.96875
1986-04-09,7.875
1986-04-10,7.9375
1986-04-11,7.875
1986-04-14,7.8125
1986-04-15,7.75
1986-04-16,7.65625
1986-04-17,7.59375
1986-04-18,7.5
1986-04-21,7.6875
1986-04-22,7.5
1986-04-23,7.53125
1986-04-24,7.59375
1986-04-25,7.59375
1986-04-28,7.625
1986-04-29,7.625
1986-04-30,7.5
1986-05-01,7.5
1986-05-02,7.53125
1986-05-05,7.59375
1986-05-06,7.5625
1986-05-07,7.5625
1986-05-08,7.71875
1986-05-09,7.78125
1986-05-12,7.90625
1986-05-13,7.75
1986-05-14,7.5625
1986-05-15,7.5
1986-05-16,7.53125
1986-05-19,7.5625
1986-05-20,7.65625
1986-05-21,7.625
1986-05-22,7.6875
1986-05-23,7.65625
1986-05-27,7.84375
1986-05-28,7.84375
1986-05-29,7.9375
1986-05-30,8.09375
1986-06-02,8.15625
1986-06-03,8.09375
1986-06-04,7.875
1986-06-05,8.0
1986-06-06,8.0
1986-06-09,7.78125
1986-06-10,7.5625
1986-06-11,7.65625
1986-06-12,7.75
1986-06-13,7.9375
1986-06-16,7.875
1986-06-17,7.90625
1986-06-18,8.0625
1986-06-19,8.0625
1986-06-20,8.09375
1986-06-23,8.15625
1986-06-24,8.21875
1986-06-25,8.3125
1986-06-26,8.21875
1986-06-27,8.5
1986-06-30,8.59375
1986-07-01,8.46875
1986-07-02,8.53125
1986-07-03,8.53125
1986-07-07,8.28125
1986-07-08,8.40625
1986-07-09,8.53125
1986-07-10,8.5625
1986-07-11,8.46875
1986-07-14,8.3125
1986-07-15,7.75
1986-07-16,7.84375
1986-07-17,7.65625
1986-07-18,7.5625
1986-07-21,7.625
1986-07-22,7.5
1986-07-23,7.46875
1986-07-24,7.34375
1986-07-25,7.46875
1986-07-28,7.25
1986-07-29,7.1875
1986-07-30,7.3125
1986-07-31,7.1875
1986-08-01,7.03125
1986-08-04,7.3125
1986-08-05,7.6875
1986-08-06,7.625
1986-08-07,7.53125
1986-08-08,7.40625
1986-08-11,7.40625
1986-08-12,7.40625
1986-08-13,7.53125
1986-08-14,7.9375
1986-08-15,8.09375
1986-08-18,7.9375
1986-08-19,7.875
1986-08-20,7.96875
1986-08-21,8.0
1986-08-22,8.03125
1986-08-25,8.125
1986-08-26,8.40625
1986-08-27,8.4375
1986-08-28,8.40625
1986-08-29,8.5
1986-09-02,8.34375
1986-09-03,8.34375
1986-09-04,8.5625
1986-09-05,8.625
1986-09-08,8.4375
1986-09-09,8.3125
1986-09-10,8.46875
1986-09-11,8.125
1986-09-12,7.90625
1986-09-15,7.96875
1986-09-16,7.84375
1986-09-17,7.65625
1986-09-18,8.0625
