Date,JWN
1982-06-08,3.875
1982-06-09,3.625
1982-06-10,3.71875
1982-06-11,3.8125
1982-06-14,3.78125
1982-06-15,3.78125
1982-06-16,3.78125
1982-06-17,3.71875
1982-06-18,3.71875
1982-06-21,3.71875
1982-06-22,3.71875
1982-06-23,3.71875
1982-06-24,3.78125
1982-06-25,3.75
1982-06-28,3.78125
1982-06-29,3.78125
1982-06-30,3.8125
1982-07-01,3.8125
1982-07-02,3.8125
1982-07-06,3.875
1982-07-07,3.875
1982-07-08,3.84375
1982-07-09,3.875
1982-07-12,3.90625
1982-07-13,4.0625
1982-07-14,4.09375
1982-07-15,4.125
1982-07-16,4.21875
1982-07-19,4.25
1982-07-20,4.25
1982-07-21,4.25
1982-07-22,4.34375
1982-07-23,4.21875
1982-07-26,4.25
1982-07-27,4.25
1982-07-28,4.1875
1982-07-29,4.15625
1982-07-30,4.125
1982-08-02,4.15625
1982-08-03,4.09375
1982-08-04,4.09375
1982-08-05,4.03125
1982-08-06,3.9375
1982-08-09,3.875
1982-08-10,3.875
1982-08-11,3.875
1982-08-12,3.875
1982-08-13,3.8125
1982-08-16,3.8125
1982-08-17,3.90625
1982-08-18,4.125
1982-08-19,4.1875
1982-08-20,4.34375
1982-08-23,4.53125
1982-08-24,4.46875
1982-08-25,4.5
1982-08-26,4.5625
1982-08-27,4.5625
1982-08-30,4.71875
1982-08-31,4.71875
1982-09-01,4.71875
1982-09-02,4.8125
1982-09-03,4.8125
1982-09-07,4.6875
1982-09-08,4.6875
1982-09-09,4.78125
1982-09-10,4.78125
1982-09-13,4.6875
1982-09-14,4.71875
1982-09-15,4.6875
1982-09-16,4.78125
1982-09-17,4.75
1982-09-20,4.71875
1982-09-21,4.71875
1982-09-22,4.6875
1982-09-23,4.65625
1982-09-24,4.65625
1982-09-27,4.65625
1982-09-28,4.6875
1982-09-29,4.6875
1982-09-30,4.75
1982-10-01,4.75
1982-10-04,4.71875
1982-10-05,4.75
1982-10-06,4.78125
1982-10-07,4.96875
1982-10-08,5.21875
1982-10-11,5.1875
1982-10-12,5.21875
1982-10-13,5.8125
1982-10-14,5.6875
1982-10-15,5.59375
1982-10-18,5.4375
1982-10-19,5.5625
1982-10-20,5.59375
1982-10-21,5.53125
1982-10-22,5.53125
1982-10-25,5.40625
1982-10-26,5.40625
1982-10-27,5.4375
1982-10-28,5.46875
1982-10-29,5.5
1982-11-01,5.5625
1982-11-02,5.90625
1982-11-03,6.03125
1982-11-04,6.125
1982-11-05,6.125
1982-11-08,6.28125
1982-11-09,6.3125
1982-11-10,6.15625
1982-11-11,6.1875
1982-11-12,6.125
1982-11-15,5.875
1982-11-16,5.625
1982-11-17,5.5625
1982-11-18,5.65625
1982-11-19,5.8125
1982-11-22,5.75
1982-11-23,5.78125
1982-11-24,5.78125
1982-11-26,5.78125
1982-11-29,5.71875
1982-11-30,5.78125
1982-12-01,5.84375
1982-12-02,5.90625
1982-12-03,5.96875
1982-12-06,6.0
1982-12-07,6.15625
1982-12-08,6.15625
1982-12-09,6.0625
1982-12-10,6.03125
1982-12-13,6.09375
1982-12-14,6.125
1982-12-15,6.09375
