Date,MSCI
2009-12-09,32.25
2009-12-10,32.509997999999996
2009-12-11,32.990002000000004
2009-12-14,33.610001000000004
2009-12-15,33.09
2009-12-16,33.360001000000004
2009-12-17,32.68
2009-12-18,32.419998
2009-12-21,31.9
2009-12-22,32.07
2009-12-23,32.119999
2009-12-24,32.400002
2009-12-28,32.43
2009-12-29,32.119999
2009-12-30,32.150002
2009-12-31,31.799999
2010-01-04,31.98
2010-01-05,32.099998
2010-01-06,31.23
2010-01-07,33.380001
2010-01-08,34.5
2010-01-11,34.209998999999996
2010-01-12,33.23
2010-01-13,33.349998
2010-01-14,33.099998
2010-01-15,32.139998999999996
2010-01-19,32.5
2010-01-20,32.080002
2010-01-21,31.07
2010-01-22,30.450001
2010-01-25,30.389999
2010-01-26,29.469998999999998
2010-01-27,29.9
2010-01-28,29.690001000000002
2010-01-29,29.559998999999998
2010-02-01,29.91
2010-02-02,29.74
2010-02-03,29.450001
2010-02-04,28.59
2010-02-05,28.780001000000002
2010-02-08,27.879998999999998
2010-02-09,28.360001
2010-02-10,28.530001000000002
2010-02-11,29.200001
2010-02-12,29.17
2010-02-16,29.58
2010-02-17,29.08
2010-02-18,28.700001
2010-02-19,29.290001
2010-02-22,29.360001
2010-02-23,29.459999
2010-02-24,29.959999
2010-02-25,29.84
2010-02-26,29.98
2010-03-01,28.59
2010-03-02,32.610001000000004
2010-03-03,32.119999
2010-03-04,32.869999
2010-03-05,33.619999
2010-03-08,34.009997999999996
2010-03-09,33.580002
2010-03-10,33.580002
2010-03-11,34.32
2010-03-12,34.860001000000004
2010-03-15,34.549999
2010-03-16,34.919998
2010-03-17,35.369999
2010-03-18,35.220001
2010-03-19,35.07
2010-03-22,35.720001
2010-03-23,36.189999
2010-03-24,35.93
2010-03-25,35.84
2010-03-26,35.759997999999996
2010-03-29,35.790001000000004
2010-03-30,36.150002
2010-03-31,36.099998
2010-04-01,36.470001
2010-04-05,36.98
2010-04-06,37.369999
2010-04-07,37.310001
2010-04-08,36.189999
2010-04-09,36.619999
2010-04-12,37.099998
2010-04-13,37.02
2010-04-14,37.110001000000004
2010-04-15,37.959998999999996
2010-04-16,37.25
2010-04-19,36.490002000000004
2010-04-20,37.389998999999996
2010-04-21,35.990002000000004
2010-04-22,36.439999
2010-04-23,36.700001
2010-04-26,36.959998999999996
2010-04-27,35.959998999999996
2010-04-28,35.41
2010-04-29,35.459998999999996
2010-04-30,34.650002
2010-05-03,34.759997999999996
2010-05-04,34.18
2010-05-05,33.990002000000004
2010-05-06,32.98
2010-05-07,32.43
2010-05-10,33.75
2010-05-11,33.700001
2010-05-12,34.240002000000004
2010-05-13,33.950001
2010-05-14,32.790001000000004
2010-05-17,32.709998999999996
2010-05-18,32.32
2010-05-19,31.459999
2010-05-20,29.75
2010-05-21,30.200001
2010-05-24,29.75
2010-05-25,29.030001000000002
2010-05-26,28.690001000000002
2010-05-27,29.690001000000002
2010-05-28,29.65
2010-06-01,29.42
2010-06-02,30.139999
2010-06-03,29.540001
2010-06-04,28.799999
2010-06-07,28.15
2010-06-08,28.280001000000002
2010-06-09,28.059998999999998
2010-06-10,29.120001000000002
2010-06-11,29.690001000000002
2010-06-14,29.25
2010-06-15,29.540001
2010-06-16,30.120001000000002
2010-06-17,29.9
2010-06-18,29.969998999999998
2010-06-21,30.120001000000002
2010-06-22,30.059998999999998
2010-06-23,29.49
2010-06-24,28.629998999999998
2010-06-25,29.09
2010-06-28,29.040001
2010-06-29,27.23
2010-06-30,27.4
2010-07-01,27.34
2010-07-02,27.77
2010-07-06,28.360001
2010-07-07,29.629998999999998
2010-07-08,30.16
2010-07-09,30.66
2010-07-12,30.68
2010-07-13,31.02
2010-07-14,31.49
2010-07-15,31.530001000000002
2010-07-16,31.01
2010-07-19,30.799999
2010-07-20,31.120001000000002
2010-07-21,30.540001
2010-07-22,31.59
2010-07-23,33.130001
2010-07-26,33.049999
2010-07-27,33.009997999999996
2010-07-28,32.73
2010-07-29,31.799999
2010-07-30,32.27
2010-08-02,33.25
2010-08-03,33.209998999999996
2010-08-04,33.389998999999996
2010-08-05,32.93
2010-08-06,32.799999
2010-08-09,33.150002
2010-08-10,32.709998999999996
2010-08-11,31.15
2010-08-12,31.280001000000002
2010-08-13,31.23
2010-08-16,31.48
2010-08-17,31.51
2010-08-18,32.200001
2010-08-19,31.120001000000002
2010-08-20,30.9
2010-08-23,30.639999
2010-08-24,29.719998999999998
2010-08-25,29.809998999999998
2010-08-26,30.02
2010-08-27,30.49
2010-08-30,29.67
2010-08-31,29.9
2010-09-01,30.82
2010-09-02,31.540001
2010-09-03,32.650002
2010-09-07,32.369999
2010-09-08,32.950001
2010-09-09,33.34
2010-09-10,33.0
2010-09-13,34.380001
2010-09-14,34.389998999999996
2010-09-15,34.110001000000004
2010-09-16,34.509997999999996
2010-09-17,34.75
2010-09-20,35.16
2010-09-21,34.880001
2010-09-22,34.400002
2010-09-23,33.669998
2010-09-24,34.169998
2010-09-27,33.599998
2010-09-28,34.389998999999996
2010-09-29,34.48
2010-09-30,33.209998999999996
2010-10-01,34.330002
2010-10-04,33.869999
2010-10-05,34.389998999999996
2010-10-06,33.98
2010-10-07,34.619999
2010-10-08,34.91
2010-10-11,34.950001
2010-10-12,35.16
2010-10-13,35.639998999999996
2010-10-14,35.450001
2010-10-15,35.880001
2010-10-18,36.950001
2010-10-19,37.16
2010-10-20,37.23
2010-10-21,36.84
2010-10-22,36.650002
2010-10-25,36.290001000000004
2010-10-26,35.830002
2010-10-27,35.75
2010-10-28,35.77
2010-10-29,35.849998
2010-11-01,35.73
2010-11-02,36.009997999999996
2010-11-03,35.919998
2010-11-04,36.799999
2010-11-05,37.07
2010-11-08,37.32
2010-11-09,36.799999
2010-11-10,37.439999
2010-11-11,37.099998
2010-11-12,35.950001
2010-11-15,35.880001
2010-11-16,35.060001
2010-11-17,34.75
2010-11-18,35.369999
2010-11-19,35.259997999999996
2010-11-22,35.200001
2010-11-23,34.299999
2010-11-24,35.16
2010-11-26,34.919998
2010-11-29,34.779999
2010-11-30,34.060001
2010-12-01,35.209998999999996
2010-12-02,36.369999
2010-12-03,36.599998
2010-12-06,36.380001
2010-12-07,36.860001000000004
2010-12-08,37.130001
2010-12-09,36.740002000000004
2010-12-10,36.560001
2010-12-13,36.700001
2010-12-14,37.02
2010-12-15,36.799999
2010-12-16,37.07
2010-12-17,37.630001
2010-12-20,37.439999
2010-12-21,38.529999
2010-12-22,39.93
2010-12-23,40.0
2010-12-27,40.02
2010-12-28,39.529999
2010-12-29,39.790001000000004
2010-12-30,39.41
2010-12-31,38.959998999999996
2011-01-03,39.450001
2011-01-04,38.799999
2011-01-05,39.32
2011-01-06,39.02
2011-01-07,38.759997999999996
2011-01-10,38.639998999999996
2011-01-11,39.07
2011-01-12,39.720001
2011-01-13,36.75
2011-01-14,36.419998
2011-01-18,36.290001000000004
2011-01-19,35.240002000000004
2011-01-20,35.119999
2011-01-21,35.5
2011-01-24,35.5
2011-01-25,35.150002
2011-01-26,34.900002
2011-01-27,34.830002
2011-01-28,34.0
2011-01-31,34.23
2011-02-01,34.639998999999996
2011-02-02,34.669998
2011-02-03,34.110001000000004
2011-02-04,34.799999
2011-02-07,36.09
2011-02-08,35.799999
2011-02-09,35.950001
2011-02-10,36.0
2011-02-11,36.110001000000004
2011-02-14,36.27
2011-02-15,36.009997999999996
2011-02-16,36.220001
2011-02-17,36.389998999999996
2011-02-18,36.93
2011-02-22,36.389998999999996
2011-02-23,35.959998999999996
2011-02-24,36.0
2011-02-25,36.099998
2011-02-28,35.5
2011-03-01,34.790001000000004
2011-03-02,35.009997999999996
2011-03-03,35.73
2011-03-04,35.25
2011-03-07,34.959998999999996
2011-03-08,35.459998999999996
2011-03-09,35.5
2011-03-10,34.59
2011-03-11,35.25
2011-03-14,35.040001000000004
2011-03-15,34.240002000000004
2011-03-16,33.91
2011-03-17,34.32
2011-03-18,35.060001
2011-03-21,35.75
2011-03-22,35.540001000000004
2011-03-23,35.650002
2011-03-24,36.009997999999996
2011-03-25,36.560001
2011-03-28,36.459998999999996
2011-03-29,36.700001
2011-03-30,36.27
2011-03-31,36.82
2011-04-01,38.18
2011-04-04,38.220001
2011-04-05,37.459998999999996
2011-04-06,37.59
2011-04-07,37.419998
2011-04-08,36.639998999999996
2011-04-11,36.439999
2011-04-12,36.169998
2011-04-13,35.73
2011-04-14,34.950001
2011-04-15,34.830002
2011-04-18,33.860001000000004
2011-04-19,34.009997999999996
2011-04-20,33.950001
2011-04-21,34.060001
2011-04-25,34.259997999999996
2011-04-26,34.599998
2011-04-27,35.259997999999996
2011-04-28,35.43
2011-04-29,35.470001
2011-05-02,35.360001000000004
2011-05-03,34.970001
2011-05-04,35.77
2011-05-05,36.610001000000004
2011-05-06,37.419998
2011-05-09,37.630001
2011-05-10,38.0
2011-05-11,37.799999
2011-05-12,37.950001
2011-05-13,37.0
2011-05-16,36.689999
2011-05-17,36.279999
2011-05-18,37.110001000000004
2011-05-19,36.790001000000004
2011-05-20,36.560001
2011-05-23,36.279999
2011-05-24,36.34
2011-05-25,36.610001000000004
2011-05-26,36.849998
2011-05-27,37.040001000000004
2011-05-31,37.77
2011-06-01,37.049999
2011-06-02,37.240002000000004
2011-06-03,36.529999
2011-06-06,36.150002
2011-06-07,36.650002
2011-06-08,36.369999
2011-06-09,36.959998999999996
2011-06-10,37.029999
2011-06-13,37.360001000000004
2011-06-14,37.77
2011-06-15,37.619999
2011-06-16,37.919998
2011-06-17,37.299999
2011-06-20,37.459998999999996
2011-06-21,38.189999
2011-06-22,37.810001
2011-06-23,37.34
2011-06-24,36.880001
2011-06-27,37.580002
2011-06-28,37.919998
2011-06-29,37.900002
2011-06-30,37.68
