Date,AWK
2012-05-04,34.099998
2012-05-07,34.009997999999996
2012-05-08,33.869999
2012-05-09,34.029999
2012-05-10,34.369999
2012-05-11,34.330002
2012-05-14,33.860001000000004
2012-05-15,33.790001000000004
2012-05-16,33.75
2012-05-17,33.27
2012-05-18,33.009997999999996
2012-05-21,33.18
2012-05-22,33.48
2012-05-23,33.5
2012-05-24,34.240002000000004
2012-05-25,34.060001
2012-05-29,34.330002
2012-05-30,33.990002000000004
2012-05-31,34.209998999999996
2012-06-01,34.16
2012-06-04,33.869999
2012-06-05,34.200001
2012-06-06,34.950001
2012-06-07,34.32
2012-06-08,34.32
2012-06-11,33.830002
2012-06-12,33.990002000000004
2012-06-13,33.799999
2012-06-14,33.98
2012-06-15,33.700001
2012-06-18,33.900002
2012-06-19,33.810001
2012-06-20,33.549999
2012-06-21,33.459998999999996
2012-06-22,33.34
2012-06-25,33.16
2012-06-26,33.299999
2012-06-27,33.779999
2012-06-28,34.029999
2012-06-29,34.279999
2012-07-02,34.669998
2012-07-03,34.82
2012-07-05,34.720001
2012-07-06,34.709998999999996
2012-07-09,34.830002
2012-07-10,35.060001
2012-07-11,34.900002
2012-07-12,34.919998
2012-07-13,35.5
2012-07-16,35.450001
2012-07-17,35.599998
2012-07-18,35.990002000000004
2012-07-19,35.93
2012-07-20,36.07
2012-07-23,36.330002
2012-07-24,36.259997999999996
2012-07-25,35.639998999999996
2012-07-26,35.919998
2012-07-27,36.630001
2012-07-30,36.709998999999996
2012-07-31,36.25
2012-08-01,36.25
2012-08-02,36.25
2012-08-03,37.619999
2012-08-06,38.16
2012-08-07,37.889998999999996
2012-08-08,37.209998999999996
2012-08-09,37.869999
2012-08-10,37.790001000000004
2012-08-13,37.919998
2012-08-14,38.110001000000004
2012-08-15,38.349998
2012-08-16,38.029999
2012-08-17,37.779999
2012-08-20,37.5
2012-08-21,37.240002000000004
2012-08-22,37.32
2012-08-23,37.220001
2012-08-24,37.389998999999996
2012-08-27,37.400002
2012-08-28,37.470001
2012-08-29,37.360001000000004
2012-08-30,36.990002000000004
2012-08-31,36.869999
2012-09-04,37.380001
2012-09-05,36.93
2012-09-06,37.68
2012-09-07,37.279999
2012-09-10,37.310001
2012-09-11,37.389998999999996
2012-09-12,37.279999
2012-09-13,37.189999
2012-09-14,35.860001000000004
2012-09-17,35.639998999999996
2012-09-18,36.110001000000004
2012-09-19,36.369999
2012-09-20,36.709998999999996
2012-09-21,36.810001
2012-09-24,37.290001000000004
2012-09-25,37.0
2012-09-26,36.799999
2012-09-27,36.900002
2012-09-28,37.060001
2012-10-01,36.700001
2012-10-02,36.82
2012-10-03,36.98
2012-10-04,37.18
2012-10-05,37.240002000000004
2012-10-08,37.16
2012-10-09,36.75
2012-10-10,36.790001000000004
2012-10-11,36.66
2012-10-12,36.32
2012-10-15,36.200001
2012-10-16,36.310001
2012-10-17,37.299999
2012-10-18,37.27
2012-10-19,37.279999
2012-10-22,37.0
2012-10-23,36.5
2012-10-24,36.73
2012-10-25,36.759997999999996
2012-10-26,36.66
2012-10-31,36.740002000000004
2012-11-01,36.59
2012-11-02,36.5
2012-11-05,36.5
2012-11-06,37.25
2012-11-07,36.549999
2012-11-08,36.5
2012-11-09,36.549999
2012-11-12,36.52
2012-11-13,36.700001
