Date,EQR
1995-04-27,13.4375
1995-04-28,13.375
1995-05-01,13.4375
1995-05-02,13.1875
1995-05-03,13.1875
1995-05-04,13.625
1995-05-05,13.9375
1995-05-08,14.1875
1995-05-09,14.375
1995-05-10,14.625
1995-05-11,14.5
1995-05-12,14.4375
1995-05-15,14.5
1995-05-16,14.5625
1995-05-17,14.5
1995-05-18,14.4375
1995-05-19,14.3125
1995-05-22,14.5625
1995-05-23,14.4375
1995-05-24,14.4375
1995-05-25,14.375
1995-05-26,14.375
1995-05-30,14.3125
1995-05-31,14.3125
1995-06-01,14.5625
1995-06-02,14.625
1995-06-05,14.875
1995-06-06,14.8125
1995-06-07,14.75
1995-06-08,14.6875
1995-06-09,14.4375
1995-06-12,14.3125
1995-06-13,14.25
1995-06-14,14.3125
1995-06-15,14.5
1995-06-16,14.6875
1995-06-19,14.5625
1995-06-20,14.5
1995-06-21,14.5
1995-06-22,14.1875
1995-06-23,14.125
1995-06-26,14.0625
1995-06-27,14.0
1995-06-28,13.6875
1995-06-29,13.5
1995-06-30,13.9375
1995-07-03,14.0625
1995-07-05,14.0
1995-07-06,14.3125
1995-07-07,14.6875
1995-07-10,14.6875
1995-07-11,14.75
1995-07-12,14.8125
1995-07-13,14.9375
1995-07-14,14.75
1995-07-17,14.9375
1995-07-18,14.8125
1995-07-19,14.375
1995-07-20,14.375
1995-07-21,14.375
1995-07-24,14.4375
1995-07-25,14.375
1995-07-26,14.75
1995-07-27,14.75
1995-07-28,14.75
1995-07-31,14.75
1995-08-01,14.8125
1995-08-02,14.8125
1995-08-03,14.6875
1995-08-04,14.75
1995-08-07,14.75
1995-08-08,14.75
1995-08-09,14.6875
1995-08-10,14.8125
1995-08-11,14.75
1995-08-14,14.8125
1995-08-15,14.75
1995-08-16,14.6875
1995-08-17,14.375
1995-08-18,14.4375
1995-08-21,14.4375
1995-08-22,14.25
1995-08-23,14.25
1995-08-24,14.4375
1995-08-25,14.5
1995-08-28,14.5625
1995-08-29,14.875
1995-08-30,14.75
1995-08-31,14.75
1995-09-01,14.75
1995-09-05,14.75
1995-09-06,14.75
1995-09-07,14.8125
1995-09-08,14.75
1995-09-11,14.9375
1995-09-12,14.875
1995-09-13,15.0625
