Date,ABT
1982-02-17,0.8276610000000001
1982-02-18,0.8276610000000001
1982-02-19,0.8136329999999999
1982-02-22,0.799605
1982-02-23,0.799605
1982-02-24,0.810126
1982-02-25,0.810126
1982-02-26,0.806619
1982-03-01,0.8136329999999999
1982-03-02,0.8206469999999999
1982-03-03,0.81714
1982-03-04,0.7925909999999999
1982-03-05,0.7925909999999999
1982-03-08,0.771548
1982-03-09,0.778562
1982-03-10,0.764534
1982-03-11,0.771548
1982-03-12,0.761027
1982-03-15,0.75752
1982-03-16,0.768041
1982-03-17,0.768041
1982-03-18,0.775055
1982-03-19,0.778562
1982-03-22,0.7855770000000001
1982-03-23,0.81714
1982-03-24,0.824154
1982-03-25,0.845196
1982-03-26,0.8206469999999999
1982-03-29,0.834675
1982-03-30,0.831168
1982-03-31,0.8136329999999999
1982-04-01,0.810126
1982-04-02,0.824154
1982-04-05,0.8136329999999999
1982-04-06,0.81714
1982-04-07,0.8276610000000001
1982-04-08,0.8276610000000001
1982-04-12,0.831168
1982-04-13,0.8276610000000001
1982-04-14,0.824154
1982-04-15,0.831168
1982-04-16,0.834675
1982-04-19,0.8557170000000001
1982-04-20,0.8487030000000001
1982-04-21,0.8416889999999999
1982-04-22,0.8557170000000001
1982-04-23,0.866238
1982-04-26,0.8732530000000001
1982-04-27,0.85221
1982-04-28,0.8487030000000001
1982-04-29,0.845196
1982-04-30,0.8557170000000001
1982-05-03,0.8627309999999999
1982-05-04,0.880267
1982-05-05,0.883774
1982-05-06,0.8907879999999999
1982-05-07,0.8907879999999999
1982-05-10,0.87676
1982-05-11,0.883774
1982-05-12,0.87676
1982-05-13,0.883774
1982-05-14,0.87676
1982-05-17,0.866238
1982-05-18,0.8697450000000001
1982-05-19,0.8557170000000001
1982-05-20,0.8487030000000001
1982-05-21,0.8416889999999999
1982-05-24,0.831168
1982-05-25,0.8276610000000001
1982-05-26,0.81714
1982-05-27,0.8136329999999999
1982-05-28,0.810126
1982-06-01,0.810126
1982-06-02,0.824154
1982-06-03,0.831168
1982-06-04,0.81714
1982-06-07,0.806619
1982-06-08,0.806619
1982-06-09,0.799605
1982-06-10,0.810126
1982-06-11,0.8031119999999999
1982-06-14,0.7855770000000001
1982-06-15,0.7925909999999999
1982-06-16,0.789084
1982-06-17,0.7820699999999999
1982-06-18,0.778562
1982-06-21,0.7820699999999999
1982-06-22,0.7855770000000001
1982-06-23,0.831168
1982-06-24,0.81714
1982-06-25,0.799605
1982-06-28,0.810126
1982-06-29,0.810126
1982-06-30,0.8031119999999999
1982-07-01,0.796098
1982-07-02,0.796098
1982-07-06,0.789084
1982-07-07,0.799605
1982-07-08,0.799605
1982-07-09,0.799605
1982-07-12,0.831168
1982-07-13,0.8487030000000001
1982-07-14,0.8487030000000001
1982-07-15,0.859224
1982-07-16,0.887281
1982-07-19,0.8942950000000001
1982-07-20,0.901309
1982-07-21,0.8907879999999999
1982-07-22,0.904816
1982-07-23,0.866238
1982-07-26,0.845196
1982-07-27,0.8557170000000001
1982-07-28,0.85221
1982-07-29,0.8416889999999999
1982-07-30,0.845196
1982-08-02,0.8732530000000001
1982-08-03,0.85221
1982-08-04,0.824154
1982-08-05,0.831168
1982-08-06,0.8136329999999999
1982-08-09,0.8031119999999999
1982-08-10,0.8136329999999999
1982-08-11,0.806619
1982-08-12,0.8031119999999999
1982-08-13,0.8136329999999999
1982-08-16,0.81714
1982-08-17,0.8487030000000001
1982-08-18,0.8487030000000001
1982-08-19,0.8627309999999999
1982-08-20,0.883774
1982-08-23,0.887281
1982-08-24,0.904816
1982-08-25,0.925858
1982-08-26,0.9363790000000001
1982-08-27,0.929365
1982-08-30,0.9539139999999999
1982-08-31,0.9819709999999999
1982-09-01,0.974957
1982-09-02,0.995999
1982-09-03,1.017041
1982-09-07,1.003013
1982-09-08,1.024055
1982-09-09,0.9995059999999999
1982-09-10,0.974957
1982-09-13,1.003013
1982-09-14,1.017041
1982-09-15,1.052111
1982-09-16,1.024055
1982-09-17,0.995999
1982-09-20,1.00652
1982-09-21,1.038083
1982-09-22,1.031069
1982-09-23,1.038083
1982-09-24,1.034576
1982-09-27,1.027562
1982-09-28,1.024055
1982-09-29,0.988985
1982-09-30,0.9784639999999999
1982-10-01,0.9854780000000001
1982-10-04,0.988985
1982-10-05,0.992492
1982-10-06,1.024055
1982-10-07,1.048604
1982-10-08,1.0661399999999999
1982-10-11,1.0731540000000002
1982-10-12,1.080168
1982-10-13,1.0731540000000002
1982-10-14,1.038083
1982-10-15,1.062633
1982-10-18,1.080168
1982-10-19,1.059126
1982-10-20,1.080168
1982-10-21,1.083675
1982-10-22,1.052111
1982-10-25,1.034576
1982-10-26,1.04159
1982-10-27,1.04159
1982-10-28,1.04159
1982-10-29,1.045097
1982-11-01,1.062633
1982-11-02,1.0871819999999999
1982-11-03,1.10121
1982-11-04,1.118745
1982-11-05,1.118745
1982-11-08,1.115238
1982-11-09,1.111731
1982-11-10,1.0661399999999999
1982-11-11,1.0871819999999999
1982-11-12,1.083675
1982-11-15,1.0731540000000002
1982-11-16,1.038083
1982-11-17,1.055619
1982-11-18,1.052111
1982-11-19,1.045097
1982-11-22,1.003013
1982-11-23,0.964435
1982-11-24,1.017041
