Date,CMG
2008-02-29,99.300003
2008-03-03,97.629997
2008-03-04,96.519997
2008-03-05,101.82
2008-03-06,95.599998
2008-03-07,96.43
2008-03-10,90.57
2008-03-11,96.379997
2008-03-12,99.08000200000001
2008-03-13,101.010002
2008-03-14,99.610001
2008-03-17,98.239998
2008-03-18,101.540001
2008-03-19,100.150002
2008-03-20,109.709999
2008-03-24,114.800003
2008-03-25,113.57
2008-03-26,115.0
2008-03-27,112.720001
2008-03-28,109.599998
2008-03-31,113.43
2008-04-01,119.730003
2008-04-02,118.82
2008-04-03,119.050003
2008-04-04,116.660004
2008-04-07,114.800003
2008-04-08,114.519997
2008-04-09,111.33000200000001
2008-04-10,113.589996
2008-04-11,110.540001
2008-04-14,107.730003
2008-04-15,108.589996
2008-04-16,112.870003
2008-04-17,111.480003
2008-04-18,114.949997
2008-04-21,118.279999
2008-04-22,113.150002
2008-04-23,109.900002
2008-04-24,100.0
2008-04-25,102.849998
2008-04-28,100.849998
2008-04-29,98.980003
2008-04-30,98.129997
2008-05-01,100.5
2008-05-02,97.849998
2008-05-05,99.089996
2008-05-06,98.379997
2008-05-07,95.559998
2008-05-08,93.889999
2008-05-09,94.93
2008-05-12,97.550003
2008-05-13,100.699997
2008-05-14,100.66999799999999
2008-05-15,98.690002
2008-05-16,95.41999799999999
2008-05-19,90.57
2008-05-20,89.400002
2008-05-21,87.360001
2008-05-22,86.099998
2008-05-23,85.07
2008-05-27,86.730003
2008-05-28,90.489998
2008-05-29,90.470001
2008-05-30,92.300003
2008-06-02,90.610001
2008-06-03,90.599998
2008-06-04,92.389999
2008-06-05,94.949997
2008-06-06,92.260002
2008-06-09,90.959999
2008-06-10,92.16999799999999
2008-06-11,87.43
2008-06-12,86.779999
2008-06-13,87.379997
2008-06-16,87.220001
2008-06-17,90.150002
2008-06-18,90.599998
2008-06-19,93.209999
2008-06-20,89.809998
2008-06-23,88.629997
2008-06-24,88.970001
2008-06-25,92.900002
2008-06-26,90.870003
2008-06-27,89.519997
2008-06-30,82.620003
2008-07-01,81.650002
2008-07-02,80.050003
2008-07-03,80.769997
2008-07-07,78.510002
2008-07-08,83.839996
2008-07-09,79.139999
2008-07-10,71.519997
2008-07-11,72.610001
2008-07-14,70.0
2008-07-15,72.339996
2008-07-16,77.07
2008-07-17,80.83000200000001
2008-07-18,79.910004
2008-07-21,76.389999
2008-07-22,81.660004
2008-07-23,83.800003
2008-07-24,67.300003
2008-07-25,66.309998
2008-07-28,65.489998
2008-07-29,69.690002
2008-07-30,68.949997
2008-07-31,68.5
2008-08-01,67.16999799999999
2008-08-04,67.599998
2008-08-05,72.610001
2008-08-06,74.370003
2008-08-07,71.139999
2008-08-08,73.58000200000001
