Date,ULTA
2009-11-20,16.809998999999998
2009-11-23,17.280001000000002
2009-11-24,16.940001000000002
2009-11-25,16.780001000000002
2009-11-27,16.299999
2009-11-30,16.43
2009-12-01,17.48
2009-12-02,18.200001
2009-12-03,17.91
2009-12-04,17.9
2009-12-07,18.24
2009-12-08,17.9
2009-12-09,17.48
2009-12-10,17.440001000000002
2009-12-11,18.030001000000002
2009-12-14,18.83
2009-12-15,18.610001
2009-12-16,18.549999
2009-12-17,18.17
2009-12-18,17.860001
2009-12-21,17.73
2009-12-22,18.059998999999998
2009-12-23,18.4
2009-12-24,18.35
2009-12-28,18.24
2009-12-29,18.450001
2009-12-30,18.35
2009-12-31,18.16
2010-01-04,18.85
2010-01-05,18.76
2010-01-06,19.219998999999998
2010-01-07,20.860001
2010-01-08,21.610001
2010-01-11,21.280001000000002
2010-01-12,21.139999
2010-01-13,21.309998999999998
2010-01-14,20.440001000000002
2010-01-15,20.35
2010-01-19,20.209999
2010-01-20,20.1
2010-01-21,20.0
2010-01-22,20.049999
2010-01-25,19.74
2010-01-26,19.969998999999998
2010-01-27,19.91
2010-01-28,19.290001
2010-01-29,19.4
2010-02-01,19.790001
2010-02-02,19.49
2010-02-03,19.120001000000002
2010-02-04,18.01
2010-02-05,17.92
2010-02-08,17.870001000000002
2010-02-09,17.940001000000002
2010-02-10,17.290001
2010-02-11,17.75
2010-02-12,17.860001
2010-02-16,18.389999
2010-02-17,18.450001
2010-02-18,18.42
2010-02-19,17.940001000000002
2010-02-22,17.98
2010-02-23,17.719998999999998
2010-02-24,18.360001
2010-02-25,18.1
2010-02-26,18.33
2010-03-01,19.120001000000002
2010-03-02,19.67
2010-03-03,19.969998999999998
2010-03-04,21.209999
2010-03-05,21.4
2010-03-08,20.98
2010-03-09,21.17
2010-03-10,21.469998999999998
2010-03-11,21.540001
2010-03-12,23.33
2010-03-15,22.110001
2010-03-16,22.860001
2010-03-17,22.49
2010-03-18,22.639999
2010-03-19,21.700001
2010-03-22,22.07
2010-03-23,22.209999
2010-03-24,21.969998999999998
2010-03-25,22.719998999999998
2010-03-26,22.5
2010-03-29,22.809998999999998
2010-03-30,23.209999
2010-03-31,22.620001000000002
2010-04-01,22.15
2010-04-05,22.629998999999998
2010-04-06,23.190001000000002
2010-04-07,22.200001
2010-04-08,22.15
2010-04-09,23.200001
2010-04-12,23.219998999999998
2010-04-13,22.84
2010-04-14,23.26
2010-04-15,23.809998999999998
2010-04-16,23.610001
2010-04-19,22.17
2010-04-20,22.82
2010-04-21,23.18
2010-04-22,24.59
2010-04-23,25.360001
2010-04-26,24.969998999999998
2010-04-27,22.75
2010-04-28,22.98
2010-04-29,24.08
2010-04-30,23.120001000000002
2010-05-03,23.93
2010-05-04,23.01
2010-05-05,22.5
2010-05-06,21.99
2010-05-07,21.24
2010-05-10,22.82
2010-05-11,23.4
2010-05-12,24.700001
2010-05-13,24.18
2010-05-14,23.74
2010-05-17,23.76
2010-05-18,23.5
2010-05-19,23.51
2010-05-20,22.16
2010-05-21,23.32
2010-05-24,23.549999
2010-05-25,22.860001
2010-05-26,23.620001000000002
2010-05-27,24.59
2010-05-28,25.58
2010-06-01,24.75
2010-06-02,23.59
2010-06-03,23.9
2010-06-04,23.16
2010-06-07,22.23
2010-06-08,21.42
2010-06-09,21.9
2010-06-10,22.4
2010-06-11,24.68
2010-06-14,24.530001000000002
2010-06-15,25.120001000000002
2010-06-16,25.85
2010-06-17,25.799999
2010-06-18,26.18
2010-06-21,25.549999
2010-06-22,25.049999
2010-06-23,24.969998999999998
2010-06-24,24.42
2010-06-25,24.92
2010-06-28,25.82
2010-06-29,24.040001
2010-06-30,23.66
2010-07-01,23.0
2010-07-02,23.08
2010-07-06,22.209999
2010-07-07,23.35
2010-07-08,22.969998999999998
2010-07-09,23.51
2010-07-12,23.09
2010-07-13,23.889999
2010-07-14,23.6
2010-07-15,23.299999
2010-07-16,22.77
2010-07-19,22.9
2010-07-20,23.15
2010-07-21,22.860001
2010-07-22,24.120001000000002
2010-07-23,24.74
2010-07-26,25.42
2010-07-27,24.67
2010-07-28,24.610001
2010-07-29,25.440001000000002
2010-07-30,25.26
2010-08-02,25.43
2010-08-03,25.33
2010-08-04,24.9
2010-08-05,24.889999
2010-08-06,24.790001
2010-08-09,24.709999
2010-08-10,24.09
2010-08-11,22.950001
2010-08-12,22.969998999999998
2010-08-13,22.18
2010-08-16,22.58
2010-08-17,23.24
2010-08-18,24.040001
2010-08-19,23.440001000000002
2010-08-20,23.360001
2010-08-23,23.190001000000002
2010-08-24,22.959999
2010-08-25,23.58
2010-08-26,23.27
2010-08-27,23.709999
2010-08-30,23.540001
2010-08-31,22.700001
2010-09-01,22.26
2010-09-02,22.23
2010-09-03,26.299999
2010-09-07,26.4
2010-09-08,26.709999
2010-09-09,26.35
2010-09-10,26.209999
2010-09-13,27.65
2010-09-14,28.59
2010-09-15,28.01
2010-09-16,28.030001000000002
2010-09-17,28.15
2010-09-20,28.23
2010-09-21,29.110001
2010-09-22,27.940001000000002
2010-09-23,27.66
2010-09-24,28.93
2010-09-27,28.639999
2010-09-28,29.35
2010-09-29,29.82
2010-09-30,29.200001
2010-10-01,29.35
2010-10-04,28.41
2010-10-05,28.690001000000002
2010-10-06,28.299999
2010-10-07,28.530001000000002
2010-10-08,28.959999
2010-10-11,29.030001000000002
2010-10-12,30.9
2010-10-13,30.879998999999998
2010-10-14,30.42
2010-10-15,31.01
2010-10-18,31.66
2010-10-19,30.799999
2010-10-20,30.719998999999998
2010-10-21,30.889999
2010-10-22,31.07
2010-10-25,32.099998
2010-10-26,32.330002
2010-10-27,31.59
2010-10-28,31.139999
2010-10-29,30.690001000000002
2010-11-01,30.41
2010-11-02,30.809998999999998
2010-11-03,31.67
2010-11-04,31.860001
2010-11-05,32.299999
2010-11-08,33.029999
2010-11-09,32.610001000000004
2010-11-10,33.0
2010-11-11,32.75
2010-11-12,31.98
2010-11-15,31.799999
2010-11-16,31.57
2010-11-17,31.5
2010-11-18,31.969998999999998
2010-11-19,31.950001
2010-11-22,32.68
2010-11-23,33.48
2010-11-24,34.470001
2010-11-26,34.990002000000004
2010-11-29,35.150002
2010-11-30,34.950001
2010-12-01,36.470001
2010-12-02,35.720001
2010-12-03,35.220001
2010-12-06,34.080002
2010-12-07,33.860001000000004
2010-12-08,34.41
2010-12-09,34.759997999999996
2010-12-10,34.709998999999996
2010-12-13,34.009997999999996
2010-12-14,33.16
2010-12-15,32.790001000000004
2010-12-16,34.09
2010-12-17,33.150002
2010-12-20,33.029999
2010-12-21,33.41
2010-12-22,34.490002000000004
2010-12-23,34.740002000000004
2010-12-27,34.150002
2010-12-28,33.959998999999996
2010-12-29,34.27
2010-12-30,34.34
2010-12-31,34.0
2011-01-03,34.32
2011-01-04,34.279999
2011-01-05,34.52
2011-01-06,37.18
2011-01-07,37.549999
2011-01-10,37.849998
2011-01-11,37.169998
2011-01-12,37.09
2011-01-13,37.119999
2011-01-14,37.060001
2011-01-18,36.450001
2011-01-19,35.720001
2011-01-20,36.119999
2011-01-21,35.869999
2011-01-24,36.09
2011-01-25,36.049999
2011-01-26,36.650002
2011-01-27,37.060001
2011-01-28,36.73
2011-01-31,37.040001000000004
2011-02-01,37.939999
2011-02-02,36.91
2011-02-03,38.950001
2011-02-04,40.07
2011-02-07,40.389998999999996
2011-02-08,41.200001
2011-02-09,41.209998999999996
2011-02-10,41.540001000000004
2011-02-11,42.59
2011-02-14,42.990002000000004
2011-02-15,42.32
2011-02-16,43.099998
2011-02-17,43.32
2011-02-18,43.459998999999996
2011-02-22,42.549999
2011-02-23,41.029999
2011-02-24,41.18
2011-02-25,42.970001
2011-02-28,41.73
2011-03-01,41.049999
2011-03-02,41.099998
2011-03-03,42.25
2011-03-04,41.98
2011-03-07,41.27
2011-03-08,41.869999
2011-03-09,41.130001
2011-03-10,42.110001000000004
2011-03-11,45.77
2011-03-14,46.950001
2011-03-15,47.189999
2011-03-16,46.200001
2011-03-17,46.419998
2011-03-18,46.77
2011-03-21,47.25
2011-03-22,46.470001
2011-03-23,47.27
2011-03-24,47.84
2011-03-25,47.650002
2011-03-28,47.939999
2011-03-29,47.790001000000004
2011-03-30,48.709998999999996
2011-03-31,48.130001
2011-04-01,48.450001
2011-04-04,48.279999
2011-04-05,49.810001
2011-04-06,49.849998
2011-04-07,51.099998
2011-04-08,50.689999
2011-04-11,51.119999
2011-04-12,50.509997999999996
2011-04-13,49.799999
2011-04-14,49.59
2011-04-15,50.07
2011-04-18,50.119999
2011-04-19,49.779999
2011-04-20,53.02
2011-04-21,52.880001
2011-04-25,52.720001
2011-04-26,52.57
2011-04-27,52.91
2011-04-28,52.810001
2011-04-29,53.189999
2011-05-02,53.360001000000004
2011-05-03,52.400002
2011-05-04,53.07
2011-05-05,53.130001
2011-05-06,53.77
2011-05-09,54.57
2011-05-10,55.049999
2011-05-11,54.299999
2011-05-12,55.91
2011-05-13,55.509997999999996
2011-05-16,53.349998
2011-05-17,52.23
2011-05-18,53.77
2011-05-19,53.450001
2011-05-20,52.5
2011-05-23,52.41
2011-05-24,52.049999
2011-05-25,52.830002
2011-05-26,54.549999
2011-05-27,55.25
2011-05-31,55.98
2011-06-01,54.119999
2011-06-02,50.59
2011-06-03,51.060001
2011-06-06,49.700001
2011-06-07,49.610001000000004
2011-06-08,55.900002
2011-06-09,57.049999
2011-06-10,56.16
2011-06-13,57.75
2011-06-14,59.310001
2011-06-15,57.029999
2011-06-16,56.880001
2011-06-17,57.419998
2011-06-20,58.740002000000004
2011-06-21,62.080002
2011-06-22,61.490002000000004
2011-06-23,62.580002
2011-06-24,62.82
2011-06-27,63.169998
2011-06-28,64.190002
2011-06-29,63.349998
