Date,AMP
2007-12-27,55.509997999999996
2007-12-28,54.709998999999996
2007-12-31,55.110001000000004
2008-01-02,55.5
2008-01-03,54.919998
2008-01-04,53.650002
2008-01-07,53.540001000000004
2008-01-08,51.689999
2008-01-09,51.349998
2008-01-10,53.990002000000004
2008-01-11,53.580002
2008-01-14,56.080002
2008-01-15,53.419998
2008-01-16,52.43
2008-01-17,49.349998
2008-01-18,49.439999
2008-01-22,48.75
2008-01-23,49.98
2008-01-24,50.23
2008-01-25,49.610001000000004
2008-01-28,51.459998999999996
2008-01-29,52.860001000000004
2008-01-30,53.369999
2008-01-31,55.310001
2008-02-01,57.119999
2008-02-04,55.259997999999996
2008-02-05,52.200001
2008-02-06,51.490002000000004
2008-02-07,52.349998
2008-02-08,51.689999
2008-02-11,50.720001
2008-02-12,52.77
2008-02-13,52.700001
2008-02-14,51.580002
2008-02-15,52.27
2008-02-19,52.189999
2008-02-20,53.060001
2008-02-21,52.290001000000004
2008-02-22,52.450001
2008-02-25,53.200001
2008-02-26,54.169998
2008-02-27,54.66
2008-02-28,54.060001
2008-02-29,50.639998999999996
2008-03-03,50.5
2008-03-04,50.529999
2008-03-05,50.32
2008-03-06,48.23
2008-03-07,48.779999
2008-03-10,47.080002
2008-03-11,51.119999
2008-03-12,49.720001
2008-03-13,50.459998999999996
2008-03-14,48.779999
2008-03-17,49.0
2008-03-18,51.439999
2008-03-19,50.220001
2008-03-20,54.200001
2008-03-24,54.529999
2008-03-25,54.68
2008-03-26,52.830002
2008-03-27,51.610001000000004
2008-03-28,50.57
2008-03-31,51.849998
2008-04-01,54.740002000000004
2008-04-02,54.639998999999996
2008-04-03,55.650002
2008-04-04,54.57
2008-04-07,54.779999
2008-04-08,53.59
2008-04-09,52.849998
2008-04-10,53.07
2008-04-11,51.119999
2008-04-14,49.810001
2008-04-15,50.82
2008-04-16,51.5
2008-04-17,51.490002000000004
2008-04-18,52.16
2008-04-21,51.400002
2008-04-22,50.290001000000004
2008-04-23,47.049999
2008-04-24,47.849998
2008-04-25,47.900002
2008-04-28,47.459998999999996
2008-04-29,47.169998
2008-04-30,47.490002000000004
2008-05-01,50.130001
2008-05-02,50.459998999999996
2008-05-05,49.32
2008-05-06,49.900002
2008-05-07,48.48
2008-05-08,47.93
2008-05-09,48.580002
2008-05-12,50.080002
2008-05-13,50.119999
2008-05-14,50.52
2008-05-15,50.650002
2008-05-16,49.830002
2008-05-19,49.759997999999996
2008-05-20,48.150002
2008-05-21,46.540001000000004
2008-05-22,46.889998999999996
2008-05-23,46.18
2008-05-27,46.029999
2008-05-28,46.18
2008-05-29,47.02
2008-05-30,47.259997999999996
2008-06-02,46.279999
2008-06-03,46.459998999999996
2008-06-04,46.639998999999996
2008-06-05,47.84
2008-06-06,45.77
2008-06-09,45.360001000000004
2008-06-10,45.700001
2008-06-11,44.099998
2008-06-12,45.189999
2008-06-13,46.529999
2008-06-16,46.84
2008-06-17,45.700001
2008-06-18,45.700001
2008-06-19,46.139998999999996
2008-06-20,44.580002
2008-06-23,44.049999
2008-06-24,44.169998
2008-06-25,44.389998999999996
2008-06-26,43.060001
2008-06-27,41.82
2008-06-30,40.669998
2008-07-01,41.419998
2008-07-02,40.09
2008-07-03,39.880001
2008-07-07,39.400002
2008-07-08,41.75
2008-07-09,39.66
2008-07-10,39.299999
2008-07-11,39.110001000000004
2008-07-14,37.200001
2008-07-15,36.599998
2008-07-16,40.0
2008-07-17,41.040001000000004
2008-07-18,39.790001000000004
2008-07-21,38.880001
2008-07-22,40.66
2008-07-23,40.509997999999996
2008-07-24,41.619999
2008-07-25,41.189999
2008-07-28,40.16
2008-07-29,42.639998999999996
2008-07-30,43.189999
2008-07-31,42.5
2008-08-01,42.799999
2008-08-04,41.529999
2008-08-05,43.759997999999996
2008-08-06,43.169998
2008-08-07,41.669998
2008-08-08,43.380001
2008-08-11,44.290001000000004
2008-08-12,42.139998999999996
2008-08-13,42.330002
2008-08-14,43.610001000000004
2008-08-15,44.669998
2008-08-18,43.700001
2008-08-19,42.639998999999996
2008-08-20,43.220001
2008-08-21,42.939999
2008-08-22,44.400002
2008-08-25,43.09
2008-08-26,43.240002000000004
2008-08-27,44.049999
2008-08-28,45.599998
2008-08-29,44.950001
2008-09-02,45.060001
2008-09-03,45.779999
2008-09-04,44.169998
2008-09-05,44.369999
2008-09-08,46.73
2008-09-09,42.77
2008-09-10,42.439999
2008-09-11,43.73
2008-09-12,44.700001
2008-09-15,41.82
2008-09-16,42.060001
2008-09-17,37.830002
2008-09-18,39.549999
2008-09-19,43.5
2008-09-22,41.25
2008-09-23,40.25
2008-09-24,40.75
2008-09-25,41.279999
2008-09-26,40.400002
2008-09-29,35.900002
2008-09-30,38.200001
2008-10-01,38.830002
2008-10-02,33.529999
2008-10-03,32.950001
2008-10-06,31.790001
2008-10-07,28.34
2008-10-08,25.809998999999998
2008-10-09,20.6
2008-10-10,21.620001000000002
2008-10-13,25.52
2008-10-14,30.299999
2008-10-15,25.790001
2008-10-16,23.85
2008-10-17,24.790001
2008-10-20,26.629998999999998
2008-10-21,25.75
2008-10-22,21.82
2008-10-23,21.790001
2008-10-24,21.43
2008-10-27,20.15
2008-10-28,23.83
2008-10-29,21.790001
2008-10-30,19.0
2008-10-31,21.6
2008-11-03,21.719998999999998
2008-11-04,23.459999
2008-11-05,21.75
2008-11-06,19.65
2008-11-07,21.030001000000002
2008-11-10,19.440001000000002
2008-11-11,17.91
2008-11-12,17.389999
2008-11-13,19.74
2008-11-14,18.0
2008-11-17,16.309998999999998
2008-11-18,16.0
2008-11-19,13.96
2008-11-20,12.92
2008-11-21,12.37
2008-11-24,15.81
2008-11-25,16.98
2008-11-26,17.809998999999998
2008-11-28,18.459999
2008-12-01,15.44
2008-12-02,17.01
2008-12-03,17.389999
2008-12-04,16.799999
2008-12-05,21.309998999999998
2008-12-08,20.57
2008-12-09,20.34
2008-12-10,21.209999
2008-12-11,20.23
2008-12-12,20.469998999999998
2008-12-15,18.780001000000002
2008-12-16,21.799999
2008-12-17,21.940001000000002
2008-12-18,21.040001
2008-12-19,22.85
2008-12-22,20.559998999999998
2008-12-23,19.99
2008-12-24,20.559998999999998
