Date,AZUL
2019-11-07,38.220001
2019-11-08,36.130001
2019-11-11,36.540001000000004
2019-11-12,35.009997999999996
2019-11-13,34.57
2019-11-14,35.900002
2019-11-15,37.139998999999996
2019-11-18,36.209998999999996
2019-11-19,35.990002000000004
2019-11-20,36.220001
2019-11-21,37.290001000000004
2019-11-22,38.900002
2019-11-25,38.27
2019-11-26,36.279999
2019-11-27,35.860001000000004
2019-11-29,37.240002000000004
2019-12-02,37.549999
2019-12-03,38.200001
2019-12-04,37.799999
2019-12-05,38.200001
2019-12-06,39.150002
2019-12-09,39.470001
2019-12-10,38.529999
2019-12-11,39.709998999999996
2019-12-12,40.259997999999996
2019-12-13,41.450001
2019-12-16,42.09
2019-12-17,41.810001
2019-12-18,42.439999
2019-12-19,42.490002000000004
2019-12-20,41.560001
2019-12-23,42.330002
2019-12-24,42.16
2019-12-26,42.240002000000004
2019-12-27,42.630001
2019-12-30,43.32
2019-12-31,42.799999
2020-01-02,43.59
2020-01-03,42.040001000000004
2020-01-06,40.450001
2020-01-07,41.700001
2020-01-08,42.040001000000004
2020-01-09,41.84
2020-01-10,41.919998
2020-01-13,42.0
2020-01-14,42.66
2020-01-15,42.360001000000004
2020-01-16,42.330002
2020-01-17,44.02
2020-01-21,42.82
2020-01-22,42.720001
2020-01-23,43.830002
2020-01-24,42.599998
2020-01-27,40.75
2020-01-28,44.299999
2020-01-29,42.310001
2020-01-30,42.029999
2020-01-31,41.5
2020-02-03,42.740002000000004
2020-02-04,42.810001
2020-02-05,43.43
2020-02-06,41.32
2020-02-07,39.310001
2020-02-10,39.169998
2020-02-11,40.290001000000004
2020-02-12,40.900002
2020-02-13,40.459998999999996
2020-02-14,41.52
2020-02-18,39.57
2020-02-19,39.82
2020-02-20,38.5
2020-02-21,37.830002
2020-02-24,36.07
2020-02-25,35.0
2020-02-26,32.549999
2020-02-27,30.309998999999998
2020-02-28,29.5
2020-03-02,30.049999
2020-03-03,29.15
2020-03-04,29.26
2020-03-05,24.889999
2020-03-06,24.66
2020-03-09,20.059998999999998
2020-03-10,23.15
2020-03-11,19.17
2020-03-12,12.42
2020-03-13,15.52
2020-03-16,9.77
2020-03-17,9.46
2020-03-18,6.01
2020-03-19,7.07
2020-03-20,7.74
2020-03-23,7.91
2020-03-24,9.78
2020-03-25,11.49
2020-03-26,12.33
2020-03-27,11.44
2020-03-30,11.06
2020-03-31,10.19
2020-04-01,8.42
2020-04-02,8.41
