Date,SERV
2016-06-27,25.632954
2016-06-28,25.592766
2016-06-29,26.369726
2016-06-30,26.657736
2016-07-01,26.490288
2016-07-05,26.175486
2016-07-06,26.048225
2016-07-07,25.934361
2016-07-08,26.697924
2016-07-11,26.805090000000003
2016-07-12,26.918955
2016-07-13,27.079705999999998
2016-07-14,27.206965999999998
2016-07-15,27.247154
2016-07-18,27.240456
2016-07-19,27.26055
2016-07-20,27.615540000000003
2016-07-21,27.51507
2016-07-22,27.320831
2016-07-25,26.791695
2016-07-26,26.671131
2016-07-27,26.724715999999997
2016-07-28,26.068319
2016-07-29,25.338245
2016-08-01,25.157401999999998
2016-08-02,24.96986
2016-08-03,25.298057999999997
2016-08-04,25.077026
2016-08-05,25.123911
2016-08-08,25.157401999999998
2016-08-09,25.09712
2016-08-10,25.237776
2016-08-11,25.686537
2016-08-12,25.96785
2016-08-15,25.981245
2016-08-16,24.601473000000002
2016-08-17,24.25988
2016-08-18,24.762224
2016-08-19,24.480911
2016-08-22,24.648359
2016-08-23,25.077026
2016-08-24,24.949766
2016-08-25,24.862692000000003
2016-08-26,24.889484
2016-08-29,24.789015
2016-08-30,24.849297
2016-08-31,24.989954
2016-09-01,25.157401999999998
2016-09-02,25.157401999999998
2016-09-06,25.231079
2016-09-07,25.237776
2016-09-08,25.237776
2016-09-09,24.521099
2016-09-12,24.487607999999998
2016-09-13,24.1929
2016-09-14,24.132618
2016-09-15,24.212994000000002
2016-09-16,24.219692000000002
2016-09-19,23.121233
2016-09-20,22.933691
2016-09-21,22.719357000000002
2016-09-22,22.73945
2016-09-23,22.478231
2016-09-26,22.404554
2016-09-27,22.799732000000002
2016-09-28,22.933691
2016-09-29,22.672472
2016-09-30,22.558607000000002
2016-10-03,22.632284
2016-10-04,22.498325
2016-10-05,22.538513000000002
2016-10-06,22.645679
2016-10-07,22.183523
2016-10-10,22.250501999999997
2016-10-11,21.935699
2016-10-12,22.471535
2016-10-13,22.505024
2016-10-14,22.980576
2016-10-17,23.583389
2016-10-18,23.724045
2016-10-19,23.308775
2016-10-20,23.402546
2016-10-21,23.295378
2016-10-24,23.208305
2016-10-25,24.079035
2016-10-26,23.295378
2016-10-27,23.811119
2016-10-28,23.650368
2016-10-31,23.971869
2016-11-01,24.079035
2016-11-02,24.300068
2016-11-03,24.246482999999998
2016-11-04,24.005357999999998
2016-11-07,24.38714
2016-11-08,24.38714
2016-11-09,24.655056
2016-11-10,23.690556
2016-11-11,24.246482999999998
2016-11-14,25.036839
2016-11-15,24.755526
2016-11-16,24.956463
2016-11-17,24.963161
2016-11-18,25.070328
2016-11-21,25.45211
2016-11-22,25.646349
2016-11-23,25.706630999999998
2016-11-25,26.141996
2016-11-28,25.947756
2016-11-29,25.934361
2016-11-30,25.599464
2016-12-01,25.532484
2016-12-02,25.733423000000002
2016-12-05,25.666443
2016-12-06,25.61286
2016-12-07,25.994642000000002
2016-12-08,26.188881
2016-12-09,26.115204000000002
2016-12-12,25.860682999999998
2016-12-13,25.827194
2016-12-14,26.021433
2016-12-15,26.342934000000003
2016-12-16,26.108507
2016-12-19,26.115204000000002
2016-12-20,25.760214
2016-12-21,25.465506
2016-12-22,24.929672
2016-12-23,24.849297
2016-12-27,24.862692000000003
2016-12-28,25.043537
2016-12-29,25.22438
2016-12-30,25.231079
2017-01-03,25.237776
2017-01-04,25.432016
2017-01-05,25.344944
2017-01-06,25.103817000000003
2017-01-09,24.681849
2017-01-10,24.802412
2017-01-11,24.983255
2017-01-12,24.822506
2017-01-13,24.889484
2017-01-17,24.963161
2017-01-18,25.117214
2017-01-19,25.09712
2017-01-20,25.170797
2017-01-23,25.137307999999997
2017-01-24,25.304756
2017-01-25,25.338245
2017-01-26,25.344944
2017-01-27,25.056932
2017-01-30,24.789015
2017-01-31,24.768921
2017-02-01,25.056932
2017-02-02,25.110516
2017-02-03,25.13061
2017-02-06,25.070328
2017-02-07,25.13061
2017-02-08,25.318151
2017-02-09,25.344944
2017-02-10,25.458807
2017-02-13,25.572672
2017-02-14,25.311453
2017-02-15,25.599464
2017-02-16,25.693235
2017-02-17,25.726725
2017-02-21,25.900871
2017-02-22,26.356329
2017-02-23,27.106496999999997
2017-02-24,26.731413
2017-02-27,26.865371999999997
2017-02-28,26.67783
2017-03-01,26.597454
2017-03-02,26.604153000000004
2017-03-03,26.644340999999997
2017-03-06,26.657736
2017-03-07,26.731413
2017-03-08,26.825184000000004
2017-03-09,26.784996000000003
2017-03-10,26.885465999999997
2017-03-13,26.959143
2017-03-14,26.798393
2017-03-15,27.052914
2017-03-16,27.253851
2017-03-17,27.361016999999997
2017-03-20,27.066309000000004
2017-03-21,26.771601
2017-03-22,26.651039
2017-03-23,26.409912
2017-03-24,26.57736
2017-03-27,26.791695
2017-03-28,27.448092
2017-03-29,27.541862
2017-03-30,27.856665000000003
2017-03-31,27.963831
2017-04-03,27.622235999999997
2017-04-04,27.126590999999998
2017-04-05,27.006027000000003
2017-04-06,27.026121000000003
2017-04-07,27.006027000000003
2017-04-10,27.200267999999998
2017-04-11,27.247154
2017-04-12,26.851976
2017-04-13,26.811789
2017-04-17,27.227059999999998
2017-04-18,27.247154
2017-04-19,27.381110999999997
2017-04-20,28.030811
2017-04-21,28.057602000000003
2017-04-24,28.204956
2017-04-25,28.137978000000004
2017-04-26,28.231749
2017-04-27,25.874079000000002
2017-04-28,25.519089
2017-05-01,25.472204
2017-05-02,25.411922
2017-05-03,25.318151
2017-05-04,25.432016
2017-05-05,25.472204
2017-05-08,25.016745
2017-05-09,25.003349
2017-05-10,25.358339
2017-05-11,25.284662
2017-05-12,24.976557
2017-05-15,24.96986
2017-05-16,24.782318
2017-05-17,24.534494
2017-05-18,24.413930999999998
2017-05-19,24.574682
2017-05-22,24.889484
2017-05-23,25.036839
2017-05-24,25.311453
2017-05-25,25.545881
2017-05-26,25.264568
2017-05-30,25.277964
2017-05-31,25.318151
2017-06-01,25.954454000000002
2017-06-02,26.202278
2017-06-05,26.048225
2017-06-06,26.182184
2017-06-07,25.867382
2017-06-08,25.586069000000002
2017-06-09,25.478901
2017-06-12,26.456799
2017-06-13,26.470194
2017-06-14,26.711319
2017-06-15,26.718018
2017-06-16,26.644340999999997
2017-06-19,26.751507
2017-06-20,26.356329
2017-06-21,26.557268
2017-06-22,26.691225
2017-06-23,26.751507
