Date,AMCX
2013-11-08,66.75
2013-11-11,66.209999
2013-11-12,66.470001
2013-11-13,66.099998
2013-11-14,65.989998
2013-11-15,65.230003
2013-11-18,64.0
2013-11-19,63.299999
2013-11-20,62.610001000000004
2013-11-21,62.84
2013-11-22,64.83000200000001
2013-11-25,64.059998
2013-11-26,63.919998
2013-11-27,64.290001
2013-11-29,64.190002
2013-12-02,64.83000200000001
2013-12-03,63.880001
2013-12-04,64.32
2013-12-05,63.459998999999996
2013-12-06,63.540001000000004
2013-12-09,62.700001
2013-12-10,63.310001
2013-12-11,64.980003
2013-12-12,65.040001
2013-12-13,64.519997
2013-12-16,63.689999
2013-12-17,63.220001
2013-12-18,62.689999
2013-12-19,63.310001
2013-12-20,64.57
2013-12-23,66.010002
2013-12-24,66.529999
2013-12-26,66.68
2013-12-27,66.959999
2013-12-30,67.529999
2013-12-31,68.110001
2014-01-02,66.089996
2014-01-03,66.709999
2014-01-06,66.0
2014-01-07,66.870003
2014-01-08,67.540001
2014-01-09,68.08000200000001
2014-01-10,69.150002
2014-01-13,69.18
2014-01-14,69.459999
2014-01-15,69.889999
2014-01-16,69.370003
2014-01-17,69.199997
2014-01-21,67.019997
2014-01-22,67.629997
2014-01-23,67.480003
2014-01-24,65.660004
2014-01-27,65.610001
2014-01-28,65.269997
2014-01-29,64.809998
2014-01-30,65.720001
2014-01-31,64.440002
2014-02-03,61.400002
2014-02-04,62.700001
2014-02-05,64.0
2014-02-06,64.949997
2014-02-07,63.639998999999996
2014-02-10,64.889999
2014-02-11,65.650002
2014-02-12,66.91999799999999
2014-02-13,66.690002
2014-02-14,67.370003
2014-02-18,67.550003
2014-02-19,67.730003
2014-02-20,68.379997
2014-02-21,69.410004
2014-02-24,70.07
2014-02-25,70.449997
2014-02-26,69.610001
2014-02-27,73.75
2014-02-28,76.019997
2014-03-03,75.629997
2014-03-04,76.379997
2014-03-05,76.57
2014-03-06,77.400002
2014-03-07,77.129997
2014-03-10,76.510002
2014-03-11,75.290001
2014-03-12,75.5
2014-03-13,73.75
2014-03-14,74.400002
2014-03-17,74.599998
2014-03-18,76.690002
2014-03-19,75.18
2014-03-20,75.309998
2014-03-21,76.43
2014-03-24,73.82
2014-03-25,73.279999
2014-03-26,72.019997
2014-03-27,70.970001
2014-03-28,72.029999
2014-03-31,73.08000200000001
2014-04-01,74.349998
2014-04-02,75.57
2014-04-03,76.18
2014-04-04,73.989998
2014-04-07,70.639999
2014-04-08,70.300003
2014-04-09,71.550003
2014-04-10,70.019997
2014-04-11,68.589996
2014-04-14,67.199997
2014-04-15,66.800003
2014-04-16,69.010002
2014-04-17,68.800003
2014-04-21,69.650002
2014-04-22,68.690002
2014-04-23,68.41999799999999
2014-04-24,67.650002
2014-04-25,67.91999799999999
2014-04-28,65.970001
2014-04-29,64.980003
2014-04-30,65.66999799999999
2014-05-01,65.620003
2014-05-02,65.440002
2014-05-05,66.660004
2014-05-06,65.879997
2014-05-07,65.519997
2014-05-08,59.970001
2014-05-09,58.0
2014-05-12,58.68
2014-05-13,59.23
2014-05-14,58.450001
2014-05-15,58.700001
2014-05-16,59.52
2014-05-19,60.0
2014-05-20,59.830002
2014-05-21,60.599998
2014-05-22,60.950001
2014-05-23,61.040001000000004
2014-05-27,61.91
2014-05-28,61.720001
2014-05-29,62.029999
2014-05-30,61.880001
2014-06-02,62.279999
2014-06-03,60.73
2014-06-04,59.560001
2014-06-05,61.169998
2014-06-06,61.220001
2014-06-09,60.740002000000004
2014-06-10,60.650002
2014-06-11,60.380001
2014-06-12,60.25
2014-06-13,59.990002000000004
2014-06-16,60.25
2014-06-17,61.310001
2014-06-18,60.77
2014-06-19,62.049999
2014-06-20,61.25
2014-06-23,60.66
2014-06-24,60.619999
2014-06-25,60.810001
2014-06-26,60.509997999999996
2014-06-27,60.119999
2014-06-30,61.490002000000004
2014-07-01,62.18
2014-07-02,62.049999
2014-07-03,62.91
2014-07-07,61.549999
2014-07-08,60.02
2014-07-09,60.73
2014-07-10,60.650002
2014-07-11,60.75
2014-07-14,61.169998
2014-07-15,60.880001
2014-07-16,63.610001000000004
2014-07-17,64.83000200000001
2014-07-18,65.389999
2014-07-21,63.66
2014-07-22,63.419998
2014-07-23,62.959998999999996
2014-07-24,62.5
2014-07-25,61.66
2014-07-28,61.509997999999996
2014-07-29,61.330002
2014-07-30,61.060001
2014-07-31,59.869999
2014-08-01,59.220001
2014-08-04,59.990002000000004
2014-08-05,59.400002
2014-08-06,59.57
2014-08-07,58.299999
2014-08-08,58.950001
2014-08-11,59.849998
2014-08-12,59.619999
2014-08-13,60.5
2014-08-14,60.900002
2014-08-15,60.950001
2014-08-18,61.880001
2014-08-19,61.950001
2014-08-20,62.830002
2014-08-21,63.299999
2014-08-22,62.919998
2014-08-25,63.459998999999996
2014-08-26,63.84
2014-08-27,63.450001
2014-08-28,62.939999
2014-08-29,62.580002
2014-09-02,64.110001
2014-09-03,65.07
2014-09-04,64.459999
2014-09-05,64.83000200000001
2014-09-08,65.150002
2014-09-09,63.400002
2014-09-10,62.689999
2014-09-11,62.52
2014-09-12,62.169998
2014-09-15,62.049999
2014-09-16,62.16
2014-09-17,61.139998999999996
2014-09-18,61.529999
2014-09-19,62.610001000000004
2014-09-22,60.27
2014-09-23,59.060001
2014-09-24,58.849998
2014-09-25,58.330002
2014-09-26,59.049999
2014-09-29,58.779999
2014-09-30,58.419998
2014-10-01,56.540001000000004
2014-10-02,56.34
2014-10-03,56.950001
2014-10-06,56.709998999999996
2014-10-07,55.919998
2014-10-08,56.439999
2014-10-09,54.619999
2014-10-10,53.740002000000004
2014-10-13,52.75
2014-10-14,54.939999
2014-10-15,55.0
2014-10-16,55.32
2014-10-17,56.27
2014-10-20,56.849998
2014-10-21,59.279999
2014-10-22,58.73
2014-10-23,58.439999
2014-10-24,59.119999
2014-10-27,59.139998999999996
2014-10-28,59.970001
2014-10-29,60.720001
2014-10-30,60.48
