Date,MAXR
2011-01-11,50.509997999999996
2011-01-12,50.509997999999996
2011-01-13,50.509997999999996
2011-01-14,50.509997999999996
2011-01-18,50.509997999999996
2011-01-19,50.509997999999996
2011-01-20,50.509997999999996
2011-01-21,50.509997999999996
2011-01-24,50.509997999999996
2011-01-25,49.099998
2011-01-26,49.099998
2011-01-27,49.099998
2011-01-28,48.580002
2011-01-31,48.580002
2011-02-01,48.529999
2011-02-02,48.529999
2011-02-03,48.529999
2011-02-04,48.529999
2011-02-07,48.529999
2011-02-08,50.77
2011-02-09,50.77
2011-02-10,50.77
2011-02-11,50.77
2011-02-14,51.18
2011-02-15,51.18
2011-02-16,51.18
2011-02-17,51.18
2011-02-18,51.18
2011-02-22,51.18
2011-02-23,49.970001
2011-02-24,49.970001
2011-02-25,49.970001
2011-02-28,53.75
2011-03-01,54.650002
2011-03-02,53.360001000000004
2011-03-03,53.360001000000004
2011-03-04,53.34
2011-03-07,53.34
2011-03-08,53.34
2011-03-09,53.34
2011-03-10,53.34
2011-03-11,53.34
2011-03-14,53.34
2011-03-15,52.98
2011-03-16,52.98
2011-03-17,52.98
2011-03-18,52.98
2011-03-21,52.98
2011-03-22,52.98
2011-03-23,52.970001
2011-03-24,52.970001
2011-03-25,52.970001
2011-03-28,52.970001
2011-03-29,52.970001
2011-03-30,52.970001
2011-03-31,52.970001
2011-04-01,52.970001
2011-04-04,52.970001
2011-04-05,52.970001
2011-04-06,52.970001
2011-04-07,52.970001
2011-04-08,52.970001
2011-04-11,52.970001
2011-04-12,52.970001
2011-04-13,52.970001
2011-04-14,52.970001
2011-04-15,52.970001
2011-04-18,52.970001
2011-04-19,52.970001
2011-04-20,58.830002
2011-04-21,58.830002
2011-04-25,58.830002
2011-04-26,58.830002
2011-04-27,56.959998999999996
2011-04-28,56.959998999999996
2011-04-29,60.119999
2011-05-02,60.029999
2011-05-03,60.029999
2011-05-04,59.860001000000004
2011-05-05,59.860001000000004
2011-05-06,59.860001000000004
2011-05-09,59.860001000000004
2011-05-10,59.860001000000004
2011-05-11,59.48
2011-05-12,59.48
2011-05-13,59.48
2011-05-16,58.91
2011-05-17,58.32
2011-05-18,58.32
2011-05-19,58.32
2011-05-20,58.32
2011-05-23,58.32
2011-05-24,57.27
2011-05-25,57.27
2011-05-26,57.080002
2011-05-27,57.080002
2011-05-31,57.080002
2011-06-01,58.0
2011-06-02,58.0
2011-06-03,58.0
2011-06-06,58.0
2011-06-07,58.0
2011-06-08,58.0
2011-06-09,58.0
2011-06-10,57.799999
2011-06-13,57.060001
2011-06-14,57.060001
2011-06-15,57.060001
2011-06-16,57.060001
2011-06-17,57.060001
2011-06-20,57.060001
2011-06-21,57.060001
2011-06-22,57.060001
2011-06-23,57.060001
2011-06-24,53.349998
2011-06-27,53.349998
2011-06-28,53.349998
2011-06-29,56.09
2011-06-30,56.09
2011-07-01,56.169998
2011-07-05,56.169998
2011-07-06,56.169998
2011-07-07,56.169998
2011-07-08,56.169998
2011-07-11,56.169998
2011-07-12,56.169998
2011-07-13,56.169998
2011-07-14,56.169998
2011-07-15,56.799999
2011-07-18,56.799999
2011-07-19,56.799999
2011-07-20,56.799999
2011-07-21,56.799999
2011-07-22,56.75
2011-07-25,56.75
2011-07-26,56.75
2011-07-27,56.0
2011-07-28,56.0
2011-07-29,54.939999
2011-08-01,54.939999
2011-08-02,55.16
2011-08-03,51.84
2011-08-04,50.959998999999996
2011-08-05,50.110001000000004
2011-08-08,50.110001000000004
2011-08-09,50.110001000000004
2011-08-10,50.110001000000004
2011-08-11,50.110001000000004
2011-08-12,50.110001000000004
2011-08-15,50.110001000000004
2011-08-16,49.68
2011-08-17,49.68
2011-08-18,48.389998999999996
2011-08-19,48.389998999999996
2011-08-22,48.389998999999996
2011-08-23,48.389998999999996
2011-08-24,48.389998999999996
2011-08-25,48.389998999999996
2011-08-26,48.389998999999996
2011-08-29,48.389998999999996
2011-08-30,48.389998999999996
2011-08-31,48.389998999999996
2011-09-01,49.32
2011-09-02,49.32
2011-09-06,49.32
2011-09-07,49.32
2011-09-08,48.470001
