Date,MON
2014-04-23,112.129997
2014-04-24,110.599998
2014-04-25,109.66999799999999
2014-04-28,110.269997
2014-04-29,110.459999
2014-04-30,110.699997
2014-05-01,110.239998
2014-05-02,112.199997
2014-05-05,114.849998
2014-05-06,114.0
2014-05-07,115.940002
2014-05-08,115.82
2014-05-09,115.660004
2014-05-12,115.970001
2014-05-13,116.910004
2014-05-14,117.0
2014-05-15,115.400002
2014-05-16,116.040001
2014-05-19,116.190002
2014-05-20,115.900002
2014-05-21,116.800003
2014-05-22,119.300003
2014-05-23,119.91999799999999
2014-05-27,120.190002
2014-05-28,120.279999
2014-05-29,121.57
2014-05-30,121.849998
2014-06-02,122.389999
2014-06-03,121.199997
2014-06-04,121.300003
2014-06-05,121.959999
2014-06-06,121.720001
2014-06-09,121.349998
2014-06-10,121.349998
2014-06-11,120.75
2014-06-12,120.910004
2014-06-13,119.66999799999999
2014-06-16,119.620003
2014-06-17,120.0
2014-06-18,121.360001
2014-06-19,121.769997
2014-06-20,122.08000200000001
2014-06-23,122.099998
2014-06-24,120.629997
2014-06-25,126.730003
2014-06-26,126.18
2014-06-27,125.0
2014-06-30,124.739998
2014-07-01,124.300003
2014-07-02,126.529999
2014-07-03,126.519997
2014-07-07,125.25
2014-07-08,124.559998
2014-07-09,123.470001
2014-07-10,122.559998
2014-07-11,120.900002
2014-07-14,120.0
2014-07-15,119.980003
2014-07-16,120.18
2014-07-17,119.589996
2014-07-18,119.980003
2014-07-21,118.959999
2014-07-22,118.769997
2014-07-23,116.269997
2014-07-24,116.190002
2014-07-25,115.790001
2014-07-28,114.970001
2014-07-29,114.410004
2014-07-30,114.389999
2014-07-31,113.089996
2014-08-01,113.589996
2014-08-04,114.910004
2014-08-05,115.0
2014-08-06,116.050003
2014-08-07,115.150002
2014-08-08,115.470001
2014-08-11,115.41999799999999
2014-08-12,115.709999
2014-08-13,116.870003
2014-08-14,117.059998
2014-08-15,118.989998
2014-08-18,119.43
2014-08-19,119.83000200000001
2014-08-20,120.91999799999999
2014-08-21,117.650002
2014-08-22,116.620003
2014-08-25,117.510002
2014-08-26,117.120003
2014-08-27,115.970001
2014-08-28,115.760002
2014-08-29,115.650002
2014-09-02,114.940002
2014-09-03,115.300003
2014-09-04,113.629997
2014-09-05,114.260002
2014-09-08,114.66999799999999
2014-09-09,114.440002
2014-09-10,113.010002
2014-09-11,113.620003
2014-09-12,113.050003
2014-09-15,113.139999
2014-09-16,113.91999799999999
2014-09-17,113.690002
2014-09-18,115.489998
2014-09-19,115.110001
2014-09-22,115.25
2014-09-23,114.57
2014-09-24,115.349998
2014-09-25,113.239998
2014-09-26,113.07
2014-09-29,112.93
2014-09-30,112.510002
2014-10-01,110.779999
2014-10-02,110.190002
2014-10-03,109.809998
2014-10-06,110.459999
2014-10-07,108.230003
2014-10-08,109.730003
2014-10-09,107.690002
2014-10-10,106.720001
2014-10-13,105.910004
2014-10-14,107.870003
2014-10-15,108.83000200000001
2014-10-16,110.660004
2014-10-17,111.279999
2014-10-20,112.629997
2014-10-21,113.550003
2014-10-22,113.480003
2014-10-23,112.809998
2014-10-24,113.279999
2014-10-27,112.82
2014-10-28,113.480003
2014-10-29,112.18
2014-10-30,113.690002
2014-10-31,115.040001
2014-11-03,113.93
2014-11-04,113.389999
2014-11-05,113.82
2014-11-06,114.510002
2014-11-07,114.440002
2014-11-10,116.889999
2014-11-11,118.309998
2014-11-12,118.989998
2014-11-13,119.470001
2014-11-14,118.970001
2014-11-17,118.379997
2014-11-18,119.33000200000001
2014-11-19,119.559998
2014-11-20,119.519997
2014-11-21,120.809998
2014-11-24,120.529999
2014-11-25,119.470001
2014-11-26,120.860001
2014-11-28,119.910004
2014-12-01,118.849998
2014-12-02,118.82
2014-12-03,120.860001
2014-12-04,121.089996
2014-12-05,120.860001
2014-12-08,120.019997
2014-12-09,120.300003
2014-12-10,119.349998
2014-12-11,120.07
2014-12-12,117.940002
2014-12-15,117.790001
