Date,AR
2017-01-30,24.629998999999998
2017-01-31,24.41
2017-02-01,24.65
2017-02-02,25.58
2017-02-03,26.16
2017-02-06,25.41
2017-02-07,25.440001000000002
2017-02-08,24.82
2017-02-09,25.07
2017-02-10,24.860001
2017-02-13,24.92
2017-02-14,25.559998999999998
2017-02-15,25.83
2017-02-16,25.190001000000002
2017-02-17,25.07
2017-02-21,24.91
2017-02-22,24.540001
2017-02-23,24.299999
2017-02-24,24.0
2017-02-27,24.120001000000002
2017-02-28,23.98
2017-03-01,24.469998999999998
2017-03-02,24.57
2017-03-03,24.280001000000002
2017-03-06,24.860001
2017-03-07,24.440001000000002
2017-03-08,24.280001000000002
2017-03-09,24.200001
2017-03-10,23.799999
2017-03-13,24.1
2017-03-14,23.57
2017-03-15,23.879998999999998
2017-03-16,23.629998999999998
2017-03-17,23.48
2017-03-20,23.42
2017-03-21,22.92
2017-03-22,22.469998999999998
2017-03-23,22.26
2017-03-24,22.49
2017-03-27,22.629998999999998
2017-03-28,22.67
2017-03-29,23.129998999999998
2017-03-30,22.9
2017-03-31,22.809998999999998
2017-04-03,22.74
2017-04-04,23.16
2017-04-05,22.75
2017-04-06,23.07
2017-04-07,23.139999
2017-04-10,23.440001000000002
2017-04-11,23.120001000000002
2017-04-12,22.6
2017-04-13,22.059998999999998
2017-04-17,22.0
2017-04-18,21.950001
2017-04-19,21.389999
2017-04-20,21.370001000000002
2017-04-21,21.389999
2017-04-24,21.5
2017-04-25,21.85
2017-04-26,21.950001
2017-04-27,21.530001000000002
2017-04-28,21.190001000000002
2017-05-01,21.48
2017-05-02,21.129998999999998
2017-05-03,21.139999
2017-05-04,20.4
2017-05-05,21.25
2017-05-08,21.33
2017-05-09,20.950001
2017-05-10,21.34
2017-05-11,21.02
2017-05-12,21.17
2017-05-15,21.280001000000002
2017-05-16,20.940001000000002
2017-05-17,20.959999
2017-05-18,21.41
2017-05-19,22.24
2017-05-22,21.68
2017-05-23,21.91
2017-05-24,21.4
2017-05-25,21.209999
2017-05-26,21.02
2017-05-30,20.639999
2017-05-31,20.57
2017-06-01,20.620001000000002
2017-06-02,19.68
2017-06-05,19.76
2017-06-06,20.33
2017-06-07,20.299999
2017-06-08,20.83
2017-06-09,21.5
2017-06-12,21.58
2017-06-13,22.48
2017-06-14,21.879998999999998
2017-06-15,22.35
2017-06-16,22.6
2017-06-19,21.43
2017-06-20,20.629998999999998
2017-06-21,20.17
2017-06-22,20.16
2017-06-23,20.780001000000002
2017-06-26,21.07
2017-06-27,21.049999
2017-06-28,20.9
2017-06-29,21.41
2017-06-30,21.610001
2017-07-03,21.77
2017-07-05,20.99
2017-07-06,20.84
2017-07-07,20.66
2017-07-10,21.290001
2017-07-11,21.51
2017-07-12,21.639999
2017-07-13,21.84
2017-07-14,21.98
2017-07-17,21.92
2017-07-18,21.639999
2017-07-19,22.16
2017-07-20,21.35
2017-07-21,21.16
2017-07-24,20.799999
2017-07-25,21.27
2017-07-26,20.950001
2017-07-27,21.52
2017-07-28,21.1
2017-07-31,20.620001000000002
2017-08-01,20.299999
2017-08-02,19.860001
2017-08-03,19.01
2017-08-04,19.450001
2017-08-07,19.52
2017-08-08,18.99
2017-08-09,18.530001000000002
2017-08-10,18.549999
2017-08-11,18.49
2017-08-14,18.610001
2017-08-15,18.85
2017-08-16,18.84
2017-08-17,18.51
2017-08-18,18.82
2017-08-21,18.620001000000002
2017-08-22,19.040001
2017-08-23,19.49
2017-08-24,19.76
2017-08-25,19.68
2017-08-28,19.620001000000002
2017-08-29,19.41
2017-08-30,19.34
2017-08-31,19.690001000000002
2017-09-01,19.879998999999998
2017-09-05,19.9
2017-09-06,19.950001
2017-09-07,19.709999
2017-09-08,19.24
2017-09-11,19.6
2017-09-12,19.969998999999998
2017-09-13,20.549999
2017-09-14,20.450001
2017-09-15,20.48
2017-09-18,20.52
2017-09-19,20.27
2017-09-20,20.299999
2017-09-21,19.75
2017-09-22,19.85
2017-09-25,20.17
2017-09-26,20.379998999999998
2017-09-27,20.35
2017-09-28,19.889999
2017-09-29,19.9
2017-10-02,20.32
2017-10-03,20.51
2017-10-04,20.690001000000002
2017-10-05,20.549999
2017-10-06,20.24
2017-10-09,20.34
2017-10-10,20.34
2017-10-11,20.209999
2017-10-12,20.440001000000002
2017-10-13,20.09
2017-10-16,19.559998999999998
2017-10-17,19.65
2017-10-18,19.719998999999998
2017-10-19,19.59
2017-10-20,19.459999
2017-10-23,19.08
2017-10-24,18.959999
2017-10-25,18.51
2017-10-26,18.139999
2017-10-27,18.75
2017-10-30,18.959999
2017-10-31,19.4
2017-11-01,19.68
2017-11-02,18.9
2017-11-03,19.24
2017-11-06,20.09
2017-11-07,19.700001
2017-11-08,19.49
2017-11-09,19.77
2017-11-10,20.26
2017-11-13,19.889999
2017-11-14,18.860001
2017-11-15,18.92
2017-11-16,19.26
2017-11-17,19.92
2017-11-20,18.82
2017-11-21,18.780001000000002
2017-11-22,18.889999
2017-11-24,18.59
2017-11-27,18.610001
2017-11-28,18.540001
2017-11-29,18.76
2017-11-30,19.0
2017-12-01,19.389999
2017-12-04,18.610001
2017-12-05,18.57
2017-12-06,18.18
2017-12-07,18.200001
2017-12-08,18.23
2017-12-11,19.0
2017-12-12,18.549999
2017-12-13,18.280001000000002
2017-12-14,17.92
2017-12-15,17.65
2017-12-18,18.040001
2017-12-19,18.0
2017-12-20,18.219998999999998
2017-12-21,18.530001000000002
2017-12-22,18.59
2017-12-26,19.129998999999998
2017-12-27,19.030001000000002
2017-12-28,19.57
