Date,PULS
2020-02-20,50.099998
2020-02-21,50.119999
2020-02-24,50.110001000000004
2020-02-25,50.119999
2020-02-26,50.110001000000004
2020-02-27,50.099998
2020-02-28,50.119999
2020-03-02,50.0
2020-03-03,49.98
2020-03-04,50.009997999999996
2020-03-05,50.02
2020-03-06,50.02
2020-03-09,50.009997999999996
2020-03-10,49.869999
2020-03-11,49.560001
2020-03-12,49.060001
2020-03-13,49.25
2020-03-16,49.029999
2020-03-17,49.080002
2020-03-18,48.720001
2020-03-19,48.209998999999996
2020-03-20,47.110001000000004
2020-03-23,47.599998
2020-03-24,47.810001
2020-03-25,47.759997999999996
2020-03-26,48.040001000000004
2020-03-27,48.369999
2020-03-30,48.549999
2020-03-31,48.650002
2020-04-01,48.669998
2020-04-02,48.73
2020-04-03,48.700001
2020-04-06,48.790001000000004
2020-04-07,48.77
2020-04-08,48.91
2020-04-09,49.009997999999996
2020-04-13,49.09
2020-04-14,49.110001000000004
2020-04-15,49.130001
2020-04-16,49.130001
2020-04-17,49.18
2020-04-20,49.16
2020-04-21,49.220001
2020-04-22,49.209998999999996
2020-04-23,49.220001
2020-04-24,49.23
2020-04-27,49.209998999999996
2020-04-28,49.209998999999996
2020-04-29,49.233002
2020-04-30,49.27
2020-05-01,49.240002000000004
2020-05-04,49.209998999999996
2020-05-05,49.25
2020-05-06,49.290001000000004
2020-05-07,49.32
2020-05-08,49.34
