Date,CHRS
2018-06-19,16.4
2018-06-20,17.450001
2018-06-21,16.299999
2018-06-22,17.200001
2018-06-25,15.4
2018-06-26,15.1
2018-06-27,14.55
2018-06-28,14.75
2018-06-29,14.0
2018-07-02,14.95
2018-07-03,15.1
2018-07-05,14.45
2018-07-06,15.05
2018-07-09,14.9
2018-07-10,14.75
2018-07-11,14.9
2018-07-12,15.1
2018-07-13,15.2
2018-07-16,14.85
2018-07-17,14.9
2018-07-18,17.9
2018-07-19,18.450001
2018-07-20,18.6
2018-07-23,18.950001
2018-07-24,18.950001
2018-07-25,18.6
2018-07-26,18.35
2018-07-27,17.6
2018-07-30,18.0
2018-07-31,19.049999
2018-08-01,18.700001
2018-08-02,18.049999
2018-08-03,18.15
2018-08-06,18.4
2018-08-07,18.299999
2018-08-08,18.35
2018-08-09,18.75
2018-08-10,19.0
2018-08-13,18.75
2018-08-14,19.4
2018-08-15,18.4
2018-08-16,18.75
2018-08-17,19.0
2018-08-20,19.1
2018-08-21,19.15
2018-08-22,19.25
2018-08-23,19.0
2018-08-24,18.9
2018-08-27,18.85
2018-08-28,20.25
2018-08-29,20.15
2018-08-30,20.0
2018-08-31,20.15
2018-09-04,19.950001
2018-09-05,20.049999
2018-09-06,19.799999
2018-09-07,18.799999
2018-09-10,17.9
2018-09-11,17.549999
2018-09-12,17.85
2018-09-13,17.75
2018-09-14,17.35
2018-09-17,17.0
2018-09-18,17.1
2018-09-19,16.5
2018-09-20,16.35
2018-09-21,15.95
2018-09-24,16.1
2018-09-25,16.6
2018-09-26,16.0
2018-09-27,16.299999
2018-09-28,16.5
2018-10-01,16.26
2018-10-02,16.18
2018-10-03,16.280001000000002
2018-10-04,15.39
2018-10-05,14.92
2018-10-08,14.13
2018-10-09,13.68
2018-10-10,13.24
2018-10-11,13.21
2018-10-12,13.33
2018-10-15,13.05
2018-10-16,13.38
2018-10-17,12.99
2018-10-18,12.71
2018-10-19,12.33
2018-10-22,12.09
2018-10-23,12.09
2018-10-24,10.87
2018-10-25,11.63
2018-10-26,11.52
2018-10-29,11.53
2018-10-30,11.75
2018-10-31,11.69
2018-11-01,11.6
2018-11-02,12.3
2018-11-05,11.32
2018-11-06,11.93
2018-11-07,12.48
2018-11-08,11.93
2018-11-09,10.055
2018-11-12,10.945
2018-11-13,11.14
2018-11-14,10.96
2018-11-15,12.08
2018-11-16,12.27
2018-11-19,11.62
2018-11-20,11.61
2018-11-21,12.16
2018-11-23,11.78
2018-11-26,11.57
2018-11-27,10.9
2018-11-28,11.0
2018-11-29,10.77
2018-11-30,11.06
2018-12-03,10.88
2018-12-04,10.23
2018-12-06,10.69
2018-12-07,10.44
2018-12-10,9.95
2018-12-11,9.88
2018-12-12,10.02
2018-12-13,9.98
2018-12-14,9.73
2018-12-17,9.68
2018-12-18,9.5
2018-12-19,9.49
2018-12-20,9.4
2018-12-21,8.65
2018-12-24,8.66
2018-12-26,9.27
2018-12-27,8.79
2018-12-28,8.93
2018-12-31,9.05
2019-01-02,9.12
2019-01-03,8.38
2019-01-04,8.67
2019-01-07,10.25
2019-01-08,10.95
2019-01-09,11.54
2019-01-10,12.2
2019-01-11,12.37
2019-01-14,12.34
2019-01-15,12.19
2019-01-16,11.51
2019-01-17,11.11
2019-01-18,11.72
2019-01-22,11.7
2019-01-23,11.11
2019-01-24,11.47
2019-01-25,12.22
2019-01-28,12.17
