Date,RTH
2003-02-19,21.986666
2003-02-20,21.766666
2003-02-21,22.236666
2003-02-24,21.889999
2003-02-25,22.200001
2003-02-26,22.033333
2003-02-27,22.15
2003-02-28,22.146667
2003-03-03,21.916666
2003-03-04,21.4
2003-03-05,21.57
2003-03-06,21.549999
2003-03-07,21.85
2003-03-10,21.366667
2003-03-11,21.26
2003-03-12,21.473333
2003-03-13,22.42
2003-03-14,22.366667
2003-03-17,23.536667
2003-03-18,23.483334
2003-03-19,23.886667000000003
2003-03-20,24.016666
2003-03-21,24.733334
2003-03-24,23.583334
2003-03-25,24.016666
2003-03-26,24.15
2003-03-27,23.966667
2003-03-28,23.683332
2003-03-31,23.366667
2003-04-01,23.469998999999998
2003-04-02,24.316668
2003-04-03,24.366667
2003-04-04,24.633333
2003-04-07,24.700001
2003-04-08,24.683332
2003-04-09,24.193333
2003-04-10,24.716667
2003-04-11,24.483334
2003-04-14,24.9
2003-04-15,25.276667
2003-04-16,24.700001
2003-04-17,25.1
2003-04-21,25.02
2003-04-22,25.41
2003-04-23,25.316668
2003-04-24,25.043332999999997
2003-04-25,24.93
2003-04-28,25.469998999999998
2003-04-29,25.780001000000002
2003-04-30,25.596666
2003-05-01,25.376667
2003-05-02,25.763334
2003-05-05,25.716667
2003-05-06,26.1
2003-05-07,25.966667
2003-05-08,25.870001000000002
2003-05-09,26.200001
2003-05-12,26.626666999999998
2003-05-13,26.543333
2003-05-14,26.110001
2003-05-15,25.860001
2003-05-16,25.629998999999998
2003-05-19,24.833334
2003-05-20,25.23
2003-05-21,25.200001
2003-05-22,25.549999
2003-05-23,25.283333
2003-05-27,25.773332999999997
2003-05-28,26.113332999999997
2003-05-29,25.92
2003-05-30,26.299999
2003-06-02,26.556666999999997
2003-06-03,26.773333
2003-06-04,27.103333000000003
2003-06-05,27.243334
2003-06-06,27.026667
2003-06-09,26.753334000000002
2003-06-10,27.063334
2003-06-11,27.290001
2003-06-12,27.15
2003-06-13,26.83
2003-06-16,27.559998999999998
2003-06-17,27.493334
2003-06-18,27.366667
2003-06-19,27.083334000000004
2003-06-20,27.033333000000002
2003-06-23,26.639999
2003-06-24,26.93
2003-06-25,26.823334000000003
2003-06-26,27.066668
2003-06-27,26.926665999999997
2003-06-30,27.066668
2003-07-01,27.16
2003-07-02,27.396666999999997
2003-07-03,27.15
2003-07-07,27.76
2003-07-08,28.253334000000002
2003-07-09,27.85
2003-07-10,27.483334000000003
2003-07-11,27.983334000000003
2003-07-14,28.1
