Date,H
2012-12-12,36.860001000000004
2012-12-13,36.310001
2012-12-14,36.52
2012-12-17,37.0
2012-12-18,37.450001
2012-12-19,37.34
2012-12-20,38.889998999999996
2012-12-21,38.82
2012-12-24,38.849998
2012-12-26,38.279999
2012-12-27,38.349998
2012-12-28,37.84
2012-12-31,38.57
2013-01-02,39.419998
2013-01-03,39.419998
2013-01-04,39.439999
2013-01-07,39.279999
2013-01-08,38.869999
2013-01-09,39.029999
2013-01-10,39.310001
2013-01-11,39.380001
2013-01-14,38.810001
2013-01-15,39.099998
2013-01-16,38.900002
2013-01-17,39.099998
2013-01-18,39.209998999999996
2013-01-22,39.919998
2013-01-23,39.98
2013-01-24,39.93
2013-01-25,40.490002000000004
2013-01-28,40.48
2013-01-29,40.32
2013-01-30,40.029999
2013-01-31,40.07
2013-02-01,40.23
2013-02-04,40.16
2013-02-05,40.790001000000004
2013-02-06,41.310001
2013-02-07,41.209998999999996
2013-02-08,41.360001000000004
2013-02-11,41.59
2013-02-12,42.16
2013-02-13,41.82
2013-02-14,41.540001000000004
2013-02-15,42.34
2013-02-19,41.970001
2013-02-20,40.98
2013-02-21,40.43
2013-02-22,40.619999
2013-02-25,40.0
2013-02-26,40.169998
2013-02-27,40.830002
2013-02-28,41.09
2013-03-01,41.0
2013-03-04,40.860001000000004
2013-03-05,41.34
2013-03-06,41.450001
2013-03-07,41.630001
2013-03-08,42.389998999999996
2013-03-11,42.709998999999996
2013-03-12,42.68
2013-03-13,42.759997999999996
2013-03-14,43.310001
2013-03-15,43.439999
2013-03-18,43.189999
2013-03-19,42.939999
2013-03-20,42.869999
2013-03-21,42.540001000000004
2013-03-22,42.450001
2013-03-25,42.299999
2013-03-26,42.540001000000004
2013-03-27,43.139998999999996
2013-03-28,43.23
2013-04-01,42.939999
2013-04-02,42.610001000000004
2013-04-03,41.509997999999996
2013-04-04,42.07
2013-04-05,41.68
2013-04-08,42.27
2013-04-09,42.52
2013-04-10,42.68
2013-04-11,42.82
2013-04-12,42.630001
2013-04-15,41.200001
2013-04-16,41.630001
2013-04-17,41.290001000000004
2013-04-18,40.82
2013-04-19,41.09
2013-04-22,41.0
2013-04-23,41.419998
2013-04-24,41.57
2013-04-25,41.650002
2013-04-26,41.740002000000004
2013-04-29,41.099998
2013-04-30,42.68
2013-05-01,40.32
2013-05-02,40.080002
2013-05-03,41.18
2013-05-06,41.32
2013-05-07,41.470001
2013-05-08,41.77
2013-05-09,41.18
2013-05-10,41.450001
2013-05-13,41.34
2013-05-14,41.369999
2013-05-15,40.779999
2013-05-16,40.0
2013-05-17,40.57
2013-05-20,41.220001
2013-05-21,41.610001000000004
2013-05-22,40.91
2013-05-23,40.48
