Date,CX
2001-11-21,9.024024
2001-11-23,9.119014
2001-11-26,9.187407
2001-11-27,9.331791
2001-11-28,9.464775999999999
2001-11-29,9.559766
2001-11-30,9.590163
2001-12-03,9.514171000000001
2001-12-04,9.498973
2001-12-05,9.783942
2001-12-06,9.802939
2001-12-07,10.106907000000001
2001-12-10,9.916927000000001
2001-12-11,9.958722999999999
2001-12-12,10.027116
2001-12-13,9.909328
2001-12-14,9.829536000000001
2001-12-17,9.89413
2001-12-18,9.688952
2001-12-19,9.552166999999999
2001-12-20,9.441978
2001-12-21,9.631958000000001
2001-12-24,9.631958000000001
2001-12-26,9.647157
2001-12-27,9.593963
2001-12-28,9.555966
2001-12-31,9.384985
2002-01-02,9.597762
2002-01-03,9.821938000000001
2002-01-04,9.768744
2002-01-07,9.719349000000001
2002-01-08,9.745946
2002-01-09,9.688952
2002-01-10,9.571164999999999
2002-01-11,9.468575
2002-01-14,9.453378
2002-01-15,9.650955999999999
2002-01-16,9.685152
2002-01-17,9.700351
2002-01-18,9.764944
2002-01-22,9.821938000000001
2002-01-23,10.027116
2002-01-24,10.049913
2002-01-25,9.916927000000001
2002-01-28,9.943524
2002-01-29,9.882731
2002-01-30,9.905529
2002-01-31,10.030915
2002-02-01,9.951124
2002-02-04,9.742146
2002-02-05,9.574964999999999
2002-02-06,9.616760000000001
2002-02-07,9.540768
2002-02-08,9.498973
2002-02-11,9.286196
2002-02-12,9.384985
2002-02-13,9.441978
2002-02-14,9.495173
2002-02-15,9.43058
2002-02-19,9.384985
2002-02-20,9.289995
2002-02-21,9.365986999999999
2002-02-22,9.255799
2002-02-25,9.369786
2002-02-26,9.33939
2002-02-27,9.308993
2002-02-28,9.270997
2002-03-01,9.70415
2002-03-04,9.954924
2002-03-05,10.038514
2002-03-06,10.296886
2002-03-07,10.338682
2002-03-08,10.676846000000001
2002-03-11,10.832628
2002-03-12,10.722441
2002-03-13,10.657847
2002-03-14,10.63505
2002-03-15,11.075802000000001
2002-03-18,11.201189
2002-03-19,11.493757
2002-03-20,11.163193
2002-03-21,11.102399
2002-03-22,11.246783
2002-03-25,11.189789999999999
2002-03-26,11.185989999999999
2002-03-27,11.201189
2002-03-28,11.223986
2002-04-01,11.330375
2002-04-02,11.303778
2002-04-03,11.163193
2002-04-04,11.163193
2002-04-05,11.36837
2002-04-08,11.326575
2002-04-09,11.28478
2002-04-10,11.831921000000001
2002-04-11,11.854718
2002-04-12,12.185282
2002-04-15,12.272673
2002-04-16,12.420856
2002-04-17,12.249875
2002-04-18,12.094092
2002-04-19,12.048497
2002-04-22,11.942108000000001
2002-04-23,11.55835
2002-04-24,11.679936
2002-04-25,11.588747
2002-04-26,11.831921000000001
2002-04-29,11.771127
2002-04-30,12.044698
2002-05-01,12.059896
2002-05-02,12.0143
2002-05-03,11.664738999999999
2002-05-06,11.930710000000001
2002-05-07,11.774925999999999
2002-05-08,11.892714
2002-05-09,11.793924
2002-05-10,11.786325
2002-05-13,11.854718
2002-05-14,11.995303
2002-05-15,12.056096
2002-05-16,12.086492999999999
2002-05-17,12.11309
2002-05-20,12.052297
2002-05-21,11.816722
2002-05-22,11.790125
2002-05-23,11.930710000000001
2002-05-24,11.816722
2002-05-28,11.721732000000001
2002-05-29,11.379769
2002-05-30,11.265781
2002-05-31,11.410166
2002-06-03,11.227786
2002-06-04,11.113798
2002-06-05,11.083402
2002-06-06,10.882023
2002-06-07,10.969414
2002-06-10,10.885822000000001
2002-06-11,10.866825
2002-06-12,10.745238
2002-06-13,10.703443
2002-06-14,10.980812
2002-06-17,11.170792
2002-06-18,11.159393
2002-06-19,10.935217
2002-06-20,10.733839
2002-06-21,10.505864
2002-06-24,10.25889
2002-06-25,10.220895
2002-06-26,9.913128
2002-06-27,10.220895
2002-06-28,10.015717
