Date,FN
2014-05-19,19.57
2014-05-20,19.219998999999998
2014-05-21,19.59
2014-05-22,19.559998999999998
2014-05-23,19.85
2014-05-27,19.9
2014-05-28,19.57
2014-05-29,18.629998999999998
2014-05-30,19.02
2014-06-02,18.940001000000002
2014-06-03,18.860001
2014-06-04,18.870001000000002
2014-06-05,19.33
2014-06-06,19.52
2014-06-09,20.030001000000002
2014-06-10,20.540001
2014-06-11,20.700001
2014-06-12,20.49
2014-06-13,20.200001
2014-06-16,20.25
2014-06-17,20.32
2014-06-18,20.34
2014-06-19,20.08
2014-06-20,20.469998999999998
2014-06-23,20.4
2014-06-24,20.459999
2014-06-25,20.75
2014-06-26,20.77
2014-06-27,20.559998999999998
2014-06-30,20.6
2014-07-01,20.84
2014-07-02,20.59
2014-07-03,20.59
2014-07-07,20.66
2014-07-08,20.52
2014-07-09,20.469998999999998
2014-07-10,19.68
2014-07-11,19.690001000000002
2014-07-14,19.809998999999998
2014-07-15,19.549999
2014-07-16,19.49
2014-07-17,19.17
2014-07-18,19.93
2014-07-21,19.690001000000002
2014-07-22,20.02
2014-07-23,19.530001000000002
2014-07-24,19.389999
2014-07-25,19.280001000000002
2014-07-28,19.040001
2014-07-29,18.84
2014-07-30,18.940001000000002
2014-07-31,18.6
2014-08-01,18.700001
2014-08-04,18.709999
2014-08-05,18.639999
2014-08-06,19.25
2014-08-07,18.940001000000002
2014-08-08,19.299999
2014-08-11,19.4
2014-08-12,19.16
2014-08-13,18.4
2014-08-14,17.07
2014-08-15,17.75
2014-08-18,14.53
2014-08-19,14.81
2014-08-20,14.91
2014-08-21,15.0
2014-08-22,15.7
2014-08-25,16.25
2014-08-26,16.5
2014-08-27,16.299999
2014-08-28,16.030001000000002
2014-08-29,16.190001000000002
2014-09-02,16.0
2014-09-03,15.92
2014-09-04,15.94
2014-09-05,15.86
2014-09-08,15.78
2014-09-09,15.42
2014-09-10,15.48
2014-09-11,15.25
2014-09-12,15.27
2014-09-15,15.18
2014-09-16,15.21
2014-09-17,15.35
2014-09-18,15.53
2014-09-19,15.22
2014-09-22,14.83
2014-09-23,14.69
2014-09-24,14.59
2014-09-25,14.38
2014-09-26,14.94
2014-09-29,14.75
2014-09-30,14.6
2014-10-01,14.55
2014-10-02,14.81
2014-10-03,15.05
2014-10-06,15.2
2014-10-07,14.7
2014-10-08,14.61
2014-10-09,14.47
2014-10-10,14.13
2014-10-13,14.31
2014-10-14,14.56
2014-10-15,14.76
2014-10-16,14.85
2014-10-17,16.110001
2014-10-20,16.030001000000002
2014-10-21,16.6
2014-10-22,16.32
2014-10-23,16.75
2014-10-24,16.73
2014-10-27,16.59
2014-10-28,17.110001
2014-10-29,16.969998999999998
2014-10-30,17.459999
2014-10-31,18.209999
2014-11-03,18.26
2014-11-04,17.52
2014-11-05,17.450001
2014-11-06,17.52
2014-11-07,17.41
2014-11-10,17.73
2014-11-11,17.68
2014-11-12,17.969998999999998
2014-11-13,17.5
2014-11-14,17.809998999999998
2014-11-17,16.83
2014-11-18,16.799999
2014-11-19,16.610001
2014-11-20,17.01
2014-11-21,16.99
2014-11-24,17.25
2014-11-25,17.16
2014-11-26,17.0
2014-11-28,16.77
2014-12-01,16.360001
2014-12-02,16.75
2014-12-03,17.360001
2014-12-04,17.25
2014-12-05,17.860001
2014-12-08,17.379998999999998
2014-12-09,17.299999
2014-12-10,16.6
2014-12-11,16.370001000000002
2014-12-12,15.95
2014-12-15,15.76
2014-12-16,15.97
2014-12-17,16.6
2014-12-18,17.02
2014-12-19,17.4
2014-12-22,17.540001
2014-12-23,17.68
2014-12-24,17.51
2014-12-26,17.6
2014-12-29,17.35
2014-12-30,17.57
2014-12-31,17.74
2015-01-02,17.219998999999998
2015-01-05,17.34
2015-01-06,16.809998999999998
2015-01-07,16.77
2015-01-08,17.27
2015-01-09,17.02
2015-01-12,16.889999
2015-01-13,16.799999
2015-01-14,16.68
2015-01-15,16.17
2015-01-16,17.129998999999998
2015-01-20,16.98
2015-01-21,16.82
2015-01-22,16.73
2015-01-23,16.35
2015-01-26,16.379998999999998
2015-01-27,16.09
2015-01-28,16.25
2015-01-29,16.5
2015-01-30,16.33
2015-02-02,16.459999
2015-02-03,16.83
2015-02-04,16.190001000000002
2015-02-05,16.15
2015-02-06,16.690001000000002
2015-02-09,16.709999
2015-02-10,16.860001
2015-02-11,16.959999
2015-02-12,16.92
2015-02-13,16.940001000000002
2015-02-17,16.889999
2015-02-18,16.83
2015-02-19,16.889999
2015-02-20,16.92
2015-02-23,16.93
2015-02-24,17.48
2015-02-25,17.780001000000002
2015-02-26,17.950001
2015-02-27,17.950001
2015-03-02,17.98
2015-03-03,17.879998999999998
2015-03-04,18.07
2015-03-05,18.219998999999998
2015-03-06,17.709999
2015-03-09,18.309998999999998
2015-03-10,17.99
2015-03-11,18.129998999999998
2015-03-12,18.379998999999998
2015-03-13,18.719998999999998
2015-03-16,18.790001
2015-03-17,18.959999
2015-03-18,19.040001
2015-03-19,19.030001000000002
2015-03-20,19.49
2015-03-23,19.639999
2015-03-24,19.200001
2015-03-25,18.58
2015-03-26,18.49
2015-03-27,18.51
2015-03-30,18.9
2015-03-31,18.99
