Date,ISBC
2007-05-04,5.688505
2007-05-07,5.664967
2007-05-08,5.664967
2007-05-09,5.6531970000000005
2007-05-10,5.527658
2007-05-11,5.547274
2007-05-14,5.527658
2007-05-15,5.535504
2007-05-16,5.531581
2007-05-17,5.527658
2007-05-18,5.531581
2007-05-21,5.559043
2007-05-22,5.562966
2007-05-23,5.488427
2007-05-24,5.476657
2007-05-25,5.44135
2007-05-29,5.484504
2007-05-30,5.445272
2007-05-31,5.464887999999999
2007-06-01,5.504119
2007-06-04,5.539427
2007-06-05,5.437427
2007-06-06,5.437427
2007-06-07,5.36681
2007-06-08,5.433503
2007-06-11,5.433503
2007-06-12,5.355041
2007-06-13,5.355041
2007-06-14,5.37858
2007-06-15,5.511965
2007-06-18,5.453119
2007-06-19,5.464887999999999
2007-06-20,5.343272
2007-06-21,5.398194999999999
2007-06-22,5.417811
2007-06-25,5.237348
2007-06-26,5.229502
2007-06-27,5.343272
2007-06-28,5.343272
2007-06-29,5.268733
2007-07-02,5.256964
2007-07-03,5.284425
2007-07-05,5.268733
2007-07-06,5.276579
2007-07-09,5.272656
2007-07-10,5.256964
2007-07-11,5.158886
2007-07-12,5.256964
2007-07-13,5.288348
2007-07-16,5.237348
2007-07-17,5.198117
2007-07-18,5.100039
2007-07-19,5.096116
2007-07-20,5.013731
2007-07-23,4.9627300000000005
2007-07-24,4.805806
2007-07-25,4.8254220000000005
2007-07-26,4.829345
2007-07-27,4.841114
2007-07-30,4.790114
2007-07-31,4.719498000000001
2007-08-01,4.743036
2007-08-02,4.754805999999999
2007-08-03,4.527266
2007-08-06,4.750883
2007-08-07,4.935269
2007-08-08,5.26481
2007-08-09,5.245194000000001
2007-08-10,5.209886
2007-08-13,5.052962
2007-08-14,4.935269
2007-08-15,4.954884
2007-08-16,5.1863470000000005
2007-08-17,5.272656
2007-08-20,5.276579
2007-08-21,5.515889
2007-08-22,5.508042
2007-08-23,5.460965
2007-08-24,5.398194999999999
2007-08-27,5.390349
2007-08-28,5.307964
2007-08-29,5.496273
2007-08-30,5.54335
2007-08-31,5.570812
2007-09-04,5.5943510000000005
2007-09-05,5.54335
2007-09-06,5.590427
2007-09-07,5.531581
2007-09-10,5.551197
2007-09-11,5.637505
2007-09-12,5.54335
2007-09-13,5.570812
2007-09-14,5.621812
2007-09-17,5.54335
2007-09-18,5.723813
2007-09-19,5.71989
2007-09-20,5.708121
2007-09-21,5.727736
2007-09-24,5.684582
2007-09-25,5.578658
2007-09-26,5.590427
2007-09-27,5.629658999999999
2007-09-28,5.55512
2007-10-01,5.7395059999999996
2007-10-02,5.857199
2007-10-03,5.802275
2007-10-04,5.857199
2007-10-05,5.841506
2007-10-08,5.829737000000001
2007-10-09,5.857199
2007-10-10,5.868968
2007-10-11,5.78266
2007-10-12,5.794429
2007-10-15,5.7983519999999995
2007-10-16,5.763044
2007-10-17,5.712044000000001
2007-10-18,5.78266
2007-10-19,5.519812
2007-10-22,5.755198
2007-10-23,5.829737000000001
2007-10-24,5.7787370000000005
2007-10-25,5.770891000000001
2007-10-26,5.794429
2007-10-29,5.8179680000000005
2007-10-30,5.806198999999999
2007-10-31,5.884661
2007-11-01,5.496273
2007-11-02,5.508042
2007-11-05,5.402119
2007-11-06,5.578658
2007-11-07,5.472734
2007-11-08,5.637505
2007-11-09,5.625736
2007-11-12,5.806198999999999
2007-11-13,5.880738
2007-11-14,5.802275
2007-11-15,5.704198
2007-11-16,5.763044
2007-11-19,5.649274
2007-11-20,5.559043
2007-11-21,5.49235
2007-11-23,5.5943510000000005
2007-11-26,5.472734
2007-11-27,5.621812
2007-11-28,5.763044
2007-11-29,5.7395059999999996
2007-11-30,5.755198
2007-12-03,5.723813
2007-12-04,5.8179680000000005
2007-12-05,5.841506
2007-12-06,5.865044999999999
2007-12-07,5.821891
2007-12-10,5.845429
2007-12-11,5.6531970000000005
2007-12-12,5.637505
2007-12-13,5.610043
2007-12-14,5.508042
2007-12-17,5.425657
2007-12-18,5.60612
2007-12-19,5.633582
2007-12-20,5.621812
