Date,FNB
1989-06-15,8.62402
1989-06-16,8.62402
1989-06-19,8.62402
1989-06-20,8.62402
1989-06-21,8.62402
1989-06-22,8.62402
1989-06-23,8.62402
1989-06-26,8.62402
1989-06-27,8.62402
1989-06-28,8.62402
1989-06-29,8.62402
1989-06-30,8.62402
1989-07-03,8.62402
1989-07-05,8.62402
1989-07-06,8.62402
1989-07-07,8.62402
1989-07-10,8.62402
1989-07-11,8.62402
1989-07-12,8.62402
1989-07-13,8.62402
1989-07-14,8.62402
1989-07-17,8.62402
1989-07-18,8.47785
1989-07-19,8.47785
1989-07-20,8.33168
1989-07-21,8.18551
1989-07-24,8.18551
1989-07-25,8.18551
1989-07-26,8.18551
1989-07-27,8.18551
1989-07-28,8.18551
1989-07-31,8.18551
1989-08-01,8.18551
1989-08-02,8.18551
1989-08-03,8.18551
1989-08-04,8.18551
1989-08-07,8.18551
1989-08-08,8.18551
1989-08-09,8.18551
1989-08-10,8.18551
1989-08-11,8.18551
1989-08-14,8.18551
1989-08-15,8.18551
1989-08-16,8.18551
1989-08-17,8.18551
1989-08-18,8.18551
1989-08-21,8.18551
1989-08-22,8.18551
1989-08-23,8.18551
1989-08-24,8.18551
1989-08-25,8.18551
1989-08-28,8.18551
1989-08-29,8.18551
1989-08-30,8.18551
1989-08-31,8.18551
1989-09-01,8.18551
1989-09-05,8.18551
1989-09-06,8.18551
1989-09-07,8.18551
1989-09-08,8.18551
1989-09-11,8.18551
1989-09-12,8.18551
1989-09-13,8.18551
1989-09-14,8.18551
1989-09-15,8.18551
1989-09-18,8.18551
1989-09-19,8.18551
1989-09-20,8.18551
1989-09-21,7.89317
1989-09-22,8.18551
1989-09-25,8.18551
1989-09-26,8.18551
1989-09-27,8.18551
1989-09-28,8.18551
1989-09-29,8.18551
1989-10-02,8.18551
1989-10-03,8.18551
1989-10-04,8.18551
1989-10-05,8.18551
1989-10-06,8.18551
1989-10-09,8.18551
1989-10-10,8.18551
1989-10-11,8.18551
1989-10-12,8.18551
1989-10-13,8.18551
1989-10-16,8.18551
1989-10-17,7.89317
1989-10-18,7.89317
1989-10-19,7.89317
1989-10-20,8.03934
1989-10-23,8.03934
1989-10-24,8.03934
1989-10-25,8.03934
1989-10-26,8.18551
1989-10-27,8.18551
1989-10-30,8.03934
1989-10-31,8.03934
1989-11-01,8.03934
1989-11-02,8.03934
1989-11-03,8.18551
1989-11-06,8.18551
1989-11-07,8.18551
1989-11-08,8.18551
1989-11-09,8.33168
1989-11-10,8.33168
1989-11-13,8.33168
1989-11-14,8.33168
1989-11-15,8.770189
1989-11-16,8.770189
1989-11-17,8.770189
1989-11-20,8.770189
1989-11-21,8.770189
1989-11-22,8.770189
1989-11-24,8.770189
1989-11-27,8.770189
1989-11-28,8.770189
1989-11-29,8.770189
1989-11-30,8.770189
1989-12-01,8.770189
1989-12-04,8.770189
1989-12-05,8.770189
1989-12-06,8.770189
1989-12-07,8.770189
1989-12-08,8.770189
1989-12-11,8.770189
1989-12-12,8.770189
1989-12-13,8.770189
1989-12-14,8.770189
1989-12-15,8.62402
1989-12-18,8.62402
1989-12-19,8.62402
1989-12-20,8.62402
1989-12-21,8.62402
1989-12-22,8.62402
1989-12-26,8.62402
1989-12-27,8.62402
1989-12-28,8.62402
1989-12-29,8.62402
1990-01-02,8.62402
1990-01-03,8.62402
1990-01-04,8.62402
1990-01-05,8.62402
1990-01-08,8.62402
1990-01-09,8.62402
1990-01-10,8.62402
1990-01-11,8.62402
1990-01-12,8.62402
1990-01-15,8.62402
1990-01-16,8.62402
1990-01-17,8.62402
1990-01-18,8.62402
1990-01-19,8.62402
1990-01-22,8.62402
1990-01-23,8.62402
1990-01-24,8.62402
1990-01-25,8.62402
1990-01-26,8.62402
1990-01-29,8.62402
1990-01-30,8.62402
1990-01-31,8.62402
1990-02-01,8.62402
1990-02-02,8.62402
1990-02-05,8.62402
1990-02-06,8.62402
1990-02-07,8.62402
1990-02-08,8.62402
1990-02-09,8.770189
1990-02-12,8.770189
1990-02-13,8.770189
1990-02-14,8.770189
1990-02-15,8.770189
1990-02-16,8.770189
1990-02-20,8.770189
1990-02-21,8.770189
1990-02-22,8.770189
1990-02-23,8.770189
1990-02-26,8.770189
1990-02-27,8.770189
1990-02-28,8.770189
1990-03-01,8.770189
1990-03-02,8.770189
1990-03-05,8.770189
1990-03-06,8.770189
1990-03-07,8.770189
1990-03-08,8.770189
1990-03-09,8.770189
1990-03-12,8.770189
1990-03-13,8.770189
1990-03-14,8.770189
1990-03-15,8.770189
1990-03-16,8.770189
1990-03-19,8.770189
1990-03-20,8.770189
1990-03-21,8.770189
1990-03-22,8.770189
1990-03-23,8.770189
1990-03-26,8.770189
1990-03-27,8.770189
1990-03-28,8.770189
1990-03-29,8.770189
1990-03-30,8.916359
1990-04-02,8.770189
1990-04-03,8.770189
1990-04-04,8.770189
1990-04-05,8.770189
1990-04-06,8.770189
1990-04-09,8.770189
1990-04-10,8.770189
1990-04-11,8.770189
1990-04-12,8.770189
1990-04-16,8.770189
1990-04-17,8.770189
1990-04-18,8.770189
1990-04-19,8.770189
1990-04-20,8.770189
1990-04-23,8.770189
1990-04-24,8.770189
