Date,BAP
1997-12-04,16.186892999999998
1997-12-05,16.077522000000002
1997-12-08,15.640038
1997-12-09,15.804095000000002
1997-12-10,15.804095000000002
1997-12-11,15.585353
1997-12-12,15.475982
1997-12-15,15.749410000000001
1997-12-16,15.804095000000002
1997-12-17,15.421297000000001
1997-12-18,15.421297000000001
1997-12-19,15.311926000000001
1997-12-22,15.530667000000001
1997-12-23,15.421297000000001
1997-12-24,15.640038
1997-12-26,15.530667000000001
1997-12-29,15.749410000000001
1997-12-30,15.749410000000001
1997-12-31,15.749410000000001
1998-01-02,15.694723999999999
1998-01-05,15.640038
1998-01-06,15.421297000000001
1998-01-07,14.929128
1998-01-08,14.765070999999999
1998-01-09,14.272901999999998
1998-01-12,14.491644
1998-01-13,15.093183999999999
1998-01-14,15.530667000000001
1998-01-15,15.093183999999999
1998-01-16,15.366610999999999
1998-01-20,15.093183999999999
1998-01-21,15.202554999999998
1998-01-22,14.929128
1998-01-23,14.983813
1998-01-26,15.038499
1998-01-27,14.983813
1998-01-28,15.147869
1998-01-29,15.038499
1998-01-30,15.202554999999998
1998-02-02,15.694723999999999
1998-02-03,15.640038
1998-02-04,15.421297000000001
1998-02-05,15.530667000000001
1998-02-06,15.640038
1998-02-09,15.694723999999999
1998-02-10,15.585353
1998-02-11,15.749410000000001
1998-02-12,15.421297000000001
1998-02-13,15.25724
1998-02-17,15.093183999999999
1998-02-18,14.655701
1998-02-19,14.655701
1998-02-20,14.655701
1998-02-23,14.601015
1998-02-24,14.163530999999999
1998-02-25,14.108846
1998-02-26,14.108846
1998-02-27,14.108846
1998-03-02,13.999475
1998-03-03,13.94479
1998-03-04,14.327588
1998-03-05,14.436957999999999
1998-03-06,14.655701
1998-03-09,15.093183999999999
1998-03-10,15.038499
1998-03-11,15.038499
1998-03-12,15.202554999999998
1998-03-13,14.983813
1998-03-16,14.819757000000001
1998-03-17,14.765070999999999
1998-03-18,14.765070999999999
1998-03-19,14.819757000000001
1998-03-20,14.874442000000002
1998-03-23,14.983813
1998-03-24,15.421297000000001
1998-03-25,15.311926000000001
1998-03-26,15.475982
1998-03-27,15.399423
1998-03-30,15.519731
1998-03-31,15.519731
1998-04-01,15.640038
1998-04-02,15.880654000000002
1998-04-03,16.181425
1998-04-06,16.181425
1998-04-07,16.241579
1998-04-08,16.121271
1998-04-09,16.121271
1998-04-13,16.061117000000003
1998-04-14,16.181425
1998-04-15,16.361887
1998-04-16,16.361887
1998-04-17,16.482195
1998-04-20,16.662657
1998-04-21,16.843119
1998-04-22,16.662657
1998-04-23,16.542348999999998
1998-04-24,16.422041
1998-04-27,16.361887
1998-04-28,16.181425
1998-04-29,16.241579
1998-04-30,16.121271
1998-05-01,16.121271
1998-05-04,16.361887
1998-05-05,16.301733
1998-05-06,16.000963
1998-05-07,15.880654000000002
1998-05-08,15.760345999999998
1998-05-11,15.880654000000002
1998-05-12,15.640038
1998-05-13,15.399423
1998-05-14,15.880654000000002
1998-05-15,16.061117000000003
1998-05-18,15.760345999999998
1998-05-19,15.700192000000001
1998-05-20,15.760345999999998
1998-05-21,15.8205
1998-05-22,15.880654000000002
1998-05-26,15.459577
