Date,VOD
1991-03-01,5.174506
1991-03-04,5.193923000000001
1991-03-05,5.193923000000001
1991-03-06,5.174506
1991-03-07,5.048299
1991-03-08,5.048299
1991-03-11,4.999757
1991-03-12,5.019174
1991-03-13,5.077424
1991-03-14,5.135673000000001
1991-03-15,5.09684
1991-03-18,5.077424
1991-03-19,4.825008
1991-03-20,4.892966
1991-03-21,4.970633
1991-03-22,5.009466000000001
1991-03-25,4.970633
1991-03-26,5.028882
1991-03-27,4.990049
1991-03-28,4.9609239999999994
1991-04-01,4.9609239999999994
1991-04-02,5.028882
1991-04-03,5.0871319999999995
1991-04-04,5.417212999999999
1991-04-05,5.630795
1991-04-08,5.475462
1991-04-09,5.426921
1991-04-10,5.358963
1991-04-11,5.397796
1991-04-12,5.349255
1991-04-15,5.4075050000000005
1991-04-16,5.417212999999999
1991-04-17,5.572545
1991-04-18,5.475462
1991-04-19,5.358963
1991-04-22,5.067715
1991-04-23,5.116257
1991-04-24,5.106548
1991-04-25,5.028882
1991-04-26,4.970633
1991-04-29,4.931799
1991-04-30,4.892966
1991-05-01,4.9512160000000005
1991-05-02,5.009466000000001
1991-05-03,4.990049
1991-05-06,4.970633
1991-05-07,4.9512160000000005
1991-05-08,5.009466000000001
1991-05-09,5.077424
1991-05-10,5.106548
1991-05-13,5.164798
1991-05-14,5.106548
1991-05-15,5.067715
1991-05-16,5.058007
1991-05-17,4.931799
1991-05-20,5.028882
1991-05-21,5.125965
1991-05-22,5.106548
1991-05-23,5.164798
1991-05-24,5.193923000000001
1991-05-28,5.223047
1991-05-29,5.271589
1991-05-30,5.242464
1991-05-31,5.184215
1991-06-03,5.1453809999999995
1991-06-04,5.3395470000000005
1991-06-05,5.329838
1991-06-06,5.271589
1991-06-07,5.2133389999999995
1991-06-10,5.164798
1991-06-11,5.125965
1991-06-12,4.9609239999999994
1991-06-13,4.757051000000001
1991-06-14,4.737634
1991-06-17,4.621135
1991-06-18,4.582301999999999
1991-06-19,4.582301999999999
1991-06-20,4.553177
1991-06-21,4.543469
1991-06-24,4.456094
1991-06-25,4.417261
1991-06-26,4.291054
1991-06-27,4.252221
1991-06-28,4.300762000000001
1991-07-01,4.281345
1991-07-02,4.310471
1991-07-03,4.310471
1991-07-05,4.388136
1991-07-08,4.465803
1991-07-09,4.388136
1991-07-10,4.36872
1991-07-11,4.359012
1991-07-12,4.407553
1991-07-15,4.494927
1991-07-16,4.601718
1991-07-17,4.59201
1991-07-18,4.650258999999999
1991-07-19,4.718217
1991-07-22,4.8153
1991-07-23,4.737634
1991-07-24,4.640552
1991-07-25,4.582301999999999
1991-07-26,4.601718
1991-07-29,4.562885
1991-07-30,4.5725940000000005
1991-07-31,4.494927
1991-08-01,4.553177
1991-08-02,4.611427
1991-08-05,4.514344
1991-08-06,4.494927
1991-08-07,4.397844999999999
1991-08-08,4.465803
1991-08-09,4.397844999999999
1991-08-12,4.504636
1991-08-13,4.543469
1991-08-14,4.611427
1991-08-15,4.59201
1991-08-16,4.621135
1991-08-19,4.504636
1991-08-20,4.543469
1991-08-21,4.582301999999999
1991-08-22,4.5725940000000005
1991-08-23,4.533761
1991-08-26,4.524051999999999
1991-08-27,4.543469
1991-08-28,4.601718
1991-08-29,4.582301999999999
1991-08-30,4.543469
1991-09-03,4.504636
1991-09-04,4.543469
1991-09-05,4.582301999999999
1991-09-06,4.689093
1991-09-09,4.6988010000000004
1991-09-10,4.582301999999999
1991-09-11,4.494927
1991-09-12,4.465803
1991-09-13,4.59201
1991-09-16,4.757051000000001
1991-09-17,4.844425
1991-09-18,4.863842
1991-09-19,5.03859
1991-09-20,5.009466000000001
1991-09-23,5.03859
1991-09-24,5.1453809999999995
1991-09-25,5.2133389999999995
1991-09-26,5.09684
1991-09-27,5.155089
1991-09-30,5.281297
1991-10-01,5.281297
1991-10-02,5.223047
1991-10-03,5.067715
1991-10-04,5.028882
1991-10-07,4.9512160000000005
1991-10-08,4.9512160000000005
1991-10-09,4.931799
1991-10-10,5.058007
1991-10-11,5.135673000000001
1991-10-14,5.106548
1991-10-15,5.009466000000001
1991-10-16,5.1453809999999995
1991-10-17,5.0871319999999995
1991-10-18,5.09684
1991-10-21,5.009466000000001
1991-10-22,5.09684
1991-10-23,5.03859
1991-10-24,4.980341
1991-10-25,5.048299
1991-10-28,5.184215
1991-10-29,5.300714
1991-10-30,5.261880000000001
1991-10-31,5.300714
1991-11-01,5.261880000000001
1991-11-04,5.203631
1991-11-05,5.077424
1991-11-06,5.1453809999999995
1991-11-07,5.135673000000001
1991-11-08,5.125965
1991-11-11,5.135673000000001
1991-11-12,5.223047
1991-11-13,5.2133389999999995
1991-11-14,5.329838
1991-11-15,5.193923000000001
1991-11-18,5.164798
1991-11-19,5.048299
1991-11-20,4.990049
1991-11-21,4.902675
1991-11-22,4.854133
1991-11-25,5.009466000000001
1991-11-26,5.009466000000001
1991-11-27,4.922091
1991-11-29,4.902675
1991-12-02,5.009466000000001
1991-12-03,4.912383
1991-12-04,4.9609239999999994
1991-12-05,4.970633
1991-12-06,4.980341
1991-12-09,5.09684
1991-12-10,5.1453809999999995
1991-12-11,5.125965
1991-12-12,5.125965
1991-12-13,5.125965
1991-12-16,5.1453809999999995
1991-12-17,5.125965
1991-12-18,5.0871319999999995
1991-12-19,5.067715
1991-12-20,5.03859
1991-12-23,5.067715
1991-12-24,5.0871319999999995
1991-12-26,5.184215
1991-12-27,5.1453809999999995
1991-12-30,5.3395470000000005
1991-12-31,5.6016699999999995
1992-01-02,5.533712
1992-01-03,5.4657540000000004
1992-01-06,5.436629
1992-01-07,5.329838
1992-01-08,5.261880000000001
1992-01-09,5.155089
1992-01-10,5.067715
1992-01-13,5.125965
1992-01-14,5.135673000000001
1992-01-15,5.116257
1992-01-16,5.223047
1992-01-17,5.193923000000001
1992-01-20,5.155089
1992-01-21,4.999757
1992-01-22,4.912383
1992-01-23,4.844425
1992-01-24,4.892966
1992-01-27,4.922091
1992-01-28,4.9512160000000005
1992-01-29,4.795884
1992-01-30,4.844425
1992-01-31,4.7667589999999995
1992-02-03,4.6988010000000004
1992-02-04,4.854133
1992-02-05,4.9512160000000005
1992-02-06,5.048299
1992-02-07,5.019174
1992-02-10,5.048299
1992-02-11,5.058007
1992-02-12,4.990049
1992-02-13,4.892966
1992-02-14,4.844425
1992-02-18,4.8153
1992-02-19,4.786175
1992-02-20,4.863842
1992-02-21,4.8832580000000005
1992-02-24,4.9512160000000005
1992-02-25,4.8832580000000005
1992-02-26,5.009466000000001
1992-02-27,5.048299
1992-02-28,5.028882
1992-03-02,4.9512160000000005
1992-03-03,4.999757
1992-03-04,4.980341
1992-03-05,4.941508
1992-03-06,4.795884
1992-03-09,4.844425
1992-03-10,4.8347169999999995
1992-03-11,4.737634
1992-03-12,4.5725940000000005
1992-03-13,4.611427
1992-03-16,4.582301999999999
1992-03-17,4.59201
1992-03-18,4.562885
1992-03-19,4.611427
1992-03-20,4.562885
1992-03-23,4.59201
1992-03-24,4.582301999999999
1992-03-25,4.59201
1992-03-26,4.611427
1992-03-27,4.504636
1992-03-30,4.456094
1992-03-31,4.349303
1992-04-01,4.232804
1992-04-02,4.271637
1992-04-03,4.223096
1992-04-06,4.164846
1992-04-07,4.164846
1992-04-08,4.261929
1992-04-09,4.329887
1992-04-10,4.805592
1992-04-13,4.892966
1992-04-14,4.912383
1992-04-15,4.912383
1992-04-16,4.87355
1992-04-20,4.844425
1992-04-21,4.825008
1992-04-22,4.892966
1992-04-23,4.9512160000000005
1992-04-24,5.077424
1992-04-27,5.0871319999999995
1992-04-28,4.990049
1992-04-29,4.844425
1992-04-30,4.844425
1992-05-01,4.87355
1992-05-04,4.941508
1992-05-05,4.892966
1992-05-06,5.03859
1992-05-07,5.1453809999999995
1992-05-08,5.184215
1992-05-11,5.223047
1992-05-12,5.242464
1992-05-13,5.329838
1992-05-14,5.242464
1992-05-15,5.261880000000001
1992-05-18,5.310422
1992-05-19,5.329838
1992-05-20,5.358963
1992-05-21,5.310422
1992-05-22,5.436629
1992-05-26,5.475462
1992-05-27,5.494879
1992-05-28,5.358963
1992-05-29,5.456046
1992-06-01,5.368671
1992-06-02,5.358963
1992-06-03,5.320130000000001
1992-06-04,5.300714
1992-06-05,5.223047
1992-06-08,5.223047
1992-06-09,5.2133389999999995
1992-06-10,5.135673000000001
1992-06-11,5.106548
1992-06-12,4.970633
1992-06-15,4.8347169999999995
1992-06-16,4.990049
1992-06-17,4.863842
1992-06-18,4.902675
1992-06-19,4.9512160000000005
1992-06-22,4.9512160000000005
1992-06-23,4.970633
1992-06-24,4.9512160000000005
1992-06-25,4.970633
1992-06-26,4.892966
1992-06-29,4.999757
1992-06-30,4.990049
1992-07-01,4.9609239999999994
1992-07-02,4.795884
1992-07-06,4.892966
1992-07-07,4.8347169999999995
1992-07-08,4.786175
1992-07-09,4.5725940000000005
1992-07-10,4.524051999999999
1992-07-13,4.553177
1992-07-14,4.630843
1992-07-15,4.611427
1992-07-16,4.6988010000000004
1992-07-17,4.621135
1992-07-20,4.504636
1992-07-21,4.601718
1992-07-22,4.514344
1992-07-23,4.533761
1992-07-24,4.562885
1992-07-27,4.601718
1992-07-28,4.659968
1992-07-29,4.640552
1992-07-30,4.650258999999999
1992-07-31,4.601718
1992-08-03,4.718217
1992-08-04,4.786175
1992-08-05,4.727926
1992-08-06,4.854133
1992-08-07,4.8153
1992-08-10,4.825008
1992-08-11,4.708508999999999
1992-08-12,4.650258999999999
1992-08-13,4.727926
1992-08-14,4.87355
1992-08-17,4.854133
1992-08-18,4.776467
1992-08-19,4.727926
1992-08-20,4.6988010000000004
1992-08-21,4.708508999999999
1992-08-24,4.630843
1992-08-25,4.533761
1992-08-26,4.543469
1992-08-27,4.601718
1992-08-28,4.5725940000000005
1992-08-31,4.611427
1992-09-01,4.553177
1992-09-02,4.5725940000000005
1992-09-03,4.621135
1992-09-04,4.640552
1992-09-08,4.446386
1992-09-09,4.417261
1992-09-10,4.36872
1992-09-11,4.329887
1992-09-14,4.417261
1992-09-15,4.232804
1992-09-16,4.174555000000001
1992-09-17,4.349303
1992-09-18,4.407553
1992-09-21,4.329887
1992-09-22,4.339595
1992-09-23,4.310471
1992-09-24,4.349303
1992-09-25,4.42697
1992-09-28,4.446386
1992-09-29,4.582301999999999
1992-09-30,4.582301999999999
1992-10-01,4.504636
1992-10-02,4.514344
1992-10-05,4.465803
1992-10-06,4.417261
1992-10-07,4.456094
1992-10-08,4.417261
1992-10-09,4.485219
1992-10-12,4.485219
1992-10-13,4.562885
1992-10-14,4.504636
1992-10-15,4.504636
1992-10-16,4.397844999999999
1992-10-19,4.339595
1992-10-20,4.42697
1992-10-21,4.562885
1992-10-22,4.669676
1992-10-23,4.6988010000000004
1992-10-26,4.582301999999999
1992-10-27,4.514344
1992-10-28,4.504636
1992-10-29,4.465803
1992-10-30,4.446386
1992-11-02,4.475511
1992-11-03,4.494927
1992-11-04,4.776467
1992-11-05,4.601718
1992-11-06,4.59201
1992-11-09,4.504636
1992-11-10,4.514344
1992-11-11,4.494927
1992-11-12,4.475511
1992-11-13,4.485219
1992-11-16,4.388136
1992-11-17,4.456094
1992-11-18,4.5725940000000005
1992-11-19,4.621135
1992-11-20,4.543469
1992-11-23,4.524051999999999
1992-11-24,4.727926
1992-11-25,4.659968
1992-11-27,4.679385
1992-11-30,4.757051000000001
1992-12-01,4.8153
1992-12-02,4.776467
1992-12-03,4.8832580000000005
1992-12-04,4.922091
1992-12-07,5.077424
1992-12-08,5.135673000000001
1992-12-09,4.970633
1992-12-10,4.8832580000000005
1992-12-11,4.902675
1992-12-14,4.9609239999999994
1992-12-15,5.028882
1992-12-16,4.990049
1992-12-17,5.067715
1992-12-18,5.019174
1992-12-21,4.999757
1992-12-22,5.009466000000001
1992-12-23,4.931799
1992-12-24,4.931799
1992-12-28,4.931799
1992-12-29,4.999757
1992-12-30,4.990049
1992-12-31,5.028882
1993-01-04,5.03859
1993-01-05,5.174506
1993-01-06,5.125965
1993-01-07,5.106548
1993-01-08,4.970633
1993-01-11,5.028882
1993-01-12,4.902675
1993-01-13,4.8347169999999995
1993-01-14,4.912383
1993-01-15,4.941508
1993-01-18,5.125965
1993-01-19,4.87355
1993-01-20,4.679385
1993-01-21,4.659968
1993-01-22,4.650258999999999
1993-01-25,4.6988010000000004
1993-01-26,4.708508999999999
1993-01-27,4.5725940000000005
1993-01-28,4.494927
1993-01-29,4.36872
1993-02-01,4.329887
1993-02-02,4.475511
1993-02-03,4.475511
1993-02-04,4.543469
1993-02-05,4.533761
1993-02-08,4.446386
1993-02-09,4.42697
1993-02-10,4.349303
1993-02-11,4.359012
