Date,BIP
2010-06-02,9.363095
2010-06-03,9.315476
2010-06-04,9.101191
2010-06-07,8.970238
2010-06-08,9.130953
2010-06-09,9.333333
2010-06-10,9.672619000000001
2010-06-11,9.869047
2010-06-14,10.005953
2010-06-15,10.178572
2010-06-16,10.232142
2010-06-17,10.279762
2010-06-18,10.208333
2010-06-21,10.166667
2010-06-22,9.898809
2010-06-23,9.714286
2010-06-24,9.583333
2010-06-25,9.625
2010-06-28,9.577380999999999
2010-06-29,9.428572
2010-06-30,9.446428
2010-07-01,9.547619000000001
2010-07-02,9.589286
2010-07-06,9.654762
2010-07-07,9.910714
2010-07-08,9.916667
2010-07-09,10.0
2010-07-12,10.059524
2010-07-13,10.184524
2010-07-14,10.220238
2010-07-15,10.273809
2010-07-16,10.148809
2010-07-19,10.255953
2010-07-20,10.464286
2010-07-21,10.279762
2010-07-22,10.505953
2010-07-23,10.505953
2010-07-26,10.654762
2010-07-27,10.571428
2010-07-28,10.392858
2010-07-29,10.315476
2010-07-30,10.351191
2010-08-02,10.452380999999999
2010-08-03,10.440476
2010-08-04,10.523809
2010-08-05,10.339286
2010-08-06,10.166667
2010-08-09,10.220238
2010-08-10,10.142858
2010-08-11,9.904762
2010-08-12,9.886905
2010-08-13,9.934524
2010-08-16,10.011905
2010-08-17,10.119047
2010-08-18,10.178572
2010-08-19,10.172619000000001
2010-08-20,10.208333
2010-08-23,10.279762
2010-08-24,10.416667
2010-08-25,10.321428
2010-08-26,10.363095
2010-08-27,10.345238
2010-08-30,10.154762
2010-08-31,10.190476
2010-09-01,10.375
2010-09-02,10.380953
2010-09-03,10.511905
2010-09-07,10.583333
2010-09-08,10.535714
2010-09-09,10.964286
2010-09-10,10.892858
2010-09-13,11.297619000000001
2010-09-14,11.023809
2010-09-15,10.940476
2010-09-16,10.934524
2010-09-17,11.130953
2010-09-20,11.261905
2010-09-21,11.214286
2010-09-22,11.095238
2010-09-23,11.011905
2010-09-24,11.202380999999999
2010-09-27,11.095238
2010-09-28,11.309524
2010-09-29,11.446428
2010-09-30,11.547619000000001
2010-10-01,11.684524
2010-10-04,11.744047
2010-10-05,11.851191
2010-10-06,11.982142
2010-10-07,11.916667
2010-10-08,12.214286
2010-10-11,12.083333
2010-10-12,12.047619000000001
2010-10-13,12.214286
2010-10-14,12.488095
2010-10-15,12.380953
2010-10-18,12.291667
2010-10-19,11.982142
2010-10-20,12.428572
2010-10-21,12.583333
2010-10-22,12.345238
2010-10-25,12.446428
2010-10-26,12.452380999999999
2010-10-27,12.482142
2010-10-28,12.494047
2010-10-29,12.589286
2010-11-01,12.773809
2010-11-02,12.845238
2010-11-03,12.839286
2010-11-04,13.154762
2010-11-05,13.428572
2010-11-08,13.827380999999999
2010-11-09,13.577380999999999
2010-11-10,13.535714000000002
2010-11-11,13.488095000000001
2010-11-12,13.101191
2010-11-15,13.202380999999999
2010-11-16,12.738095
2010-11-17,12.666667
2010-11-18,12.946428
2010-11-19,12.970238
2010-11-22,13.184524
2010-11-23,12.970238
2010-11-24,13.017858
2010-11-26,12.994047
2010-11-29,12.619047
2010-11-30,12.517858
2010-12-01,12.839286
2010-12-02,12.964286
2010-12-03,12.886905
2010-12-06,12.767858
