Date,RH
2015-01-14,93.16999799999999
2015-01-15,89.190002
2015-01-16,90.800003
2015-01-20,90.519997
2015-01-21,91.849998
2015-01-22,90.58000200000001
2015-01-23,91.629997
2015-01-26,93.199997
2015-01-27,92.050003
2015-01-28,91.910004
2015-01-29,92.989998
2015-01-30,87.529999
2015-02-02,89.089996
2015-02-03,91.949997
2015-02-04,92.720001
2015-02-05,87.410004
2015-02-06,86.739998
2015-02-09,85.540001
2015-02-10,87.610001
2015-02-11,89.870003
2015-02-12,88.32
2015-02-13,86.769997
2015-02-17,85.730003
2015-02-18,86.620003
2015-02-19,85.07
2015-02-20,87.129997
2015-02-23,85.639999
2015-02-24,85.18
2015-02-25,84.849998
2015-02-26,85.970001
2015-02-27,88.099998
2015-03-02,90.209999
2015-03-03,88.769997
2015-03-04,91.43
2015-03-05,90.589996
2015-03-06,89.940002
2015-03-09,90.720001
2015-03-10,87.910004
2015-03-11,88.660004
2015-03-12,90.980003
2015-03-13,92.5
2015-03-16,92.209999
2015-03-17,92.190002
2015-03-18,91.709999
2015-03-19,90.739998
2015-03-20,93.75
2015-03-23,92.870003
2015-03-24,93.860001
2015-03-25,92.209999
2015-03-26,93.139999
2015-03-27,96.91999799999999
2015-03-30,99.07
2015-03-31,99.190002
2015-04-01,95.720001
2015-04-02,95.029999
2015-04-06,94.019997
2015-04-07,93.809998
2015-04-08,93.910004
2015-04-09,92.43
2015-04-10,92.08000200000001
2015-04-13,93.110001
2015-04-14,92.699997
2015-04-15,92.889999
2015-04-16,91.800003
2015-04-17,89.519997
2015-04-20,89.790001
2015-04-21,90.449997
2015-04-22,90.370003
2015-04-23,91.690002
2015-04-24,91.889999
2015-04-27,91.620003
2015-04-28,90.91999799999999
2015-04-29,87.559998
2015-04-30,86.16999799999999
2015-05-01,87.349998
2015-05-04,88.07
2015-05-05,86.93
2015-05-06,87.309998
2015-05-07,87.980003
2015-05-08,89.279999
2015-05-11,89.769997
2015-05-12,88.139999
2015-05-13,88.720001
2015-05-14,88.150002
2015-05-15,89.300003
2015-05-18,90.68
2015-05-19,90.089996
2015-05-20,91.800003
2015-05-21,92.040001
2015-05-22,92.050003
2015-05-26,90.66999799999999
2015-05-27,91.889999
2015-05-28,92.58000200000001
2015-05-29,90.959999
2015-06-01,91.279999
2015-06-02,91.760002
2015-06-03,92.239998
2015-06-04,91.800003
2015-06-05,91.910004
2015-06-08,93.779999
2015-06-09,94.150002
2015-06-10,95.82
2015-06-11,94.83000200000001
2015-06-12,96.220001
2015-06-15,95.91999799999999
2015-06-16,95.239998
2015-06-17,94.5
2015-06-18,95.889999
2015-06-19,96.230003
2015-06-22,96.050003
2015-06-23,95.459999
2015-06-24,96.07
2015-06-25,95.699997
2015-06-26,99.349998
2015-06-29,96.0
2015-06-30,97.629997
2015-07-01,98.0
2015-07-02,97.510002
2015-07-06,99.269997
2015-07-07,97.849998
2015-07-08,96.599998
2015-07-09,97.41999799999999
2015-07-10,98.290001
2015-07-13,99.099998
2015-07-14,99.120003
2015-07-15,99.480003
2015-07-16,103.730003
2015-07-17,104.129997
2015-07-20,103.120003
2015-07-21,102.83000200000001
2015-07-22,105.629997
2015-07-23,104.779999
2015-07-24,104.019997
2015-07-27,103.290001
2015-07-28,102.709999
2015-07-29,102.449997
2015-07-30,101.33000200000001
2015-07-31,101.459999
2015-08-03,101.800003
2015-08-04,103.199997
2015-08-05,103.690002
2015-08-06,100.870003
2015-08-07,99.559998
2015-08-10,100.110001
2015-08-11,99.720001
2015-08-12,99.400002
2015-08-13,100.510002
2015-08-14,102.379997
2015-08-17,100.449997
2015-08-18,100.010002
2015-08-19,99.050003
2015-08-20,96.68
2015-08-21,94.970001
2015-08-24,91.610001
2015-08-25,92.83000200000001
2015-08-26,93.769997
2015-08-27,92.900002
2015-08-28,91.93
2015-08-31,92.480003
2015-09-01,91.33000200000001
2015-09-02,93.379997
2015-09-03,92.660004
2015-09-04,91.970001
2015-09-08,94.160004
2015-09-09,92.529999
2015-09-10,91.059998
2015-09-11,99.550003
2015-09-14,98.059998
2015-09-15,98.690002
2015-09-16,99.599998
2015-09-17,101.190002
2015-09-18,100.110001
2015-09-21,100.529999
2015-09-22,99.860001
2015-09-23,101.309998
2015-09-24,99.650002
2015-09-25,97.07
2015-09-28,92.709999
2015-09-29,92.32
2015-09-30,93.309998
2015-10-01,92.910004
2015-10-02,93.510002
2015-10-05,95.339996
2015-10-06,93.480003
2015-10-07,95.660004
2015-10-08,96.940002
2015-10-09,96.010002
2015-10-12,97.66999799999999
2015-10-13,97.779999
2015-10-14,96.730003
2015-10-15,99.93
2015-10-16,101.279999
2015-10-19,101.629997
2015-10-20,100.25
2015-10-21,98.08000200000001
2015-10-22,98.370003
2015-10-23,97.400002
2015-10-26,99.959999
2015-10-27,99.349998
2015-10-28,102.379997
2015-10-29,101.889999
2015-10-30,103.089996
2015-11-02,105.639999
2015-11-03,105.440002
2015-11-04,104.720001
2015-11-05,105.010002
2015-11-06,102.769997
2015-11-09,101.839996
2015-11-10,101.370003
2015-11-11,100.709999
2015-11-12,99.089996
2015-11-13,92.57
2015-11-16,91.489998
2015-11-17,89.720001
2015-11-18,91.290001
2015-11-19,90.260002
2015-11-20,90.040001
2015-11-23,92.43
2015-11-24,92.889999
2015-11-25,93.25
2015-11-27,93.360001
2015-11-30,89.870003
2015-12-01,90.470001
2015-12-02,90.790001
