Date,IM
2020-02-18,2642.469971
2020-02-19,2637.639893
2020-02-20,2628.98999
2020-02-21,2631.649902
2020-02-24,2574.310059
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-03-02,2462.939941
2020-03-03,2481.889893
2020-03-04,2536.330078
2020-03-05,2471.449951
2020-03-06,2408.6298829999996
2020-03-09,2248.139893
2020-03-10,2300.530029
2020-03-11,2250.649902
2020-03-12,2123.850098
2020-03-13,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,2064.47998
2020-03-27,1945.689941
2020-03-30,1975.140015
2020-03-31,2004.109985
2020-04-01,1944.880005
2020-04-02,1938.3299559999998
2020-04-03,1904.800049
2020-04-06,1984.7399899999998
2020-04-07,2000.530029
2020-04-08,2003.130005
2020-04-09,
2020-04-13,2014.699951
2020-04-14,2025.689941
2020-04-15,1969.780029
2020-04-16,1963.22998
2020-04-17,2025.540039
2020-04-20,2007.569946
2020-04-21,1967.4000239999998
2020-04-22,1987.209961
2020-04-23,1989.869995
2020-04-24,2007.880005
2020-04-27,2030.7399899999998
2020-04-28,2087.060059
2020-04-29,2145.1298829999996
2020-04-30,
2020-05-01,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
