Date,BMC
2015-10-28,841.0
2015-10-29,841.0
2015-10-30,841.0
2015-11-02,841.0
2015-11-03,841.0
2015-11-04,841.0
2015-11-05,841.0
2015-11-06,841.0
2015-11-09,841.0
2015-11-10,841.0
2015-11-11,841.0
2015-11-12,841.0
2015-11-13,841.0
2015-11-16,841.0
2015-11-17,841.0
2015-11-18,841.0
2015-11-19,841.0
2015-11-20,841.0
2015-11-23,841.0
2015-11-24,841.0
2015-11-25,841.0
2015-11-27,841.0
2015-11-30,841.0
2015-12-01,841.0
2015-12-02,841.0
2015-12-03,841.0
2015-12-04,841.0
2015-12-07,841.0
2015-12-08,841.0
2015-12-09,841.0
2015-12-10,841.0
2015-12-11,841.0
2015-12-14,841.0
2015-12-15,841.0
2015-12-16,841.0
2015-12-17,841.0
2015-12-18,841.0
2015-12-21,841.0
2015-12-22,841.0
2015-12-23,841.0
2015-12-24,841.0
2015-12-28,841.0
2015-12-29,841.0
2015-12-30,841.0
2015-12-31,841.0
2016-01-04,841.0
2016-01-05,841.0
2016-01-06,841.0
2016-01-07,841.0
2016-01-08,841.0
2016-01-11,841.0
2016-01-12,841.0
2016-01-13,841.0
2016-01-14,841.0
2016-01-15,841.0
2016-01-19,841.0
2016-01-20,841.0
2016-01-21,841.0
2016-01-22,841.0
2016-01-25,841.0
2016-01-26,841.0
2016-01-27,841.0
2016-01-28,841.0
2016-01-29,841.0
2016-02-01,841.0
2016-02-02,841.0
2016-02-03,841.0
2016-02-04,841.0
2016-02-05,841.0
2016-02-08,841.0
2016-02-09,841.0
2016-02-10,841.0
2016-02-11,841.0
2016-02-12,841.0
2016-02-16,841.0
2016-02-17,841.0
2016-02-18,841.0
2016-02-19,841.0
2016-02-22,841.0
2016-02-23,841.0
2016-02-24,841.0
2016-02-25,841.0
2016-02-26,841.0
2016-02-29,841.0
2016-03-01,841.0
2016-03-02,841.0
2016-03-03,841.0
2016-03-04,841.0
2016-03-07,841.0
2016-03-08,841.0
2016-03-09,841.0
2016-03-10,841.0
2016-03-11,841.0
2016-03-14,841.0
2016-03-15,841.0
2016-03-16,841.0
2016-03-17,841.0
2016-03-18,841.0
2016-03-21,841.0
2016-03-22,841.0
2016-03-23,841.0
2016-03-24,841.0
2016-03-28,841.0
2016-03-29,841.0
2016-03-30,841.0
2016-03-31,841.0
2016-04-01,841.0
2016-04-04,841.0
2016-04-05,841.0
2016-04-06,841.0
2016-04-07,841.0
2016-04-08,841.0
2016-04-11,841.0
2016-04-12,841.0
2016-04-13,841.0
2016-04-14,841.0
2016-04-15,841.0
2016-04-18,841.0
2016-04-19,841.0
2016-04-20,841.0
2016-04-21,841.0
2016-04-22,841.0
