Date,ADBE
1989-11-21,1.171875
1989-11-22,1.1875
1989-11-24,1.203125
1989-11-27,1.1875
1989-11-28,1.25
1989-11-29,1.234375
1989-11-30,1.203125
1989-12-01,1.171875
1989-12-04,1.21875
1989-12-05,1.203125
1989-12-06,1.234375
1989-12-07,1.234375
1989-12-08,1.1875
1989-12-11,1.1796879999999998
1989-12-12,1.171875
1989-12-13,1.140625
1989-12-14,1.03125
1989-12-15,1.0625
1989-12-18,1.078125
1989-12-19,1.109375
1989-12-20,1.109375
1989-12-21,1.109375
1989-12-22,1.1875
1989-12-26,1.203125
1989-12-27,1.21875
1989-12-28,1.21875
1989-12-29,1.265625
1990-01-02,1.265625
1990-01-03,1.328125
1990-01-04,1.390625
1990-01-05,1.421875
1990-01-08,1.4375
1990-01-09,1.40625
1990-01-10,1.359375
1990-01-11,1.4375
1990-01-12,1.40625
1990-01-15,1.375
1990-01-16,1.4375
1990-01-17,1.421875
1990-01-18,1.484375
1990-01-19,1.421875
1990-01-22,1.4375
1990-01-23,1.5
1990-01-24,1.53125
1990-01-25,1.484375
1990-01-26,1.5
1990-01-29,1.5
1990-01-30,1.46875
1990-01-31,1.46875
1990-02-01,1.484375
1990-02-02,1.515625
1990-02-05,1.515625
1990-02-06,1.5
1990-02-07,1.5390629999999998
1990-02-08,1.625
1990-02-09,1.65625
1990-02-12,1.679688
1990-02-13,1.679688
1990-02-14,1.6875
1990-02-15,1.78125
1990-02-16,1.757813
1990-02-20,1.71875
1990-02-21,1.71875
1990-02-22,1.71875
1990-02-23,1.75
1990-02-26,1.78125
1990-02-27,1.835938
1990-02-28,1.890625
1990-03-01,1.90625
1990-03-02,1.898438
1990-03-05,2.03125
1990-03-06,2.273438
1990-03-07,2.296875
1990-03-08,2.421875
1990-03-09,2.359375
1990-03-12,2.4375
1990-03-13,2.507813
1990-03-14,2.53125
1990-03-15,2.609375
1990-03-16,2.765625
1990-03-19,2.835938
1990-03-20,2.625
1990-03-21,2.5
1990-03-22,2.46875
1990-03-23,2.375
1990-03-26,2.445313
1990-03-27,2.515625
1990-03-28,2.453125
1990-03-29,2.40625
1990-03-30,2.375
1990-04-02,2.414063
1990-04-03,2.46875
1990-04-04,2.4375
1990-04-05,2.3125
1990-04-06,2.28125
1990-04-09,2.296875
1990-04-10,2.40625
1990-04-11,2.46875
1990-04-12,2.484375
1990-04-16,2.453125
1990-04-17,2.421875
1990-04-18,2.40625
1990-04-19,2.375
1990-04-20,2.390625
1990-04-23,2.34375
1990-04-24,2.351563
1990-04-25,2.328125
1990-04-26,2.4375
1990-04-27,2.375
1990-04-30,2.390625
1990-05-01,2.5625
1990-05-02,2.59375
1990-05-03,2.5625
1990-05-04,2.5625
1990-05-07,2.679688
1990-05-08,2.671875
1990-05-09,2.6875
1990-05-10,2.78125
1990-05-11,2.78125
1990-05-14,2.820313
1990-05-15,2.90625
1990-05-16,2.875
1990-05-17,2.78125
1990-05-18,2.84375
1990-05-21,3.015625
1990-05-22,3.0
1990-05-23,3.0625
1990-05-24,3.15625
1990-05-25,2.203125
1990-05-29,2.367188
1990-05-30,2.210938
1990-05-31,2.226563
1990-06-01,2.171875
1990-06-04,2.078125
1990-06-05,2.015625
1990-06-06,2.109375
1990-06-07,2.234375
1990-06-08,2.234375
1990-06-11,2.234375
1990-06-12,2.296875
1990-06-13,2.351563
1990-06-14,2.382813
1990-06-15,2.382813
1990-06-18,2.296875
1990-06-19,2.375
1990-06-20,2.3125
1990-06-21,2.359375
1990-06-22,2.296875
1990-06-25,2.296875
1990-06-26,2.1875
1990-06-27,2.3125
