Date,INTU
1995-06-30,6.3333330000000005
1995-07-03,6.2916669999999995
1995-07-05,6.3020830000000005
1995-07-06,6.3333330000000005
1995-07-07,6.4479169999999995
1995-07-10,6.4166669999999995
1995-07-11,6.4791669999999995
1995-07-12,6.5208330000000005
1995-07-13,6.9166669999999995
1995-07-14,7.1458330000000005
1995-07-17,7.125
1995-07-18,6.875
1995-07-19,6.6875
1995-07-20,6.6875
1995-07-21,6.6458330000000005
1995-07-24,6.8958330000000005
1995-07-25,7.1666669999999995
1995-07-26,7.1458330000000005
1995-07-27,7.2916669999999995
1995-07-28,7.125
1995-07-31,7.1875
1995-08-01,7.21875
1995-08-02,7.2083330000000005
1995-08-03,7.3333330000000005
1995-08-04,7.3541669999999995
1995-08-07,7.4375
1995-08-08,7.4270830000000005
1995-08-09,7.4583330000000005
1995-08-10,7.375
1995-08-11,7.3958330000000005
1995-08-14,7.4270830000000005
1995-08-15,7.4791669999999995
1995-08-16,7.3958330000000005
1995-08-17,7.4791669999999995
1995-08-18,7.4583330000000005
1995-08-21,7.5
1995-08-22,7.4166669999999995
1995-08-23,7.5
1995-08-24,7.4583330000000005
1995-08-25,7.2916669999999995
1995-08-28,7.0
1995-08-29,6.7708330000000005
1995-08-30,6.9166669999999995
1995-08-31,7.1770830000000005
1995-09-01,7.09375
1995-09-05,7.0
1995-09-06,7.0
1995-09-07,7.1041669999999995
1995-09-08,7.375
1995-09-11,7.2916669999999995
1995-09-12,7.2708330000000005
1995-09-13,7.2083330000000005
1995-09-14,7.8333330000000005
1995-09-15,7.6458330000000005
1995-09-18,8.083333
1995-09-19,8.541667
1995-09-20,8.270833
1995-09-21,8.541667
1995-09-22,8.541667
1995-09-25,8.458333
1995-09-26,8.333333
1995-09-27,8.0
1995-09-28,8.0
1995-09-29,7.8333330000000005
1995-10-02,7.875
1995-10-03,7.5416669999999995
1995-10-04,7.3333330000000005
1995-10-05,7.5
1995-10-06,7.5208330000000005
1995-10-09,7.375
1995-10-10,7.375
1995-10-11,7.8333330000000005
1995-10-12,7.9791669999999995
1995-10-13,8.020833
1995-10-16,8.083333
1995-10-17,8.145833
1995-10-18,8.958333
1995-10-19,9.416667
1995-10-20,9.458333
1995-10-23,9.458333
1995-10-24,10.0
1995-10-25,10.625
1995-10-26,10.916667
1995-10-27,11.416667
1995-10-30,11.916667
1995-10-31,12.0
1995-11-01,13.125
1995-11-02,13.791667000000002
1995-11-03,13.375
1995-11-06,12.833333
1995-11-07,12.833333
1995-11-08,13.145832999999998
1995-11-09,13.583332999999998
1995-11-10,13.833332999999998
1995-11-13,13.708332999999998
1995-11-14,13.375
1995-11-15,13.375
1995-11-16,13.458332999999998
1995-11-17,13.5
1995-11-20,12.208333
1995-11-21,11.458333
1995-11-22,12.041667
1995-11-24,12.333333
1995-11-27,12.416667
1995-11-28,13.375
1995-11-29,13.666667000000002
1995-11-30,14.0
1995-12-01,14.041667000000002
1995-12-04,14.5
1995-12-05,14.083332999999998
1995-12-06,13.895832999999998
1995-12-07,13.291667000000002
1995-12-08,12.958333
1995-12-11,13.208332999999998
1995-12-12,12.916667
1995-12-13,12.958333
1995-12-14,12.416667
1995-12-15,12.291667
1995-12-18,11.333333
1995-12-19,12.541667
1995-12-20,12.291667
1995-12-21,12.75
1995-12-22,13.0
1995-12-26,12.9375
1995-12-27,12.979167
1995-12-28,12.625
1995-12-29,13.0
1996-01-02,12.5
1996-01-03,11.916667
1996-01-04,11.333333
1996-01-05,11.208333
1996-01-08,11.0
1996-01-09,9.916667
1996-01-10,9.604167
1996-01-11,10.333333
1996-01-12,10.916667
1996-01-15,10.041667
1996-01-16,10.229167
1996-01-17,8.875
1996-01-18,9.041667
1996-01-19,9.083333
1996-01-22,9.5
1996-01-23,9.75
1996-01-24,9.625
1996-01-25,9.625
1996-01-26,9.708333
1996-01-29,9.375
1996-01-30,10.416667
1996-01-31,10.270833
1996-02-01,10.166667
1996-02-02,10.958333
1996-02-05,11.125
1996-02-06,11.145833
1996-02-07,10.833333
1996-02-08,10.583333
1996-02-09,9.791667
1996-02-12,9.625
1996-02-13,9.416667
1996-02-14,9.333333
1996-02-15,9.208333
1996-02-16,9.416667
1996-02-20,10.166667
1996-02-21,10.583333
1996-02-22,11.270833
1996-02-23,11.041667
1996-02-26,10.583333
1996-02-27,10.875
1996-02-28,10.791667
1996-02-29,11.125
1996-03-01,8.416667
1996-03-04,7.4791669999999995
1996-03-05,7.1666669999999995
1996-03-06,7.4583330000000005
1996-03-07,7.2916669999999995
1996-03-08,7.5416669999999995
1996-03-11,8.1875
1996-03-12,8.458333
1996-03-13,8.875
1996-03-14,8.541667
1996-03-15,8.625
1996-03-18,8.083333
1996-03-19,8.166667
1996-03-20,7.875
1996-03-21,7.8333330000000005
1996-03-22,8.083333
1996-03-25,7.7916669999999995
1996-03-26,7.9166669999999995
1996-03-27,7.7916669999999995
1996-03-28,7.5833330000000005
1996-03-29,7.5
1996-04-01,7.7083330000000005
1996-04-02,8.0
1996-04-03,7.9583330000000005
1996-04-04,7.8333330000000005
1996-04-08,7.9791669999999995
1996-04-09,7.5416669999999995
1996-04-10,7.5416669999999995
1996-04-11,7.7083330000000005
1996-04-12,7.6666669999999995
1996-04-15,7.830728999999999
1996-04-16,7.8333330000000005
1996-04-17,7.625
1996-04-18,7.9166669999999995
1996-04-19,7.875
1996-04-22,8.1875
1996-04-23,8.041667
1996-04-24,8.041667
1996-04-25,8.041667
1996-04-26,8.666667
1996-04-29,8.583333
1996-04-30,8.666667
1996-05-01,9.083333
1996-05-02,8.5
1996-05-03,9.041667
1996-05-06,8.958333
1996-05-07,9.25
1996-05-08,8.9375
1996-05-09,8.583333
1996-05-10,8.666667
1996-05-13,9.041667
1996-05-14,9.166667
1996-05-15,9.083333
1996-05-16,9.166667
1996-05-17,9.125
1996-05-20,8.916667
1996-05-21,8.916667
1996-05-22,8.833333
1996-05-23,8.833333
1996-05-24,8.541667
1996-05-28,8.291667
1996-05-29,8.041667
1996-05-30,8.270833
1996-05-31,8.666667
1996-06-03,8.541667
1996-06-04,8.541667
1996-06-05,8.666667
1996-06-06,8.333333
1996-06-07,8.541667
1996-06-10,8.666667
1996-06-11,8.875
1996-06-12,8.916667
1996-06-13,8.791667
1996-06-14,8.895833
1996-06-17,8.90625
1996-06-18,8.75
1996-06-19,8.260417
1996-06-20,8.208333
1996-06-21,8.166667
1996-06-24,8.166667
1996-06-25,8.041667
1996-06-26,7.5625
1996-06-27,7.5416669999999995
1996-06-28,7.875
1996-07-01,8.166667
1996-07-02,8.125
1996-07-03,7.9166669999999995
1996-07-05,7.625
1996-07-08,7.4166669999999995
1996-07-09,7.2083330000000005
1996-07-10,7.1666669999999995
1996-07-11,6.7916669999999995
1996-07-12,6.3333330000000005
1996-07-15,5.7083330000000005
1996-07-16,5.7291669999999995
1996-07-17,6.0416669999999995
1996-07-18,6.3125
1996-07-19,6.0
1996-07-22,5.75
1996-07-23,5.5833330000000005
1996-07-24,5.8333330000000005
1996-07-25,6.2083330000000005
1996-07-26,6.25
1996-07-29,6.0104169999999995
1996-07-30,5.9583330000000005
1996-07-31,5.8333330000000005
1996-08-01,5.90625
1996-08-02,6.1666669999999995
1996-08-05,6.7083330000000005
1996-08-06,6.75
1996-08-07,6.6875
1996-08-08,6.625
1996-08-09,6.625
1996-08-12,6.5
1996-08-13,6.4583330000000005
1996-08-14,6.5
1996-08-15,6.375
1996-08-16,6.2083330000000005
1996-08-19,6.125
1996-08-20,6.125
1996-08-21,6.2083330000000005
1996-08-22,6.5833330000000005
1996-08-23,6.4166669999999995
1996-08-26,6.125
1996-08-27,6.2916669999999995
1996-08-28,6.4166669999999995
1996-08-29,6.2083330000000005
1996-08-30,6.0833330000000005
1996-09-03,6.0416669999999995
1996-09-04,5.4166669999999995
1996-09-05,5.375
1996-09-06,5.375
1996-09-09,5.4166669999999995
1996-09-10,5.0208330000000005
1996-09-11,4.7916669999999995
1996-09-12,4.75
1996-09-13,5.0208330000000005
1996-09-16,5.375
1996-09-17,5.5
1996-09-18,5.4583330000000005
1996-09-19,5.2916669999999995
1996-09-20,5.125
1996-09-23,5.0833330000000005
1996-09-24,5.1666669999999995
1996-09-25,5.4166669999999995
1996-09-26,5.6458330000000005
1996-09-27,5.5416669999999995
1996-09-30,5.25
1996-10-01,5.25
1996-10-02,5.1875
1996-10-03,5.0833330000000005
1996-10-04,5.25
1996-10-07,5.125
1996-10-08,5.0
1996-10-09,5.0
1996-10-10,5.0
1996-10-11,5.0416669999999995
1996-10-14,4.9583330000000005
1996-10-15,4.75
1996-10-16,4.71875
1996-10-17,4.3333330000000005
1996-10-18,4.7083330000000005
1996-10-21,4.7708330000000005
1996-10-22,4.625
1996-10-23,4.7916669999999995
1996-10-24,4.6666669999999995
1996-10-25,4.6666669999999995
1996-10-28,4.5833330000000005
1996-10-29,4.5625
1996-10-30,4.5416669999999995
1996-10-31,4.5
1996-11-01,4.4791669999999995
1996-11-04,4.5625
1996-11-05,4.9166669999999995
1996-11-06,6.0833330000000005
1996-11-07,5.6041669999999995
1996-11-08,6.0833330000000005
1996-11-11,6.1458330000000005
1996-11-12,5.9791669999999995
1996-11-13,5.7916669999999995
1996-11-14,5.875
1996-11-15,6.0
1996-11-18,6.3333330000000005
1996-11-19,6.1666669999999995
1996-11-20,6.625
1996-11-21,6.3333330000000005
1996-11-22,5.9166669999999995
1996-11-25,6.0
1996-11-26,5.9583330000000005
1996-11-27,6.0416669999999995
1996-11-29,5.9583330000000005
1996-12-02,5.9166669999999995
1996-12-03,5.8333330000000005
1996-12-04,5.7916669999999995
1996-12-05,5.8333330000000005
1996-12-06,5.7291669999999995
1996-12-09,5.6875
1996-12-10,5.4166669999999995
1996-12-11,5.2916669999999995
1996-12-12,5.0
1996-12-13,5.6041669999999995
1996-12-16,5.5416669999999995
1996-12-17,5.4166669999999995
1996-12-18,5.5416669999999995
1996-12-19,5.6666669999999995
1996-12-20,5.625
1996-12-23,5.3333330000000005
1996-12-24,5.4583330000000005
1996-12-26,5.4583330000000005
1996-12-27,5.3333330000000005
1996-12-30,5.2916669999999995
1996-12-31,5.25
1997-01-02,5.25
1997-01-03,5.375
1997-01-06,5.4791669999999995
1997-01-07,5.9166669999999995
1997-01-08,5.8333330000000005
1997-01-09,5.9583330000000005
1997-01-10,6.0416669999999995
1997-01-13,5.8333330000000005
1997-01-14,5.875
1997-01-15,5.7708330000000005
