Date,NOW
2015-05-15,75.709999
2015-05-18,77.260002
2015-05-19,77.779999
2015-05-20,77.449997
2015-05-21,78.870003
2015-05-22,78.760002
2015-05-26,77.709999
2015-05-27,78.389999
2015-05-28,78.400002
2015-05-29,76.610001
2015-06-01,75.68
2015-06-02,75.379997
2015-06-03,76.610001
2015-06-04,75.459999
2015-06-05,76.889999
2015-06-08,74.66999799999999
2015-06-09,75.660004
2015-06-10,77.699997
2015-06-11,77.730003
2015-06-12,77.940002
2015-06-15,77.639999
2015-06-16,79.400002
2015-06-17,79.91999799999999
2015-06-18,80.970001
2015-06-19,80.379997
2015-06-22,80.32
2015-06-23,80.75
2015-06-24,77.470001
2015-06-25,78.91999799999999
2015-06-26,77.019997
2015-06-29,73.769997
2015-06-30,74.309998
2015-07-01,73.900002
2015-07-02,74.529999
2015-07-06,73.699997
2015-07-07,75.68
2015-07-08,74.83000200000001
2015-07-09,76.18
2015-07-10,76.739998
2015-07-13,76.599998
2015-07-14,77.410004
2015-07-15,77.58000200000001
2015-07-16,78.91999799999999
2015-07-17,78.91999799999999
2015-07-20,78.839996
2015-07-21,78.57
2015-07-22,77.849998
2015-07-23,78.019997
2015-07-24,79.639999
2015-07-27,76.339996
2015-07-28,78.629997
2015-07-29,77.980003
2015-07-30,81.029999
2015-07-31,80.5
2015-08-03,79.150002
2015-08-04,77.910004
2015-08-05,78.410004
2015-08-06,75.989998
2015-08-07,76.949997
2015-08-10,76.589996
2015-08-11,76.66999799999999
2015-08-12,76.849998
2015-08-13,75.699997
2015-08-14,76.629997
2015-08-17,77.25
2015-08-18,75.889999
2015-08-19,75.629997
2015-08-20,70.309998
2015-08-21,69.910004
2015-08-24,68.0
2015-08-25,68.66999799999999
2015-08-26,71.410004
2015-08-27,72.360001
2015-08-28,72.540001
2015-08-31,70.959999
2015-09-01,68.91999799999999
2015-09-02,69.949997
2015-09-03,71.220001
2015-09-04,69.790001
2015-09-08,73.33000200000001
2015-09-09,72.019997
2015-09-10,72.660004
2015-09-11,73.599998
2015-09-14,73.559998
2015-09-15,74.260002
2015-09-16,73.940002
2015-09-17,74.610001
2015-09-18,74.360001
2015-09-21,74.410004
2015-09-22,73.059998
2015-09-23,72.989998
2015-09-24,72.120003
2015-09-25,72.860001
2015-09-28,69.029999
2015-09-29,68.940002
2015-09-30,69.449997
2015-10-01,71.58000200000001
2015-10-02,72.230003
2015-10-05,76.470001
2015-10-06,74.58000200000001
2015-10-07,74.970001
2015-10-08,73.019997
2015-10-09,74.41999799999999
2015-10-12,74.279999
2015-10-13,74.160004
2015-10-14,73.900002
2015-10-15,75.639999
2015-10-16,76.459999
2015-10-19,75.790001
2015-10-20,74.730003
2015-10-21,73.019997
2015-10-22,77.949997
