Date,WU
2009-06-02,17.15
2009-06-03,17.110001
2009-06-04,17.120001000000002
2009-06-05,16.93
2009-06-08,17.15
2009-06-09,17.030001000000002
2009-06-10,17.83
2009-06-11,17.290001
2009-06-12,17.25
2009-06-15,16.780001000000002
2009-06-16,16.52
2009-06-17,16.450001
2009-06-18,16.360001
2009-06-19,16.139999
2009-06-22,15.67
2009-06-23,15.94
2009-06-24,15.98
2009-06-25,16.389999
2009-06-26,16.43
2009-06-29,16.65
2009-06-30,16.4
2009-07-01,16.639999
2009-07-02,15.38
2009-07-06,15.59
2009-07-07,15.26
2009-07-08,15.58
2009-07-09,16.49
2009-07-10,16.190001000000002
2009-07-13,16.889999
2009-07-14,16.73
2009-07-15,17.379998999999998
2009-07-16,17.98
2009-07-17,18.0
2009-07-20,18.25
2009-07-21,17.540001
2009-07-22,17.73
2009-07-23,18.25
2009-07-24,18.459999
2009-07-27,18.690001000000002
2009-07-28,18.43
2009-07-29,18.049999
2009-07-30,18.23
2009-07-31,17.48
2009-08-03,17.76
2009-08-04,17.92
2009-08-05,17.52
2009-08-06,17.620001000000002
2009-08-07,18.07
2009-08-10,18.030001000000002
2009-08-11,17.620001000000002
2009-08-12,18.030001000000002
2009-08-13,18.049999
2009-08-14,17.940001000000002
2009-08-17,17.450001
2009-08-18,17.719998999999998
2009-08-19,17.91
2009-08-20,18.040001
2009-08-21,18.58
2009-08-24,18.530001000000002
2009-08-25,18.49
2009-08-26,18.59
2009-08-27,18.889999
2009-08-28,18.77
2009-08-31,18.040001
2009-09-01,17.709999
2009-09-02,17.83
2009-09-03,18.25
2009-09-04,18.18
2009-09-08,18.200001
2009-09-09,18.459999
2009-09-10,18.57
2009-09-11,18.870001000000002
2009-09-14,19.059998999999998
2009-09-15,18.75
2009-09-16,19.200001
2009-09-17,19.48
2009-09-18,19.559998999999998
2009-09-21,19.49
2009-09-22,20.559998999999998
2009-09-23,19.59
2009-09-24,19.4
2009-09-25,19.08
2009-09-28,19.73
2009-09-29,19.26
2009-09-30,18.92
2009-10-01,18.450001
2009-10-02,18.17
2009-10-05,18.16
2009-10-06,18.77
2009-10-07,18.66
2009-10-08,18.959999
2009-10-09,19.059998999999998
2009-10-12,19.17
2009-10-13,19.200001
2009-10-14,19.83
2009-10-15,19.860001
2009-10-16,19.780001000000002
2009-10-19,19.68
2009-10-20,19.610001
2009-10-21,19.16
2009-10-22,19.32
2009-10-23,18.790001
2009-10-26,18.83
2009-10-27,18.67
2009-10-28,18.209999
2009-10-29,18.629998999999998
2009-10-30,18.17
2009-11-02,18.59
2009-11-03,18.52
2009-11-04,18.41
2009-11-05,18.959999
2009-11-06,18.809998999999998
2009-11-09,19.51
2009-11-10,19.639999
2009-11-11,19.58
2009-11-12,19.32
2009-11-13,19.440001000000002
2009-11-16,20.02
2009-11-17,19.82
2009-11-18,19.67
2009-11-19,19.280001000000002
2009-11-20,18.83
2009-11-23,18.98
2009-11-24,18.92
2009-11-25,18.91
2009-11-27,18.5
2009-11-30,18.450001
2009-12-01,18.49
2009-12-02,18.4
2009-12-03,17.84
2009-12-04,18.139999
2009-12-07,18.24
2009-12-08,18.049999
2009-12-09,18.190001000000002
2009-12-10,19.0
2009-12-11,19.07
2009-12-14,19.209999
2009-12-15,18.969998999999998
2009-12-16,19.23
2009-12-17,19.030001000000002
2009-12-18,19.129998999999998
2009-12-21,19.24
2009-12-22,19.389999
2009-12-23,19.440001000000002
2009-12-24,19.25
2009-12-28,19.1
2009-12-29,19.07
2009-12-30,19.02
2009-12-31,18.85
2010-01-04,19.09
2010-01-05,19.01
2010-01-06,19.0
2010-01-07,19.610001
2010-01-08,19.799999
2010-01-11,19.969998999999998
2010-01-12,19.85
2010-01-13,20.129998999999998
2010-01-14,19.879998999999998
2010-01-15,19.530001000000002
2010-01-19,19.860001
2010-01-20,19.5
2010-01-21,19.43
2010-01-22,18.799999
2010-01-25,18.629998999999998
2010-01-26,18.309998999999998
2010-01-27,18.35
2010-01-28,18.25
2010-01-29,18.540001
2010-02-01,18.58
2010-02-02,18.85
2010-02-03,17.17
2010-02-04,16.540001
2010-02-05,16.5
2010-02-08,16.16
2010-02-09,16.139999
2010-02-10,16.440001000000002
2010-02-11,16.16
2010-02-12,16.120001000000002
2010-02-16,16.5
2010-02-17,16.4
2010-02-18,16.459999
2010-02-19,16.35
2010-02-22,16.18
2010-02-23,16.040001
2010-02-24,16.0
2010-02-25,15.96
2010-02-26,15.78
2010-03-01,16.0
2010-03-02,15.84
2010-03-03,15.71
2010-03-04,16.02
2010-03-05,16.309998999999998
2010-03-08,16.219998999999998
2010-03-09,16.33
2010-03-10,16.51
2010-03-11,16.77
2010-03-12,16.91
2010-03-15,16.709999
2010-03-16,16.24
2010-03-17,16.799999
2010-03-18,16.799999
2010-03-19,16.66
2010-03-22,16.91
2010-03-23,17.059998999999998
2010-03-24,16.879998999999998
2010-03-25,16.969998999999998
2010-03-26,17.049999
2010-03-29,17.190001000000002
2010-03-30,17.0
2010-03-31,16.959999
2010-04-01,17.059998999999998
2010-04-05,17.370001000000002
2010-04-06,17.5
2010-04-07,17.24
2010-04-08,17.41
2010-04-09,17.49
2010-04-12,17.469998999999998
2010-04-13,17.49
2010-04-14,17.639999
2010-04-15,17.530001000000002
2010-04-16,17.24
2010-04-19,17.299999
2010-04-20,17.4
2010-04-21,17.440001000000002
2010-04-22,17.450001
2010-04-23,17.780001000000002
2010-04-26,17.91
2010-04-27,19.0
2010-04-28,18.620001000000002
2010-04-29,18.68
2010-04-30,18.25
2010-05-03,18.219998999999998
2010-05-04,17.780001000000002
2010-05-05,17.58
2010-05-06,17.219998999999998
2010-05-07,16.549999
2010-05-10,17.24
2010-05-11,16.790001
2010-05-12,17.059998999999998
2010-05-13,17.01
2010-05-14,16.639999
2010-05-17,16.620001000000002
2010-05-18,16.190001000000002
2010-05-19,16.049999
2010-05-20,15.47
2010-05-21,15.9
2010-05-24,15.58
