Date,MAR
1995-08-28,7.48844
1995-08-29,7.46243
1995-08-30,7.48844
1995-08-31,7.384410000000001
1995-09-01,7.33242
1995-09-05,7.384410000000001
1995-09-06,7.5404100000000005
1995-09-07,7.64445
1995-09-08,7.59242
1995-09-11,7.56642
1995-09-12,7.64445
1995-09-13,7.72243
1995-09-14,7.7484399999999996
1995-09-15,7.5404100000000005
1995-09-18,7.4364300000000005
1995-09-19,7.51445
1995-09-20,7.69642
1995-09-21,7.711010000000001
1995-09-22,7.711010000000001
1995-09-25,7.81522
1995-09-26,7.86735
1995-09-27,7.7891699999999995
1995-09-28,7.7631
1995-09-29,7.7891699999999995
1995-10-02,7.84127
1995-10-03,7.7891699999999995
1995-10-04,7.685010000000001
1995-10-05,7.84127
1995-10-06,7.91943
1995-10-09,7.84127
1995-10-10,7.84127
1995-10-11,7.84127
1995-10-12,8.02363
1995-10-13,8.206010000000001
1995-10-16,8.25808
1995-10-17,8.17994
1995-10-18,7.91943
1995-10-19,7.91943
1995-10-20,7.84127
1995-10-23,7.91943
1995-10-24,7.81522
1995-10-25,7.7370600000000005
1995-10-26,7.4245
1995-10-27,7.4245
1995-10-30,7.63288
1995-10-31,7.685010000000001
1995-11-01,7.7631
1995-11-02,7.7891699999999995
1995-11-03,7.9455100000000005
1995-11-06,7.7891699999999995
1995-11-07,7.91943
1995-11-08,7.84127
1995-11-09,7.7631
1995-11-10,7.7370600000000005
1995-11-13,7.685010000000001
1995-11-14,7.711010000000001
1995-11-15,7.7631
1995-11-16,7.893389999999999
1995-11-17,7.893389999999999
1995-11-20,7.893389999999999
1995-11-21,8.04968
1995-11-22,8.02363
1995-11-24,7.9455100000000005
1995-11-27,7.9455100000000005
1995-11-28,7.99757
1995-11-29,7.99757
1995-11-30,7.7631
1995-12-01,8.02363
1995-12-04,8.10178
1995-12-05,8.1539
1995-12-06,8.23203
1995-12-07,8.17994
1995-12-08,8.07573
1995-12-11,8.02363
1995-12-12,7.99757
1995-12-13,7.9715300000000004
1995-12-14,8.07573
1995-12-15,7.86735
1995-12-18,7.63288
1995-12-19,7.7631
1995-12-20,7.711010000000001
1995-12-21,7.84127
1995-12-22,7.91943
1995-12-26,7.9340399999999995
1995-12-27,7.9340399999999995
1995-12-28,7.881819999999999
1995-12-29,7.98624
1996-01-02,8.11675
1996-01-03,8.42993
1996-01-04,8.48213
1996-01-05,8.19507
1996-01-08,8.27332
1996-01-09,8.06454
1996-01-10,7.82963
1996-01-11,7.960139999999999
1996-01-12,8.012360000000001
1996-01-15,7.98624
1996-01-16,8.14286
1996-01-17,8.06454
1996-01-18,8.27332
1996-01-19,8.58649
1996-01-22,8.79531
1996-01-23,8.717
1996-01-24,8.79531
1996-01-25,8.7431
1996-01-26,8.7431
1996-01-29,8.69091
1996-01-30,8.7431
1996-01-31,8.95192
1996-02-01,9.3173
1996-02-02,9.42165
1996-02-05,9.60438
1996-02-06,9.81316
1996-02-07,9.73484
1996-02-08,9.89146
1996-02-09,9.65657
1996-02-12,9.76095
1996-02-13,9.78705
1996-02-14,9.78705
1996-02-15,9.73484
1996-02-16,9.708789999999999
1996-02-20,9.839260000000001
1996-02-21,10.126330000000001
1996-02-22,10.126330000000001
1996-02-23,10.20465
1996-02-26,9.839260000000001
1996-02-27,10.07418
1996-02-28,10.43956
1996-02-29,10.256839999999999
1996-03-01,10.33515
1996-03-04,10.67441
1996-03-05,10.778830000000001
1996-03-06,10.596119999999999
1996-03-07,10.62222
1996-03-08,9.91756
1996-03-11,10.38734
1996-03-12,10.33515
1996-03-13,10.43956
1996-03-14,10.43956
1996-03-15,10.361239999999999
1996-03-18,10.491719999999999
1996-03-19,10.570030000000001
1996-03-20,10.491719999999999
1996-03-21,10.41344
1996-03-22,10.30905
1996-03-25,10.33515
1996-03-26,10.33515
1996-03-27,10.16888
1996-03-28,10.09044
1996-03-29,9.9336
1996-04-01,10.16888
1996-04-02,10.22119
1996-04-03,10.14273
1996-04-04,10.03819
1996-04-08,10.03819
1996-04-09,10.06435
1996-04-10,10.012030000000001
1996-04-11,9.829039999999999
1996-04-12,9.95973
