Date,WDAY
2015-12-01,84.480003
2015-12-02,84.08000200000001
2015-12-03,83.610001
2015-12-04,84.58000200000001
2015-12-07,82.980003
2015-12-08,83.610001
2015-12-09,83.389999
2015-12-10,83.809998
2015-12-11,78.980003
2015-12-14,79.0
2015-12-15,78.970001
2015-12-16,81.290001
2015-12-17,80.519997
2015-12-18,78.550003
2015-12-21,78.550003
2015-12-22,79.239998
2015-12-23,79.839996
2015-12-24,79.68
2015-12-28,79.610001
2015-12-29,79.75
2015-12-30,80.279999
2015-12-31,79.68
2016-01-04,77.760002
2016-01-05,77.239998
2016-01-06,74.400002
2016-01-07,71.75
2016-01-08,71.07
2016-01-11,70.25
2016-01-12,71.900002
2016-01-13,71.260002
2016-01-14,70.5
2016-01-15,67.870003
2016-01-19,66.099998
2016-01-20,67.489998
2016-01-21,68.599998
2016-01-22,69.470001
2016-01-25,67.370003
2016-01-26,66.650002
2016-01-27,64.5
2016-01-28,62.029999
2016-01-29,63.009997999999996
2016-02-01,64.839996
2016-02-02,61.790001000000004
2016-02-03,63.060001
2016-02-04,64.839996
2016-02-05,54.240002000000004
2016-02-08,48.970001
2016-02-09,48.900002
2016-02-10,49.959998999999996
2016-02-11,50.330002
2016-02-12,49.25
2016-02-16,50.529999
2016-02-17,54.779999
2016-02-18,54.040001000000004
2016-02-19,57.119999
2016-02-22,57.32
2016-02-23,56.529999
2016-02-24,57.560001
2016-02-25,59.380001
2016-02-26,59.52
2016-02-29,60.450001
2016-03-01,71.739998
2016-03-02,71.910004
2016-03-03,74.300003
2016-03-04,73.110001
2016-03-07,72.550003
2016-03-08,71.230003
2016-03-09,72.879997
2016-03-10,71.690002
2016-03-11,71.190002
2016-03-14,72.550003
2016-03-15,70.269997
2016-03-16,71.389999
2016-03-17,70.160004
2016-03-18,72.0
2016-03-21,73.029999
2016-03-22,72.0
2016-03-23,71.260002
2016-03-24,72.050003
2016-03-28,72.199997
2016-03-29,74.339996
2016-03-30,76.139999
2016-03-31,76.839996
2016-04-01,78.599998
