,Mkt-RF,SMB,HML,RMW,CMA,RF,R_ME,R_IA,R_ROE,R_EG,rSP500,HiTec,NASDQ
197102,1.41,2.05,-1.29,0.65,-0.72,0.33,1.4429,0.6299,2.4201,0.7462,0.009073874,2.78,
197103,4.13,2.15,-4.04,1.97,-2.69,0.3,2.6136,-1.9517,1.9082,-0.3295,0.036795845,8.08,
197104,3.15,-0.37,0.72,-1.56,0.72,0.28,-0.2761,1.3011,-1.1778,-0.8496,0.036287499,2.37,
197105,-3.98,-1.17,-1.38,1.46,0.3,0.29,-1.4764,0.8408,1.4227,0.8511,-0.041558443,-6.11,
197106,-0.1,-1.45,-2.06,1.52,-1.74,0.37,-0.6857,-0.7086,4.3661,2.3722,-0.009334538,-2.17,
197107,-4.5,-1.41,0.17,0.48,1.62,0.4,0.2058,2.3799,2.382,0.6458,-0.031610893,-8.6,
197108,3.79,-0.18,2.67,-0.34,2.6,0.47,-2.2947,1.5681,-3.3154,0.0843,0.036095385,5.7,
197109,-0.85,0.19,-2.96,2.59,-1.56,0.37,0.3436,0.0654,2.7789,1.3024,-0.006967616,-1.56,
197110,-4.42,-1.65,-0.43,1.48,-1.24,0.37,-1.2297,-0.8146,1.818,2.5812,-0.041793707,-4.37,
197111,-0.46,-2.9,-1.7,2.45,-0.36,0.37,-2.6877,-0.2272,1.6929,1.5225,-0.002547013,1.77,
197112,8.71,3.27,-0.35,-0.43,-1.83,0.37,2.7116,-2.149,-1.4548,-1.5395,0.086179361,11.28,
197201,2.49,6.33,1.99,-1.48,0.29,0.29,6.6986,0.1462,-6.5071,2.0035,0.018121325,8.42,
197202,2.87,0.96,-2.76,1.65,-0.52,0.25,0.4947,1.9682,1.0483,-0.3198,0.02530304,1.88,
197203,0.63,-0.49,-1.73,1.58,-0.19,0.27,-1.0273,1.8522,2.0909,1.5623,0.005911579,1.09,
197204,0.29,0.15,0.23,-0.59,-0.89,0.29,0.2123,0.3007,0.7439,0.2764,0.004384338,0.74,
