"Date","AAPL","ABBV","ADBE","AER","AET","AGN","ALNY","ALSN","ANDV","ANTM","ARMK","ARRS","ASH","AVGO","AXP","BABA","BHC","BIDU","BKNG","BTI","BUD","CBS","CCI","CCK","CHTR","CI","CIT","CMCSA","CNC","COF","COMM","CPN","CSC","CTSH","CTVA","CTXS","CYH","DD","DG","DIS","DLTR","DOW","EVHC","EXP","FB","FIS","FISV","FLT","FOXA","FTNT","GOOG","GPK","HCA","HD","HUM","INTC","IPXL","KAR","KHC","KSU","LBTYK","LOW","LRCX","MA","MCK","MGM","MHK","MLM","MNST","MON","MSFT","MTG","MU","NFLX","NKE","NOC","NWL","OC","ORLY","PANW","PF","PFE","PM","PRSP","QCOM","RDN","RL","SABR","SC","SCHW","SHPG","SNAP","SSNC","ST","STNE","STZ","SWI","TAP","TDG","TMUS","UHS","UNH","USB","USFD","V","VMC","WCN","WLK","WYNN"
2018-02-01,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,2.64,0,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81,0,0,0,0,4.67,0,6.34,0,0,0,0,0,6.11,0,0,0,0,4.01,0,0,0,0,0,2.35,0,0,0,0,3.17,0,0,0,4.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,3.3,1.04,0,0,0,0,0,1.05,0,2.83,5.88,0,0,0,4.15,0,3.53,0,0
2018-03-01,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,2.64,0,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81,0,0,0,0,4.67,0,6.34,0,0,0,0,0,6.11,0,0,0,0,4.01,0,0,0,0,0,2.35,0,0,0,0,3.17,0,0,0,4.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,3.3,1.04,0,0,0,0,0,1.05,0,2.83,5.88,0,0,0,4.15,0,3.53,0,0
2018-04-01,0,0,2.36,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,1.96,0,0,0,0,0,0,0,1.99,0,0,0,0,0,0,0,0,2.89,0,4.46,4.23,0,3.47,0,5.59,0,0,0,0,0,5.33,0,0,0,0,3.54,0,0,0,0,0,2.4,0,2.62,0,0,3.73,0,0,0,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49,2.9,0,0,0,0,0,0,0,0,3.59,3.68,0,0,0,0,0,2.96,0,0
2018-05-01,0,0,2.36,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,1.96,0,0,0,0,0,0,0,1.99,0,0,0,0,0,0,0,0,2.89,0,4.46,4.23,0,3.47,0,5.59,0,0,0,0,0,5.33,0,0,0,0,3.54,0,0,0,0,0,2.4,0,2.62,0,0,3.73,0,0,0,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49,2.9,0,0,0,0,0,0,0,0,3.59,3.68,0,0,0,0,0,2.96,0,0
2018-06-01,0,0,2.36,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,1.96,0,0,0,0,0,0,0,1.99,0,0,0,0,0,0,0,0,2.89,0,4.46,4.23,0,3.47,0,5.59,0,0,0,0,0,5.33,0,0,0,0,3.54,0,0,0,0,0,2.4,0,2.62,0,0,3.73,0,0,0,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49,2.9,0,0,0,0,0,0,0,0,3.59,3.68,0,0,0,0,0,2.96,0,0
2018-07-01,0,0,2.12,0,0,0,0,0,0,3.56,0,0,0,0,0,2.11,0,2.44,0,0,2.18,1.66,0,0,0,0,0,0,0,0,1.79,0,0,0,0,0,0,0,0,5.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08,0,0,0,0,0,2.5,3.02,3.36,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,2.02,0,0,0,0,0,3.05,2.97,0,0,0,0,0,0,0,0,4.53,3.83,0,0,0,0,0,3.49,0,0
2018-08-01,0,0,2.12,0,0,0,0,0,0,3.56,0,0,0,0,0,2.11,0,2.44,0,0,2.18,1.66,0,0,0,0,0,0,0,0,1.79,0,0,0,0,0,0,0,0,5.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08,0,0,0,0,0,2.5,3.02,3.36,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,2.02,0,0,0,0,0,3.05,2.97,0,0,0,0,0,0,0,0,4.53,3.83,0,0,0,0,0,3.49,0,0
2018-09-01,0,0,2.12,0,0,0,0,0,0,3.56,0,0,0,0,0,2.11,0,2.44,0,0,2.18,1.66,0,0,0,0,0,0,0,0,1.79,0,0,0,0,0,0,0,0,5.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08,0,0,0,0,0,2.5,3.02,3.36,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,2.02,0,0,0,0,0,3.05,2.97,0,0,0,0,0,0,0,0,4.53,3.83,0,0,0,0,0,3.49,0,0
2018-10-01,0,0,1.58,0,0,0,3,0,0,3.45,0,0,0,0,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0,3.05,0,2.35,0,0,0,0,0,0,2.08,0,3.42,0,0,0,1.71,0,0,0,0,0,0,3.24,0,0,0,0,3.6,0,0,0,0,0,2.39,0,2.37,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4.65,2.16,0,0,0,0,0,0,0,0,2.74,0,0,0,0,0,0,2.32,0,0
2018-11-01,0,0,1.58,0,0,0,3,0,0,3.45,0,0,0,0,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0,3.05,0,2.35,0,0,0,0,0,0,2.08,0,3.42,0,0,0,1.71,0,0,0,0,0,0,3.24,0,0,0,0,3.6,0,0,0,0,0,2.39,0,2.37,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4.65,2.16,0,0,0,0,0,0,0,0,2.74,0,0,0,0,0,0,2.32,0,0
2018-12-01,0,0,1.58,0,0,0,3,0,0,3.45,0,0,0,0,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0,3.05,0,2.35,0,0,0,0,0,0,2.08,0,3.42,0,0,0,1.71,0,0,0,0,0,0,3.24,0,0,0,0,3.6,0,0,0,0,0,2.39,0,2.37,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4.65,2.16,0,0,0,0,0,0,0,0,2.74,0,0,0,0,0,0,2.32,0,0
2019-01-01,0,0,1.43,0,0,0,3.98,0,0,2.76,0,0,0,0,0,2.78,0,0,0,0,0,0,0,0,0,0,0,0,2.74,0,2.89,0,0,0,0,0,0,2.89,0,0,0,0,0,2,0,0,3.76,0,0,0,4.94,0,0,0,2.18,0,0,0,0,0,0,3.44,0,0,0,0,0,0,0,0,5.46,0,0,0,1.76,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,1.88,0,0,0,0,0,0,3.15,0,0,0,1.58,0,0,0,0,0
2019-02-01,0,0,1.43,0,0,0,3.98,0,0,2.76,0,0,0,0,0,2.78,0,0,0,0,0,0,0,0,0,0,0,0,2.74,0,2.89,0,0,0,0,0,0,2.89,0,0,0,0,0,2,0,0,3.76,0,0,0,4.94,0,0,0,2.18,0,0,0,0,0,0,3.44,0,0,0,0,0,0,0,0,5.46,0,0,0,1.76,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,1.88,0,0,0,0,0,0,3.15,0,0,0,1.58,0,0,0,0,0
2019-03-01,0,0,1.43,0,0,0,3.98,0,0,2.76,0,0,0,0,0,2.78,0,0,0,0,0,0,0,0,0,0,0,0,2.74,0,2.89,0,0,0,0,0,0,2.89,0,0,0,0,0,2,0,0,3.76,0,0,0,4.94,0,0,0,2.18,0,0,0,0,0,0,3.44,0,0,0,0,0,0,0,0,5.46,0,0,0,1.76,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,1.88,0,0,0,0,0,0,3.15,0,0,0,1.58,0,0,0,0,0
2019-04-01,0,0,0,0,0,0,4.45,0,0,0,0,0,0,0,0,4.68,0,0,2.43,0,0,0,0,0,0,0,0,0,4.65,0,4.22,0,0,0,1.42,0,0,4.69,0,0,0,1.31,0,0,0,0,1.69,0,0,0,5.39,0,0,0,5.96,0,0,1.84,0,0,0,2.93,0,0,0,1.87,0,0,0,0,2.96,0,0,0,0,0,0,2.96,0,0,0,0,0,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0
2019-05-01,0,0,0,0,0,0,4.45,0,0,0,0,0,0,0,0,4.68,0,0,2.43,0,0,0,0,0,0,0,0,0,4.65,0,4.22,0,0,0,1.42,0,0,4.69,0,0,0,1.31,0,0,0,0,1.69,0,0,0,5.39,0,0,0,5.96,0,0,1.84,0,0,0,2.93,0,0,0,1.87,0,0,0,0,2.96,0,0,0,0,0,0,2.96,0,0,0,0,0,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0
2019-06-01,0,0,0,0,0,0,4.45,0,0,0,0,0,0,0,0,4.68,0,0,2.43,0,0,0,0,0,0,0,0,0,4.65,0,4.22,0,0,0,1.42,0,0,4.69,0,0,0,1.31,0,0,0,0,1.69,0,0,0,5.39,0,0,0,5.96,0,0,1.84,0,0,0,2.93,0,0,0,1.87,0,0,0,0,2.96,0,0,0,0,0,0,2.96,0,0,0,0,0,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0
2019-07-01,0,0,0,0,0,0,3.81,0,0,0,0,0,0,0,0,5.17,0,0,1.93,0,0,0,0,0,0,0,0,0,4.61,0,3.32,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,6.52,2.03,0,0,3.23,0,0,2.05,0,0,0,1.82,0,0,0,0,0,0,2.61,0,2.68,0,0,2.06,0,0,0,3,0,0,0,0,0,2.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,3.14,0
2019-08-01,0,0,0,0,0,0,3.81,0,0,0,0,0,0,0,0,5.17,0,0,1.93,0,0,0,0,0,0,0,0,0,4.61,0,3.32,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,6.52,2.03,0,0,3.23,0,0,2.05,0,0,0,1.82,0,0,0,0,0,0,2.61,0,2.68,0,0,2.06,0,0,0,3,0,0,0,0,0,2.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,3.14,0
2019-09-01,0,0,0,0,0,0,3.81,0,0,0,0,0,0,0,0,5.17,0,0,1.93,0,0,0,0,0,0,0,0,0,4.61,0,3.32,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,6.52,2.03,0,0,3.23,0,0,2.05,0,0,0,1.82,0,0,0,0,0,0,2.61,0,2.68,0,0,2.06,0,0,0,3,0,0,0,0,0,2.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,3.14,0
2019-10-01,0,0,0,0,0,0,3.79,0,0,0,0,0,0,0,0,5.91,0,0,0,1.51,0,0,0,2.99,0,0,0,0,2.9,0,3.99,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,2.37,0,0,6.01,0,0,0,2.48,0,0,0,0,0,0,2.15,0,0,0,0,0,0,4.98,0,1.41,0,0,3.79,0,0,0,0,0,0,0,0,0,2.07,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,3.02,0,0,0,0,0,0,0,2.36,0
2019-11-01,0,0,0,0,0,0,3.79,0,0,0,0,0,0,0,0,5.91,0,0,0,1.51,0,0,0,2.99,0,0,0,0,2.9,0,3.99,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,2.37,0,0,6.01,0,0,0,2.48,0,0,0,0,0,0,2.15,0,0,0,0,0,0,4.98,0,1.41,0,0,3.79,0,0,0,0,0,0,0,0,0,2.07,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,3.02,0,0,0,0,0,0,0,2.36,0
2019-12-01,0,0,0,0,0,0,3.79,0,0,0,0,0,0,0,0,5.91,0,0,0,1.51,0,0,0,2.99,0,0,0,0,2.9,0,3.99,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,2.37,0,0,6.01,0,0,0,2.48,0,0,0,0,0,0,2.15,0,0,0,0,0,0,4.98,0,1.41,0,0,3.79,0,0,0,0,0,0,0,0,0,2.07,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,3.02,0,0,0,0,0,0,0,2.36,0
