Date,LIND
2016-07-11,9.94
2016-07-12,10.0
2016-07-13,9.99
2016-07-14,9.98
2016-07-15,9.98
2016-07-18,9.94
2016-07-19,9.9
2016-07-20,9.86
2016-07-21,9.88
2016-07-22,9.9
2016-07-25,9.74
2016-07-26,9.78
2016-07-27,9.8
2016-07-28,9.81
2016-07-29,9.94
2016-08-01,9.92
2016-08-02,9.93
2016-08-03,9.84
2016-08-04,9.72
2016-08-05,9.77
2016-08-08,9.25
2016-08-09,9.28
2016-08-10,9.2
2016-08-11,9.2
2016-08-12,9.2
2016-08-15,9.01
2016-08-16,8.84
2016-08-17,8.68
2016-08-18,8.75
2016-08-19,8.85
2016-08-22,8.85
2016-08-23,8.97
2016-08-24,9.03
2016-08-25,9.0
2016-08-26,9.0
2016-08-29,9.18
2016-08-30,9.28
2016-08-31,9.39
2016-09-01,9.28
2016-09-02,9.48
2016-09-06,9.47
2016-09-07,9.47
2016-09-08,9.38
2016-09-09,9.21
2016-09-12,9.25
2016-09-13,9.15
2016-09-14,9.16
2016-09-15,9.17
2016-09-16,9.08
2016-09-19,9.05
2016-09-20,9.05
2016-09-21,9.05
2016-09-22,9.09
2016-09-23,9.05
2016-09-26,9.07
2016-09-27,9.15
2016-09-28,9.47
2016-09-29,9.2
2016-09-30,9.0
2016-10-03,8.73
2016-10-04,8.79
2016-10-05,9.16
2016-10-06,8.97
2016-10-07,8.78
2016-10-10,8.79
2016-10-11,8.6
2016-10-12,8.53
2016-10-13,8.32
2016-10-14,8.37
2016-10-17,8.24
2016-10-18,8.2
2016-10-19,8.4
2016-10-20,8.51
2016-10-21,8.47
2016-10-24,8.6
2016-10-25,8.43
2016-10-26,8.36
2016-10-27,8.28
2016-10-28,8.22
2016-10-31,8.19
2016-11-01,7.98
2016-11-02,7.81
2016-11-03,8.05
2016-11-04,8.51
2016-11-07,8.49
2016-11-08,8.48
2016-11-09,8.48
2016-11-10,8.99
2016-11-11,9.29
2016-11-14,9.29
2016-11-15,9.42
2016-11-16,9.86
2016-11-17,9.7
2016-11-18,9.85
2016-11-21,9.77
2016-11-22,9.93
2016-11-23,9.98
2016-11-25,9.94
2016-11-28,9.81
2016-11-29,9.62
2016-11-30,9.56
2016-12-01,9.77
2016-12-02,9.65
2016-12-05,9.81
2016-12-06,9.85
2016-12-07,9.94
2016-12-08,9.95
2016-12-09,9.84
2016-12-12,9.83
2016-12-13,9.77
2016-12-14,9.72
2016-12-15,9.65
2016-12-16,9.52
2016-12-19,9.42
2016-12-20,9.47
2016-12-21,9.49
2016-12-22,9.53
2016-12-23,9.68
2016-12-27,9.72
2016-12-28,9.58
2016-12-29,9.33
2016-12-30,9.45
2017-01-03,9.65
2017-01-04,9.72
2017-01-05,9.69
2017-01-06,9.63
2017-01-09,9.56
2017-01-10,9.65
2017-01-11,9.63
2017-01-12,9.42
2017-01-13,9.49
2017-01-17,9.4
2017-01-18,9.4
2017-01-19,8.99
2017-01-20,9.14
2017-01-23,9.14
2017-01-24,9.51
2017-01-25,9.5
2017-01-26,9.18
2017-01-27,9.13
2017-01-30,8.98
2017-01-31,8.99
2017-02-01,8.99
2017-02-02,9.07
2017-02-03,9.1
2017-02-06,9.09
2017-02-07,9.44
2017-02-08,9.32
2017-02-09,9.49
2017-02-10,9.53
2017-02-13,9.43
2017-02-14,9.34
2017-02-15,9.33
2017-02-16,9.25
2017-02-17,9.25
2017-02-21,9.24
2017-02-22,8.99
2017-02-23,8.97
2017-02-24,9.09
2017-02-27,9.0
2017-02-28,8.97
2017-03-01,9.03
2017-03-02,8.96
2017-03-03,8.97
2017-03-06,8.85
2017-03-07,9.06
2017-03-08,8.9
2017-03-09,9.18
2017-03-10,9.16
2017-03-13,8.97
2017-03-14,8.85
2017-03-15,8.91
2017-03-16,8.9
2017-03-17,9.0
2017-03-20,8.76
2017-03-21,8.62
2017-03-22,8.72
2017-03-23,8.99
2017-03-24,8.94
2017-03-27,8.86
2017-03-28,8.9
2017-03-29,8.94
2017-03-30,8.98
2017-03-31,8.96
2017-04-03,8.98
2017-04-04,9.17
2017-04-05,8.97
2017-04-06,9.0
2017-04-07,9.0
2017-04-10,8.98
2017-04-11,9.2
2017-04-12,9.26
2017-04-13,9.13
2017-04-17,9.12
2017-04-18,9.16
2017-04-19,9.21
2017-04-20,9.13
2017-04-21,9.3
2017-04-24,9.39
2017-04-25,9.41
2017-04-26,9.39
2017-04-27,9.47
2017-04-28,9.5
2017-05-01,9.4
2017-05-02,9.45
2017-05-03,9.18
2017-05-04,9.09
2017-05-05,9.06
2017-05-08,9.06
2017-05-09,8.95
2017-05-10,9.17
2017-05-11,9.23
2017-05-12,9.08
2017-05-15,9.39
2017-05-16,9.35
2017-05-17,9.29
2017-05-18,9.3
2017-05-19,9.26
2017-05-22,9.31
2017-05-23,9.31
2017-05-24,9.3
2017-05-25,9.31
2017-05-26,9.33
2017-05-30,9.49
2017-05-31,9.52
2017-06-01,9.98
2017-06-02,9.94
2017-06-05,9.64
2017-06-06,9.6
2017-06-07,9.59
2017-06-08,9.68
2017-06-09,9.87
2017-06-12,9.59
