Date,TMO
1983-02-08,1.997257
1983-02-09,1.975309
1983-02-10,2.11797
1983-02-11,2.1289439999999997
1983-02-14,2.0631
1983-02-15,2.052126
1983-02-16,2.0631
1983-02-17,1.975309
1983-02-18,1.9862830000000002
1983-02-22,1.997257
1983-02-23,2.106996
1983-02-24,2.1838130000000002
1983-02-25,2.238683
1983-02-28,2.194787
1983-03-01,2.1289439999999997
1983-03-02,2.161865
1983-03-03,2.150892
1983-03-04,2.052126
1983-03-07,2.041152
1983-03-08,2.019204
1983-03-09,2.0082299999999997
1983-03-10,2.030178
1983-03-11,2.030178
1983-03-14,2.019204
1983-03-15,2.030178
1983-03-16,2.085048
1983-03-17,2.0631
1983-03-18,2.096022
1983-03-21,2.1289439999999997
1983-03-22,2.085048
1983-03-23,2.106996
1983-03-24,2.096022
1983-03-25,2.0631
1983-03-28,1.975309
1983-03-29,1.9862830000000002
1983-03-30,2.0082299999999997
1983-03-31,1.975309
1983-04-04,1.975309
1983-04-05,2.0082299999999997
1983-04-06,1.9862830000000002
1983-04-07,2.0082299999999997
1983-04-08,2.0082299999999997
1983-04-11,2.019204
1983-04-12,2.085048
1983-04-13,1.997257
1983-04-14,2.0631
1983-04-15,2.37037
1983-04-18,2.326475
1983-04-19,2.403292
1983-04-20,2.48011
1983-04-21,2.37037
1983-04-22,2.2935529999999997
1983-04-25,2.271605
1983-04-26,2.205761
1983-04-27,2.282579
1983-04-28,2.545953
1983-04-29,2.688615
1983-05-02,2.534979
1983-05-03,2.414266
1983-05-04,2.42524
1983-05-05,2.436214
1983-05-06,2.5020580000000003
1983-05-09,2.42524
1983-05-10,2.414266
1983-05-11,2.37037
1983-05-12,2.304527
1983-05-13,2.37037
1983-05-16,2.315501
1983-05-17,2.359396
1983-05-18,2.48011
1983-05-19,2.491084
1983-05-20,2.469136
1983-05-23,2.5130310000000002
1983-05-24,2.611797
1983-05-25,2.600823
1983-05-26,2.524005
1983-05-27,2.42524
1983-05-31,2.381344
1983-06-01,2.348423
1983-06-02,2.4581619999999997
1983-06-03,2.589849
1983-06-06,2.578875
1983-06-07,2.524005
1983-06-08,2.447188
1983-06-09,2.48011
1983-06-10,2.545953
1983-06-13,2.524005
1983-06-14,2.534979
1983-06-15,2.524005
1983-06-16,2.524005
1983-06-17,2.5020580000000003
1983-06-20,2.5020580000000003
1983-06-21,2.754458
1983-06-22,2.820302
1983-06-23,2.73251
1983-06-24,2.875171
1983-06-27,2.7873799999999997
1983-06-28,2.688615
1983-06-29,2.699589
1983-06-30,2.688615
1983-07-01,2.655693
1983-07-05,2.578875
1983-07-06,2.6337450000000002
1983-07-07,2.600823
1983-07-08,2.73251
1983-07-11,2.765432
1983-07-12,2.710562
1983-07-13,2.710562
1983-07-14,2.655693
1983-07-15,2.611797
1983-07-18,2.600823
1983-07-19,2.6227709999999997
1983-07-20,2.754458
1983-07-21,2.765432
1983-07-22,2.7983540000000002
1983-07-25,2.7873799999999997
1983-07-26,2.776406
1983-07-27,2.699589
1983-07-28,2.776406
1983-07-29,2.721536
1983-08-01,2.710562
1983-08-02,2.699589
1983-08-03,2.699589
1983-08-04,2.6337450000000002
1983-08-05,2.655693
1983-08-08,2.688615
1983-08-09,2.567901
1983-08-10,2.556927
1983-08-11,2.556927
1983-08-12,2.611797
1983-08-15,2.6227709999999997
1983-08-16,2.677641
1983-08-17,2.754458
1983-08-18,2.73251
1983-08-19,2.765432
1983-08-22,2.7873799999999997
1983-08-23,2.699589
1983-08-24,2.710562
1983-08-25,2.666667
1983-08-26,2.6337450000000002
1983-08-29,2.655693
1983-08-30,2.6227709999999997
1983-08-31,2.666667
1983-09-01,2.6337450000000002
1983-09-02,2.545953
1983-09-06,2.5020580000000003
1983-09-07,2.534979
1983-09-08,2.5130310000000002
1983-09-09,2.469136
1983-09-12,2.4581619999999997
1983-09-13,2.414266
1983-09-14,2.392318
1983-09-15,2.2935529999999997
1983-09-16,2.381344
1983-09-19,2.392318
1983-09-20,2.392318
1983-09-21,2.447188
1983-09-22,2.414266
1983-09-23,2.469136
1983-09-26,2.4581619999999997
1983-09-27,2.42524
1983-09-28,2.447188
1983-09-29,2.414266
1983-09-30,2.392318
1983-10-03,2.304527
1983-10-04,2.238683
1983-10-05,2.260631
1983-10-06,2.304527
1983-10-07,2.238683
1983-10-10,2.216735
1983-10-11,2.150892
1983-10-12,2.019204
1983-10-13,2.205761
1983-10-14,2.271605
1983-10-17,2.326475
1983-10-18,2.282579
1983-10-19,2.150892
1983-10-20,2.1838130000000002
1983-10-21,2.194787
1983-10-24,2.1728389999999997
1983-10-25,2.106996
1983-10-26,2.074074
1983-10-27,2.085048
1983-10-28,2.139918
1983-10-31,2.106996
1983-11-01,2.074074
1983-11-02,1.9862830000000002
1983-11-03,1.964335
1983-11-04,2.041152
1983-11-07,2.019204
1983-11-08,2.106996
1983-11-09,2.1728389999999997
1983-11-10,2.1289439999999997
1983-11-11,2.1289439999999997
1983-11-14,2.1728389999999997
1983-11-15,2.194787
1983-11-16,2.359396
1983-11-17,2.403292
1983-11-18,2.381344
1983-11-21,2.42524
1983-11-22,2.4581619999999997
1983-11-23,2.5020580000000003
1983-11-25,2.5020580000000003
1983-11-28,2.589849
1983-11-29,2.655693
1983-11-30,2.655693
1983-12-01,2.688615
1983-12-02,2.666667
1983-12-05,2.677641
1983-12-06,2.688615
1983-12-07,2.754458
1983-12-08,2.73251
1983-12-09,2.710562
1983-12-12,2.710562
1983-12-13,2.677641
1983-12-14,2.611797
1983-12-15,2.524005
1983-12-16,2.545953
1983-12-19,2.600823
1983-12-20,2.567901
1983-12-21,2.6337450000000002
1983-12-22,2.611797
1983-12-23,2.6337450000000002
1983-12-27,2.6337450000000002
1983-12-28,2.677641
1983-12-29,2.721536
1983-12-30,2.897119
1984-01-03,2.820302
1984-01-04,2.7983540000000002
1984-01-05,2.8806580000000004
1984-01-06,2.897119
1984-01-09,2.831276
1984-01-10,2.8806580000000004
1984-01-11,2.781893
1984-01-12,2.683128
1984-01-13,2.683128
1984-01-16,2.699589
1984-01-17,2.8148150000000003
1984-01-18,2.847737
1984-01-19,2.847737
1984-01-20,2.8806580000000004
1984-01-23,2.847737
1984-01-24,2.73251
1984-01-25,2.699589
1984-01-26,2.765432
1984-01-27,2.765432
1984-01-30,2.6337450000000002
1984-01-31,2.6337450000000002
1984-02-01,2.55144
1984-02-02,2.469136
1984-02-03,2.452675
1984-02-06,2.419753
1984-02-07,2.353909
1984-02-08,2.3209880000000003
1984-02-09,2.238683
1984-02-10,2.1893
1984-02-13,2.1893
1984-02-14,2.304527
1984-02-15,2.353909
1984-02-16,2.271605
1984-02-17,2.238683
1984-02-21,2.271605
1984-02-22,2.271605
1984-02-23,2.288066
1984-02-24,2.3374490000000003
1984-02-27,2.37037
1984-02-28,2.37037
1984-02-29,2.386831
1984-03-01,2.353909
1984-03-02,2.3209880000000003
1984-03-05,2.288066
1984-03-06,2.288066
1984-03-07,2.288066
1984-03-08,2.288066
1984-03-09,2.271605
1984-03-12,2.255144
1984-03-13,2.3209880000000003
1984-03-14,2.271605
1984-03-15,2.1893
1984-03-16,2.205761
1984-03-19,2.1728389999999997
1984-03-20,2.123457
1984-03-21,2.123457
1984-03-22,2.1563790000000003
1984-03-23,2.139918
1984-03-26,2.090535
1984-03-27,2.0082299999999997
1984-03-28,2.041152
1984-03-29,1.99177
1984-03-30,1.958848
1984-04-02,1.975309
1984-04-03,1.9094650000000002
1984-04-04,1.8930040000000001
1984-04-05,1.9094650000000002
1984-04-06,1.9094650000000002
1984-04-09,1.860082
1984-04-10,1.958848
1984-04-11,1.9259259999999998
1984-04-12,2.024691
1984-04-13,2.074074
1984-04-16,2.090535
1984-04-17,2.205761
1984-04-18,2.222222
1984-04-19,2.271605
1984-04-23,2.238683
1984-04-24,2.255144
1984-04-25,2.238683
1984-04-26,2.271605
1984-04-27,2.238683
1984-04-30,2.3374490000000003
1984-05-01,2.353909
1984-05-02,2.304527
1984-05-03,2.3209880000000003
1984-05-04,2.304527
1984-05-07,2.304527
1984-05-08,2.353909
1984-05-09,2.353909
1984-05-10,2.3374490000000003
1984-05-11,2.3374490000000003
1984-05-14,2.3209880000000003
1984-05-15,2.288066
1984-05-16,2.3374490000000003
1984-05-17,2.238683
1984-05-18,2.271605
1984-05-21,2.222222
1984-05-22,2.205761
1984-05-23,2.238683
1984-05-24,2.238683
1984-05-25,2.123457
1984-05-29,2.041152
1984-05-30,2.041152
1984-05-31,2.139918
1984-06-01,2.090535
1984-06-04,2.106996
1984-06-05,2.090535
1984-06-06,2.106996
1984-06-07,2.041152
1984-06-08,1.9423869999999999
1984-06-11,2.041152
1984-06-12,2.090535
1984-06-13,2.041152
1984-06-14,2.041152
1984-06-15,2.0082299999999997
1984-06-18,2.090535
1984-06-19,2.090535
1984-06-20,2.123457
1984-06-21,2.222222
1984-06-22,2.222222
1984-06-25,2.1728389999999997
