Date,FANG
2015-06-24,77.959999
2015-06-25,76.389999
2015-06-26,75.25
2015-06-29,75.160004
2015-06-30,75.379997
2015-07-01,72.82
2015-07-02,73.129997
2015-07-06,70.209999
2015-07-07,71.059998
2015-07-08,69.290001
2015-07-09,70.860001
2015-07-10,70.889999
2015-07-13,71.309998
2015-07-14,73.339996
2015-07-15,70.690002
2015-07-16,69.190002
2015-07-17,66.269997
2015-07-20,64.83000200000001
2015-07-21,65.970001
2015-07-22,66.239998
2015-07-23,66.290001
2015-07-24,63.900002
2015-07-27,63.299999
2015-07-28,64.989998
2015-07-29,67.650002
2015-07-30,67.68
2015-07-31,67.300003
2015-08-03,66.82
2015-08-04,67.989998
2015-08-05,68.370003
2015-08-06,70.480003
2015-08-07,68.839996
2015-08-10,70.190002
2015-08-11,70.870003
2015-08-12,72.480003
2015-08-13,71.66999799999999
2015-08-14,73.900002
2015-08-17,72.209999
2015-08-18,73.379997
2015-08-19,71.839996
2015-08-20,70.230003
2015-08-21,66.550003
2015-08-24,61.75
2015-08-25,60.82
2015-08-26,62.09
2015-08-27,65.699997
2015-08-28,66.559998
2015-08-31,68.290001
2015-09-01,64.519997
2015-09-02,67.449997
2015-09-03,66.980003
2015-09-04,66.0
2015-09-08,67.309998
2015-09-09,65.050003
2015-09-10,66.879997
2015-09-11,66.309998
2015-09-14,65.720001
2015-09-15,66.699997
2015-09-16,69.889999
2015-09-17,69.809998
2015-09-18,69.0
2015-09-21,69.41999799999999
2015-09-22,69.18
2015-09-23,66.489998
2015-09-24,66.66999799999999
2015-09-25,66.010002
2015-09-28,62.630001
2015-09-29,63.0
2015-09-30,64.599998
2015-10-01,65.559998
2015-10-02,69.360001
2015-10-05,72.209999
2015-10-06,72.58000200000001
2015-10-07,73.650002
2015-10-08,76.220001
2015-10-09,76.949997
2015-10-12,76.910004
2015-10-13,76.16999799999999
2015-10-14,76.43
2015-10-15,75.68
2015-10-16,77.18
2015-10-19,73.309998
2015-10-20,73.360001
2015-10-21,71.269997
2015-10-22,72.349998
2015-10-23,71.91999799999999
2015-10-26,72.879997
2015-10-27,72.559998
2015-10-28,75.5
2015-10-29,75.400002
2015-10-30,73.839996
2015-11-02,73.410004
2015-11-03,77.260002
2015-11-04,76.08000200000001
2015-11-05,77.089996
2015-11-06,77.790001
2015-11-09,79.620003
2015-11-10,79.599998
2015-11-11,79.83000200000001
2015-11-12,78.089996
2015-11-13,76.720001
2015-11-16,79.660004
2015-11-17,79.610001
2015-11-18,81.41999799999999
2015-11-19,77.059998
2015-11-20,77.470001
2015-11-23,79.739998
2015-11-24,79.940002
2015-11-25,78.699997
2015-11-27,77.519997
2015-11-30,78.019997
2015-12-01,78.199997
2015-12-02,76.790001
2015-12-03,76.75
2015-12-04,76.309998
2015-12-07,73.849998
2015-12-08,74.940002
2015-12-09,77.019997
2015-12-10,79.089996
2015-12-11,76.559998
2015-12-14,75.610001
2015-12-15,76.510002
2015-12-16,72.360001
2015-12-17,68.75
2015-12-18,66.160004
2015-12-21,62.200001
2015-12-22,63.349998
2015-12-23,67.459999
2015-12-24,67.91999799999999
2015-12-28,65.43
2015-12-29,66.440002
2015-12-30,66.019997
2015-12-31,66.900002
2016-01-04,66.110001
2016-01-05,65.190002
2016-01-06,62.200001
2016-01-07,60.400002
2016-01-08,60.759997999999996
2016-01-11,57.599998
2016-01-12,58.52
2016-01-13,59.509997999999996
2016-01-14,62.68
2016-01-15,63.16
2016-01-19,60.48
2016-01-20,60.91
2016-01-21,64.099998
2016-01-22,66.16999799999999
2016-01-25,62.080002
2016-01-26,66.529999
2016-01-27,68.269997
2016-01-28,72.790001
2016-01-29,75.550003
2016-02-01,72.599998
2016-02-02,71.25
2016-02-03,74.879997
2016-02-04,72.0
2016-02-05,67.309998
2016-02-08,69.949997
2016-02-09,67.059998
2016-02-10,67.33000200000001
2016-02-11,67.900002
2016-02-12,69.129997
2016-02-16,67.970001
2016-02-17,70.440002
2016-02-18,70.25
2016-02-19,72.08000200000001
2016-02-22,73.699997
2016-02-23,69.989998
2016-02-24,71.720001
2016-02-25,71.559998
2016-02-26,72.599998
2016-02-29,71.25
2016-03-01,72.489998
2016-03-02,74.0
2016-03-03,72.510002
2016-03-04,75.989998
2016-03-07,76.239998
2016-03-08,74.389999
2016-03-09,74.699997
2016-03-10,75.08000200000001
2016-03-11,78.43
2016-03-14,76.010002
2016-03-15,76.980003
2016-03-16,77.110001
2016-03-17,77.489998
2016-03-18,77.620003
2016-03-21,78.050003
2016-03-22,78.019997
2016-03-23,76.699997
2016-03-24,77.43
2016-03-28,76.459999
2016-03-29,77.160004
2016-03-30,79.029999
2016-03-31,77.18
2016-04-01,76.769997
2016-04-04,74.510002
2016-04-05,73.800003
2016-04-06,76.690002
2016-04-07,79.07
2016-04-08,81.050003
2016-04-11,80.58000200000001
2016-04-12,82.050003
2016-04-13,81.400002
2016-04-14,81.730003
2016-04-15,80.110001
2016-04-18,81.82
2016-04-19,82.300003
2016-04-20,83.449997
2016-04-21,82.550003
2016-04-22,83.68
2016-04-25,84.480003
2016-04-26,86.510002
2016-04-27,88.43
2016-04-28,86.879997
2016-04-29,86.58000200000001
2016-05-02,87.610001
2016-05-03,84.900002
2016-05-04,84.16999799999999
2016-05-05,87.68
2016-05-06,85.459999
2016-05-09,85.730003
2016-05-10,87.410004
2016-05-11,86.489998
2016-05-12,87.139999
2016-05-13,85.489998
2016-05-16,86.58000200000001
2016-05-17,86.940002
2016-05-18,86.93
2016-05-19,86.93
2016-05-20,87.019997
2016-05-23,86.839996
2016-05-24,87.970001
