Date,PGH
2016-07-25,5.2
2016-07-26,5.24
2016-07-27,5.2
2016-07-28,5.2
2016-07-29,5.25
2016-08-01,5.25
2016-08-02,5.2
2016-08-03,5.25
2016-08-04,5.29
2016-08-05,5.35
2016-08-08,5.3
2016-08-09,5.3
2016-08-10,5.31
2016-08-11,5.31
2016-08-12,5.31
2016-08-15,5.3
2016-08-16,5.29
2016-08-17,5.29
2016-08-18,5.27
2016-08-19,5.25
2016-08-22,5.25
2016-08-23,5.26
2016-08-24,5.26
2016-08-25,5.25
2016-08-26,5.27
2016-08-29,5.3
2016-08-30,5.3
2016-08-31,5.3
2016-09-01,5.43
2016-09-02,5.45
2016-09-06,5.55
2016-09-07,5.52
2016-09-08,5.57
2016-09-09,5.59
2016-09-12,5.59
2016-09-13,5.59
2016-09-14,5.62
2016-09-15,5.65
2016-09-16,5.75
2016-09-19,5.83
2016-09-20,5.96
2016-09-21,5.89
2016-09-22,5.89
2016-09-23,5.83
2016-09-26,5.95
2016-09-27,5.95
2016-09-28,5.93
2016-09-29,5.91
2016-09-30,5.98
2016-10-03,5.98
2016-10-04,5.97
2016-10-05,5.99
2016-10-06,5.97
2016-10-07,5.97
2016-10-10,6.0
2016-10-11,6.0
2016-10-12,6.0
2016-10-13,5.9
2016-10-14,5.95
2016-10-17,5.98
2016-10-18,5.99
2016-10-19,5.95
2016-10-20,5.95
2016-10-21,5.95
2016-10-24,6.1
2016-10-25,5.96
2016-10-26,5.95
2016-10-27,5.99
2016-10-28,5.99
2016-10-31,5.95
2016-11-01,5.95
2016-11-02,5.98
2016-11-03,5.99
2016-11-04,6.03
2016-11-07,6.2
2016-11-08,6.25
2016-11-09,6.35
2016-11-10,6.35
2016-11-11,6.34
2016-11-14,6.35
2016-11-15,6.49
2016-11-16,6.44
2016-11-17,6.44
2016-11-18,6.39
2016-11-21,6.35
2016-11-22,6.35
2016-11-23,6.5
2016-11-25,6.43
2016-11-28,6.41
2016-11-29,6.4
2016-11-30,6.41
2016-12-01,6.39
2016-12-02,6.41
2016-12-05,6.57
2016-12-06,6.5
2016-12-07,6.45
2016-12-08,6.46
2016-12-09,6.64
2016-12-12,6.64
2016-12-13,6.64
2016-12-14,6.63
2016-12-15,6.64
2016-12-16,6.61
2016-12-19,6.6
2016-12-20,6.59
2016-12-21,6.45
2016-12-22,6.54
2016-12-23,6.46
2016-12-27,6.57
2016-12-28,6.58
2016-12-29,6.68
2016-12-30,6.88
2017-01-03,6.8
2017-01-04,6.73
2017-01-05,6.6
2017-01-06,6.71
2017-01-09,6.78
2017-01-10,6.77
2017-01-11,6.77
2017-01-12,6.77
2017-01-13,6.77
2017-01-17,6.7
2017-01-18,6.69
