Date,TTD
2018-09-28,150.91000400000001
2018-10-01,143.520004
2018-10-02,133.369995
2018-10-03,138.850006
2018-10-04,136.229996
2018-10-05,133.399994
2018-10-08,131.899994
2018-10-09,128.919998
2018-10-10,118.650002
2018-10-11,117.730003
2018-10-12,123.059998
2018-10-15,123.870003
2018-10-16,129.889999
2018-10-17,128.279999
2018-10-18,124.720001
2018-10-19,121.300003
2018-10-22,124.400002
2018-10-23,122.75
2018-10-24,113.800003
2018-10-25,116.239998
2018-10-26,110.309998
2018-10-29,109.120003
2018-10-30,115.279999
2018-10-31,123.550003
2018-11-01,126.599998
2018-11-02,127.949997
2018-11-05,123.0
2018-11-06,122.110001
2018-11-07,131.880005
2018-11-08,122.199997
2018-11-09,122.57
2018-11-12,110.93
2018-11-13,112.059998
2018-11-14,116.510002
2018-11-15,123.339996
2018-11-16,125.230003
2018-11-19,113.730003
2018-11-20,113.269997
2018-11-21,118.529999
2018-11-23,119.349998
2018-11-26,129.399994
2018-11-27,129.429993
2018-11-28,135.66000400000001
2018-11-29,140.809998
2018-11-30,142.449997
2018-12-03,148.610001
2018-12-04,140.110001
2018-12-06,141.869995
2018-12-07,133.570007
2018-12-10,134.75
2018-12-11,137.809998
2018-12-12,143.399994
2018-12-13,139.0
2018-12-14,136.529999
2018-12-17,124.480003
2018-12-18,123.82
2018-12-19,121.550003
2018-12-20,117.089996
2018-12-21,106.550003
2018-12-24,104.389999
2018-12-26,110.809998
2018-12-27,113.959999
2018-12-28,114.449997
2018-12-31,116.059998
2019-01-02,116.160004
2019-01-03,109.559998
2019-01-04,117.91999799999999
2019-01-07,124.57
2019-01-08,128.050003
2019-01-09,128.800003
2019-01-10,129.669998
2019-01-11,127.300003
2019-01-14,128.490005
2019-01-15,130.41000400000001
2019-01-16,130.509995
2019-01-17,133.179993
2019-01-18,138.990005
2019-01-22,134.020004
2019-01-23,133.83999599999999
2019-01-24,135.03999299999998
2019-01-25,137.779999
2019-01-28,135.690002
2019-01-29,134.559998
2019-01-30,140.050003
2019-01-31,142.679993
2019-02-01,145.259995
2019-02-04,151.669998
2019-02-05,155.16000400000001
2019-02-06,147.5
2019-02-07,142.03999299999998
2019-02-08,146.179993
2019-02-11,148.899994
2019-02-12,152.979996
2019-02-13,151.33999599999999
2019-02-14,153.429993
2019-02-15,158.119995
2019-02-19,161.699997
2019-02-20,150.08999599999999
2019-02-21,150.490005
2019-02-22,197.729996
2019-02-25,197.619995
2019-02-26,195.5
2019-02-27,195.0
2019-02-28,197.53999299999998
2019-03-01,195.119995
2019-03-04,189.380005
2019-03-05,191.229996
2019-03-06,186.350006
2019-03-07,188.800003
2019-03-08,194.350006
2019-03-11,204.380005
2019-03-12,207.800003
2019-03-13,205.190002
2019-03-14,208.229996
2019-03-15,207.0
2019-03-18,203.75
2019-03-19,205.669998
2019-03-20,205.96000700000002
2019-03-21,213.57000699999998
2019-03-22,202.91000400000001
2019-03-25,197.03999299999998
2019-03-26,186.940002
2019-03-27,180.380005
2019-03-28,186.509995
2019-03-29,197.949997
2019-04-01,206.130005
2019-04-02,206.83999599999999
2019-04-03,207.21000700000002
2019-04-04,198.0
2019-04-05,196.520004
2019-04-08,197.5
2019-04-09,194.820007
2019-04-10,199.880005
2019-04-11,200.360001
2019-04-12,200.5
2019-04-15,202.16000400000001
2019-04-16,203.259995
2019-04-17,198.78999299999998
2019-04-18,198.740005
2019-04-22,211.02999900000003
2019-04-23,210.729996
2019-04-24,207.78999299999998
2019-04-25,214.75
2019-04-26,215.24000499999997
2019-04-29,225.88999900000002
2019-04-30,221.479996
2019-05-01,221.22000099999997
2019-05-02,225.16000400000001
2019-05-03,231.960007
2019-05-06,225.58999599999999
2019-05-07,217.649994
2019-05-08,222.11000099999998
2019-05-09,189.919998
2019-05-10,183.509995
2019-05-13,176.759995
2019-05-14,185.259995
2019-05-15,199.880005
2019-05-16,202.03999299999998
2019-05-17,198.020004
2019-05-20,198.169998
2019-05-21,199.029999
2019-05-22,198.899994
2019-05-23,195.28999299999998
2019-05-24,195.899994
2019-05-28,202.08999599999999
2019-05-29,201.449997
2019-05-30,201.889999
2019-05-31,198.809998
2019-06-03,197.419998
2019-06-04,222.91000400000001
2019-06-05,232.30000299999998
2019-06-06,237.25999500000003
2019-06-07,245.039993
2019-06-10,249.88000499999998
2019-06-11,249.36000099999998
2019-06-12,242.19999700000002
2019-06-13,246.88000499999998
2019-06-14,244.940002
2019-06-17,248.11000099999998
2019-06-18,245.17999300000002
2019-06-19,251.30000299999998
2019-06-20,251.08999599999999
2019-06-21,241.33999599999999
2019-06-24,234.289993
2019-06-25,226.88000499999998
2019-06-26,225.94999700000002
2019-06-27,231.44999700000002
2019-06-28,227.77999900000003
2019-07-01,233.770004
2019-07-02,234.210007
2019-07-03,233.830002
2019-07-05,237.770004
2019-07-08,239.67999300000002
2019-07-09,241.169998
2019-07-10,239.42999300000002
2019-07-11,240.789993
2019-07-12,244.05000299999998
2019-07-15,248.16000400000001
2019-07-16,243.539993
2019-07-17,244.17999300000002
2019-07-18,241.559998
2019-07-19,235.309998
2019-07-22,249.02999900000003
