Date,OPB
2016-07-18,36.740002000000004
2016-07-19,36.619999
2016-07-20,36.110001000000004
2016-07-21,35.82
2016-07-22,36.549999
2016-07-25,32.130001
2016-07-26,32.360001000000004
2016-07-27,32.82
2016-07-28,32.360001000000004
2016-07-29,32.279999
2016-08-01,32.400002
2016-08-02,32.009997999999996
2016-08-03,32.43
2016-08-04,32.400002
2016-08-05,33.240002000000004
2016-08-08,33.330002
2016-08-09,33.25
2016-08-10,32.759997999999996
2016-08-11,32.93
2016-08-12,32.91
2016-08-15,33.240002000000004
2016-08-16,33.07
2016-08-17,32.990002000000004
2016-08-18,33.779999
2016-08-19,33.509997999999996
2016-08-22,33.360001000000004
2016-08-23,33.419998
2016-08-24,33.700001
2016-08-25,34.18
2016-08-26,34.139998999999996
2016-08-29,34.220001
2016-08-30,34.82
2016-08-31,34.919998
2016-09-01,34.740002000000004
2016-09-02,35.310001
2016-09-06,35.169998
2016-09-07,35.610001000000004
2016-09-08,35.34
2016-09-09,35.049999
2016-09-12,34.509997999999996
2016-09-13,34.439999
2016-09-14,34.330002
2016-09-15,34.759997999999996
2016-09-16,34.130001
2016-09-19,34.240002000000004
2016-09-20,34.700001
2016-09-21,35.060001
2016-09-22,35.490002000000004
2016-09-23,35.200001
2016-09-26,34.509997999999996
2016-09-27,34.75
2016-09-28,35.119999
2016-09-29,34.419998
2016-09-30,35.369999
2016-10-03,34.759997999999996
2016-10-04,35.200001
2016-10-05,35.080002
2016-10-06,35.150002
2016-10-07,35.049999
2016-10-10,35.400002
2016-10-11,35.0
2016-10-12,35.040001000000004
2016-10-13,34.25
2016-10-14,34.450001
2016-10-17,27.200001
2016-10-18,27.299999
2016-10-19,24.129998999999998
2016-10-20,23.75
2016-10-21,23.16
2016-10-24,21.299999
2016-10-25,20.4
2016-10-26,20.1
2016-10-27,20.35
2016-10-28,20.200001
2016-10-31,20.049999
2016-11-01,19.700001
2016-11-02,19.65
2016-11-03,20.049999
2016-11-04,20.5
2016-11-07,20.950001
2016-11-08,20.9
2016-11-09,21.0
2016-11-10,21.75
2016-11-11,23.0
2016-11-14,23.4
2016-11-15,23.9
2016-11-16,23.6
2016-11-17,23.85
2016-11-18,24.049999
2016-11-21,23.75
2016-11-22,24.65
2016-11-23,25.200001
2016-11-25,24.9
2016-11-28,24.15
2016-11-29,24.6
2016-11-30,25.299999
2016-12-01,25.799999
2016-12-02,26.15
2016-12-05,27.15
2016-12-06,27.35
2016-12-07,27.5
2016-12-08,28.5
2016-12-09,29.1
2016-12-12,29.25
2016-12-13,29.6
2016-12-14,29.0
2016-12-15,29.450001
2016-12-16,28.799999
2016-12-19,28.9
2016-12-20,29.549999
2016-12-21,29.85
2016-12-22,29.75
2016-12-23,29.65
2016-12-27,29.85
2016-12-28,29.75
2016-12-29,29.549999
2016-12-30,30.049999
2017-01-03,29.75
2017-01-04,29.75
2017-01-05,29.5
2017-01-06,29.5
2017-01-09,29.200001
2017-01-10,29.450001
2017-01-11,29.299999
2017-01-12,28.35
2017-01-13,28.65
2017-01-17,27.35
2017-01-18,27.25
2017-01-19,27.85
2017-01-20,27.6
2017-01-23,26.35
2017-01-24,26.65
2017-01-25,27.299999
2017-01-26,27.200001
2017-01-27,27.25
2017-01-30,20.4
2017-01-31,20.35
2017-02-01,20.65
2017-02-02,20.5
2017-02-03,21.049999
2017-02-06,21.049999
2017-02-07,21.15
2017-02-08,21.0
2017-02-09,21.0
2017-02-10,21.049999
2017-02-13,21.799999
2017-02-14,21.9
2017-02-15,22.049999
2017-02-16,21.9
2017-02-17,21.9
2017-02-21,21.799999
2017-02-22,21.75
2017-02-23,21.65
2017-02-24,21.200001
2017-02-27,21.75
2017-02-28,21.6
2017-03-01,22.15
2017-03-02,21.700001
2017-03-03,21.799999
2017-03-06,21.549999
2017-03-07,21.450001
2017-03-08,20.85
2017-03-09,20.65
2017-03-10,20.200001
2017-03-13,19.9
2017-03-14,20.0
2017-03-15,19.9
2017-03-16,19.700001
2017-03-17,19.75
2017-03-20,19.5
2017-03-21,18.9
2017-03-22,18.6
2017-03-23,18.950001
2017-03-24,18.9
2017-03-27,19.049999
2017-03-28,19.299999
2017-03-29,19.200001
2017-03-30,19.9
2017-03-31,20.15
2017-04-03,19.75
2017-04-04,19.65
2017-04-05,18.9
2017-04-06,19.1
2017-04-07,19.0
2017-04-10,19.0
2017-04-11,19.299999
2017-04-12,19.5
2017-04-13,19.450001
2017-04-17,19.799999
2017-04-18,19.950001
2017-04-19,19.9
2017-04-20,20.200001
2017-04-21,20.799999
2017-04-24,21.85
2017-04-25,22.85
2017-04-26,23.85
2017-04-27,23.5
2017-04-28,22.549999
2017-05-01,22.549999
2017-05-02,22.299999
2017-05-03,22.4
2017-05-04,22.549999
2017-05-05,22.4
2017-05-08,22.450001
2017-05-09,22.299999
2017-05-10,22.35
2017-05-11,21.9
2017-05-12,21.85
2017-05-15,22.299999
2017-05-16,22.4
2017-05-17,21.9
2017-05-18,22.5
2017-05-19,22.450001
2017-05-22,22.4
2017-05-23,22.85
2017-05-24,22.450001
2017-05-25,22.299999
2017-05-26,22.25
2017-05-30,21.4
2017-05-31,21.5
2017-06-01,21.950001
2017-06-02,22.1
2017-06-05,22.299999
2017-06-06,22.200001
2017-06-07,22.35
2017-06-08,22.85
2017-06-09,23.4
2017-06-12,23.1
2017-06-13,23.5
2017-06-14,23.200001
2017-06-15,23.4
2017-06-16,23.200001
2017-06-19,23.450001
2017-06-20,23.549999
2017-06-21,23.4
2017-06-22,23.15
2017-06-23,23.25
2017-06-26,23.5
2017-06-27,23.200001
2017-06-28,23.6
2017-06-29,24.25
2017-06-30,24.200001
2017-07-03,24.9
2017-07-05,24.65
2017-07-06,23.799999
2017-07-07,23.75
2017-07-10,23.549999
2017-07-11,23.75
2017-07-12,23.950001
2017-07-13,23.700001
2017-07-14,23.5
2017-07-17,23.4
2017-07-18,23.35
2017-07-19,23.5
2017-07-20,23.5
2017-07-21,23.5
2017-07-24,24.5
2017-07-25,24.450001
2017-07-26,24.1
2017-07-27,24.049999
2017-07-28,23.9
2017-07-31,23.799999
2017-08-01,23.85
2017-08-02,23.799999
2017-08-03,23.700001
2017-08-04,23.950001
2017-08-07,23.799999
2017-08-08,23.700001
2017-08-09,23.6
2017-08-10,23.0
2017-08-11,23.049999
2017-08-14,23.450001
2017-08-15,23.049999
