Date,UNP
1982-03-04,2.8577
1982-03-05,2.836688
1982-03-08,2.6896
1982-03-09,2.77365
1982-03-10,2.847194
1982-03-11,2.899725
1982-03-12,2.920738
1982-03-15,3.0258
1982-03-16,2.983775
1982-03-17,2.9627630000000003
1982-03-18,2.994281
1982-03-19,3.004787
1982-03-22,3.0258
1982-03-23,3.120356
1982-03-24,3.099344
1982-03-25,3.078331
1982-03-26,3.078331
1982-03-29,3.120356
1982-03-30,3.10985
1982-03-31,3.10985
1982-04-01,3.141369
1982-04-02,3.2989629999999996
1982-04-05,3.225419
1982-04-06,3.2464310000000003
1982-04-07,3.2989629999999996
1982-04-08,3.340987
1982-04-12,3.3094690000000004
1982-04-13,3.235925
1982-04-14,3.141369
1982-04-15,3.10985
1982-04-16,3.1939
1982-04-19,3.1939
1982-04-20,3.130862
1982-04-21,3.0573189999999997
1982-04-22,3.120356
1982-04-23,3.141369
1982-04-26,3.151875
1982-04-27,3.172888
1982-04-28,3.10985
1982-04-29,3.036306
1982-04-30,3.067825
1982-05-03,3.099344
1982-05-04,3.120356
1982-05-05,3.141369
1982-05-06,3.214912
1982-05-07,3.351494
1982-05-10,3.3094690000000004
1982-05-11,3.4670620000000003
1982-05-12,3.3935190000000004
1982-05-13,3.362
1982-05-14,3.3725059999999996
1982-05-17,3.27795
1982-05-18,3.1939
1982-05-19,3.1623810000000003
1982-05-20,3.172888
1982-05-21,3.225419
1982-05-24,3.204406
1982-05-25,3.130862
1982-05-26,3.046813
1982-05-27,3.0258
1982-05-28,2.983775
1982-06-01,3.036306
1982-06-02,3.088837
1982-06-03,3.088837
1982-06-04,2.983775
1982-06-07,3.004787
1982-06-08,2.9732689999999997
1982-06-09,2.983775
1982-06-10,3.0573189999999997
1982-06-11,3.10985
1982-06-14,3.036306
1982-06-15,2.9627630000000003
1982-06-16,2.952256
1982-06-17,2.836688
1982-06-18,2.836688
1982-06-21,2.847194
1982-06-22,2.8577
1982-06-23,2.952256
1982-06-24,2.920738
1982-06-25,2.836688
1982-06-28,2.8682060000000003
1982-06-29,2.847194
1982-06-30,2.847194
1982-07-01,2.77365
1982-07-02,2.710613
1982-07-06,2.7001060000000003
