Date,GGG
2002-11-13,6.1177779999999995
2002-11-14,6.313333999999999
2002-11-15,6.426667
2002-11-18,6.2955559999999995
2002-11-19,6.193333
2002-11-20,6.326667
2002-11-21,6.444445
2002-11-22,6.457778
2002-11-25,6.488889
2002-11-26,6.495555
2002-11-27,6.611111
2002-11-29,6.5688889999999995
2002-12-02,6.702222
2002-12-03,6.5
2002-12-04,6.511111
2002-12-05,6.453333
2002-12-06,6.486667
2002-12-09,6.377778
2002-12-10,6.506667
2002-12-11,6.533333
2002-12-12,6.613333
2002-12-13,6.466667
2002-12-16,6.675555999999999
2002-12-17,6.586666999999999
2002-12-18,6.444445
2002-12-19,6.237778
2002-12-20,6.2444440000000005
2002-12-23,6.362222
2002-12-24,6.344444
2002-12-26,6.311111
2002-12-27,6.277778
2002-12-30,6.284444000000001
2002-12-31,6.366667
2003-01-02,6.562222
2003-01-03,6.522222
2003-01-06,6.622222
2003-01-07,6.557778
2003-01-08,6.466667
2003-01-09,6.4
2003-01-10,6.513333
2003-01-13,6.4244449999999995
2003-01-14,6.308889
2003-01-15,6.146667
2003-01-16,6.186666000000001
2003-01-17,6.122222
2003-01-21,5.957778
2003-01-22,5.8333330000000005
2003-01-23,5.906667
2003-01-24,5.866667
2003-01-27,5.7955559999999995
2003-01-28,5.717778
2003-01-29,5.722222
2003-01-30,5.7555559999999995
2003-01-31,5.915555
2003-02-03,5.8422220000000005
2003-02-04,5.804444
2003-02-05,5.848889
2003-02-06,5.8333330000000005
2003-02-07,5.8
2003-02-10,5.777778
2003-02-11,5.822222
2003-02-12,5.711111
2003-02-13,5.748889
2003-02-14,5.844444
2003-02-18,5.866667
2003-02-19,5.773333999999999
2003-02-20,5.78
2003-02-21,5.826667
2003-02-24,5.775556
2003-02-25,5.871111
2003-02-26,5.8
2003-02-27,5.928889
2003-02-28,5.955555
2003-03-03,5.982222
2003-03-04,5.8355559999999995
2003-03-05,5.902222
2003-03-06,5.737778
2003-03-07,5.737778
2003-03-10,5.728889
2003-03-11,5.735556
2003-03-12,5.706666
2003-03-13,5.788889
2003-03-14,5.968889
2003-03-17,6.175555999999999
2003-03-18,6.217778
2003-03-19,6.193333
2003-03-20,6.2
2003-03-21,6.266667
2003-03-24,6.191111
2003-03-25,6.315556
2003-03-26,6.242222
2003-03-27,6.222222
2003-03-28,6.2444440000000005
2003-03-31,6.2444440000000005
2003-04-01,6.282222
2003-04-02,6.473333
2003-04-03,6.328889
2003-04-04,6.308889
2003-04-07,6.477778
2003-04-08,6.4222220000000005
2003-04-09,6.417778
2003-04-10,6.38
2003-04-11,6.313333999999999
2003-04-14,6.411111
2003-04-15,6.4244449999999995
2003-04-16,6.366667
2003-04-17,6.855556
2003-04-21,7.044445
2003-04-22,7.055555
2003-04-23,6.975555
2003-04-24,6.955555
2003-04-25,6.6666669999999995
2003-04-28,6.8355559999999995
2003-04-29,6.853333
2003-04-30,6.822222
2003-05-01,6.7
2003-05-02,6.775556
2003-05-05,6.7555559999999995
2003-05-06,6.855556
2003-05-07,6.8
2003-05-08,6.7444440000000005
2003-05-09,6.888889
2003-05-12,6.935555
2003-05-13,6.86
2003-05-14,6.788889
2003-05-15,6.9222220000000005
2003-05-16,6.973333
2003-05-19,6.877778
2003-05-20,6.888889
2003-05-21,6.811111
2003-05-22,6.733333
2003-05-23,6.74
2003-05-27,6.7444440000000005
2003-05-28,6.72
2003-05-29,6.693333
2003-05-30,6.8355559999999995
2003-06-02,6.944445
2003-06-03,6.928889
2003-06-04,6.982222
2003-06-05,6.953333
2003-06-06,6.866667
2003-06-09,6.8
2003-06-10,6.728889
2003-06-11,6.944445
2003-06-12,6.9711110000000005
2003-06-13,6.9711110000000005
2003-06-16,7.011111
2003-06-17,7.022222
2003-06-18,6.973333
2003-06-19,6.968889
2003-06-20,6.955555
2003-06-23,6.977778
2003-06-24,7.0
2003-06-25,7.044445
2003-06-26,7.0777779999999995
2003-06-27,7.066667
2003-06-30,7.111111
2003-07-01,7.317778
2003-07-02,7.38
2003-07-03,7.377778
2003-07-07,7.468889
2003-07-08,7.604445
2003-07-09,7.491111
2003-07-10,7.38
2003-07-11,7.477778
2003-07-14,7.611111
2003-07-15,7.588889
2003-07-16,7.546667
2003-07-17,7.411111
2003-07-18,7.571111
2003-07-21,7.904444
2003-07-22,8.073334
2003-07-23,8.091111
2003-07-24,8.088889
2003-07-25,8.115556
2003-07-28,8.144444
2003-07-29,8.113334
2003-07-30,8.066667
2003-07-31,8.1
2003-08-01,8.035556
2003-08-04,7.893333
2003-08-05,7.864444000000001
2003-08-06,7.773333999999999
2003-08-07,7.777778
2003-08-08,7.8333330000000005
2003-08-11,7.831111
2003-08-12,7.915555
2003-08-13,8.06
2003-08-14,8.155555999999999
2003-08-15,8.271111
2003-08-18,8.517777
2003-08-19,8.577778
2003-08-20,8.542222
2003-08-21,8.7
2003-08-22,8.631111
2003-08-25,8.54
2003-08-26,8.515555
2003-08-27,8.633333
2003-08-28,8.74
2003-08-29,8.775556
2003-09-02,8.911111
2003-09-03,8.888889
2003-09-04,8.833333
2003-09-05,8.711111
2003-09-08,8.733334
2003-09-09,8.793333
2003-09-10,8.531111
2003-09-11,8.588889
2003-09-12,8.577778
2003-09-15,8.644444
2003-09-16,8.755555000000001
2003-09-17,8.7
2003-09-18,8.688889
2003-09-19,8.713333
2003-09-22,8.688889
2003-09-23,8.686666
2003-09-24,8.644444
2003-09-25,8.557777
2003-09-26,8.388889
2003-09-29,8.444445
2003-09-30,8.344444000000001
2003-10-01,8.402223
2003-10-02,8.466666
2003-10-03,8.542222
2003-10-06,8.675555000000001
2003-10-07,8.744444999999999
2003-10-08,8.693334
2003-10-09,8.7
2003-10-10,8.768888
2003-10-13,8.877778
2003-10-14,8.888889
2003-10-15,8.997778
2003-10-16,8.644444
2003-10-17,8.32
2003-10-20,8.526667
2003-10-21,8.388889
2003-10-22,8.231112
2003-10-23,8.213333
2003-10-24,8.002222
2003-10-27,8.177778
2003-10-28,8.091111
