Date,SPG
1997-02-24,27.496239000000003
1997-02-25,27.728272999999998
1997-02-26,27.960309999999996
1997-02-27,27.960309999999996
1997-02-28,27.960309999999996
1997-03-03,28.076328000000004
1997-03-04,27.960309999999996
1997-03-05,27.960309999999996
1997-03-06,29.584559999999996
1997-03-07,30.048632
1997-03-10,29.816595
1997-03-11,29.584559999999996
1997-03-12,29.236506
1997-03-13,28.888453000000002
1997-03-14,29.352524
1997-03-17,29.352524
1997-03-18,29.236506
1997-03-19,29.584559999999996
1997-03-20,29.700578999999998
1997-03-21,29.468542
1997-03-24,29.584559999999996
1997-03-25,29.004471000000002
1997-03-26,29.004471000000002
1997-03-27,28.192345
1997-03-31,28.076328000000004
1997-04-01,28.424381
1997-04-02,28.308363
1997-04-03,28.308363
1997-04-04,28.308363
1997-04-07,28.888453000000002
1997-04-08,28.656418
1997-04-09,28.656418
1997-04-10,28.5404
1997-04-11,28.308363
1997-04-14,27.612257
1997-04-15,27.612257
1997-04-16,27.728272999999998
1997-04-17,27.496239000000003
1997-04-18,27.612257
1997-04-21,27.38022
1997-04-22,27.264202
1997-04-23,27.148184000000004
1997-04-24,26.568094
1997-04-25,26.452078000000004
1997-04-28,26.104023
1997-04-29,26.336059999999996
1997-04-30,26.568094
1997-05-01,26.568094
1997-05-02,27.032166999999998
1997-05-05,27.612257
1997-05-06,27.612257
1997-05-07,27.38022
1997-05-08,27.264202
1997-05-09,27.612257
1997-05-12,27.612257
1997-05-13,27.38022
1997-05-14,27.264202
1997-05-15,27.38022
1997-05-16,27.728272999999998
1997-05-19,27.38022
1997-05-20,27.38022
1997-05-21,27.264202
1997-05-22,27.148184000000004
1997-05-23,27.032166999999998
1997-05-27,27.032166999999998
1997-05-28,27.032166999999998
1997-05-29,27.496239000000003
1997-05-30,28.076328000000004
1997-06-02,28.308363
1997-06-03,28.424381
1997-06-04,28.192345
1997-06-05,28.308363
1997-06-06,28.424381
1997-06-09,28.192345
1997-06-10,28.192345
1997-06-11,28.308363
1997-06-12,28.424381
1997-06-13,28.772434000000004
1997-06-16,29.004471000000002
1997-06-17,28.308363
1997-06-18,28.656418
1997-06-19,28.424381
1997-06-20,28.424381
1997-06-23,28.772434000000004
1997-06-24,28.482389
1997-06-25,28.482389
1997-06-26,28.656418
1997-06-27,28.888453000000002
1997-06-30,29.700578999999998
1997-07-01,28.888453000000002
1997-07-02,28.5404
