Date,MGA
1987-09-02,4.09375
1987-09-03,4.0625
1987-09-04,4.0625
1987-09-08,4.09375
1987-09-09,4.21875
1987-09-10,4.25
1987-09-11,4.25
1987-09-14,4.25
1987-09-15,4.28125
1987-09-16,4.28125
1987-09-17,4.3125
1987-09-18,4.34375
1987-09-21,4.34375
1987-09-22,4.375
1987-09-23,4.34375
1987-09-24,4.3125
1987-09-25,4.25
1987-09-28,4.28125
1987-09-29,4.25
1987-09-30,4.28125
1987-10-01,4.28125
1987-10-02,4.1875
1987-10-05,4.21875
1987-10-06,3.6875
1987-10-07,3.625
1987-10-08,3.59375
1987-10-09,3.5625
1987-10-12,3.5625
1987-10-13,3.5
1987-10-14,3.375
1987-10-15,3.375
1987-10-16,3.25
1987-10-19,2.71875
1987-10-20,2.59375
1987-10-21,2.78125
1987-10-22,2.625
1987-10-23,2.46875
1987-10-26,2.1875
1987-10-27,2.25
1987-10-28,2.0625
1987-10-29,2.15625
1987-10-30,2.25
1987-11-02,2.28125
1987-11-03,2.21875
1987-11-04,2.1875
1987-11-05,2.15625
1987-11-06,2.0
1987-11-09,1.90625
1987-11-10,1.8125
1987-11-11,1.75
1987-11-12,1.8125
1987-11-13,1.8125
1987-11-16,1.84375
1987-11-17,1.875
1987-11-18,1.90625
1987-11-19,1.90625
1987-11-20,1.875
1987-11-23,1.90625
1987-11-24,1.96875
1987-11-25,1.9375
1987-11-27,1.9375
1987-11-30,1.84375
1987-12-01,1.875
1987-12-02,1.90625
1987-12-03,1.84375
1987-12-04,1.84375
1987-12-07,1.875
1987-12-08,1.96875
1987-12-09,2.125
1987-12-10,1.96875
1987-12-11,2.03125
1987-12-14,2.03125
1987-12-15,2.0625
1987-12-16,2.09375
1987-12-17,2.1875
1987-12-18,2.34375
1987-12-21,2.28125
1987-12-22,2.125
1987-12-23,2.09375
1987-12-24,2.09375
1987-12-28,2.0
1987-12-29,1.9375
1987-12-30,2.0625
1987-12-31,2.0
1988-01-04,2.125
1988-01-05,2.09375
1988-01-06,2.09375
1988-01-07,2.125
1988-01-08,2.03125
1988-01-11,2.0
1988-01-12,2.09375
1988-01-13,2.09375
1988-01-14,2.1875
1988-01-15,2.21875
1988-01-18,2.1875
1988-01-19,2.15625
1988-01-20,2.125
1988-01-21,2.09375
1988-01-22,2.125
1988-01-25,2.0625
1988-01-26,2.09375
1988-01-27,2.03125
1988-01-28,2.0625
1988-01-29,2.09375
1988-02-01,2.0625
1988-02-02,2.0625
1988-02-03,2.0625
1988-02-04,2.0625
1988-02-05,2.125
1988-02-08,2.09375
1988-02-09,2.0625
1988-02-10,2.09375
1988-02-11,2.09375
1988-02-12,2.09375
1988-02-16,2.125
1988-02-17,2.125
1988-02-18,2.09375
1988-02-19,2.0625
1988-02-22,2.09375
1988-02-23,2.15625
1988-02-24,2.15625
1988-02-25,2.1875
1988-02-26,2.15625
1988-02-29,2.15625
1988-03-01,2.21875
1988-03-02,2.25
1988-03-03,2.28125
1988-03-04,2.28125
1988-03-07,2.34375
1988-03-08,2.4375
1988-03-09,2.59375
1988-03-10,2.53125
