Date,LORL
2014-04-10,73.440002
2014-04-11,73.160004
2014-04-14,72.989998
2014-04-15,72.639999
2014-04-16,72.150002
2014-04-17,70.790001
2014-04-21,71.760002
2014-04-22,71.510002
2014-04-23,71.190002
2014-04-24,69.66999799999999
2014-04-25,71.989998
2014-04-28,71.82
2014-04-29,71.120003
2014-04-30,71.989998
2014-05-01,72.519997
2014-05-02,73.08000200000001
2014-05-05,73.120003
2014-05-06,72.68
2014-05-07,72.459999
2014-05-08,71.620003
2014-05-09,72.040001
2014-05-12,73.349998
2014-05-13,72.089996
2014-05-14,71.470001
2014-05-15,71.449997
2014-05-16,71.800003
2014-05-19,71.0
2014-05-20,70.0
2014-05-21,70.800003
2014-05-22,71.449997
2014-05-23,70.940002
2014-05-27,72.599998
2014-05-28,73.050003
2014-05-29,73.559998
2014-05-30,72.339996
2014-06-02,72.230003
2014-06-03,71.910004
2014-06-04,74.370003
2014-06-05,74.849998
2014-06-06,73.800003
2014-06-09,74.639999
2014-06-10,74.059998
2014-06-11,74.339996
2014-06-12,73.82
2014-06-13,73.739998
2014-06-16,74.029999
2014-06-17,74.050003
2014-06-18,73.940002
2014-06-19,73.470001
2014-06-20,73.25
2014-06-23,73.16999799999999
2014-06-24,71.790001
2014-06-25,71.589996
2014-06-26,71.160004
2014-06-27,72.029999
2014-06-30,72.690002
2014-07-01,73.75
2014-07-02,74.709999
2014-07-03,74.650002
2014-07-07,73.75
2014-07-08,72.559998
2014-07-09,73.139999
2014-07-10,72.269997
2014-07-11,72.519997
2014-07-14,72.709999
2014-07-15,72.370003
2014-07-16,72.66999799999999
2014-07-17,72.5
2014-07-18,72.83000200000001
2014-07-21,72.41999799999999
2014-07-22,73.230003
2014-07-23,73.449997
2014-07-24,73.260002
2014-07-25,72.730003
2014-07-28,71.949997
2014-07-29,72.0
2014-07-30,72.309998
2014-07-31,72.300003
2014-08-01,72.25
2014-08-04,73.260002
2014-08-05,73.400002
2014-08-06,73.650002
2014-08-07,74.010002
2014-08-08,73.800003
2014-08-11,73.720001
2014-08-12,73.489998
2014-08-13,73.360001
2014-08-14,72.900002
2014-08-15,72.629997
2014-08-18,72.769997
2014-08-19,73.540001
2014-08-20,74.769997
2014-08-21,75.589996
2014-08-22,75.279999
2014-08-25,75.0
2014-08-26,75.339996
2014-08-27,74.760002
2014-08-28,74.58000200000001
2014-08-29,74.91999799999999
2014-09-02,75.699997
2014-09-03,74.639999
2014-09-04,74.510002
2014-09-05,74.980003
2014-09-08,75.529999
2014-09-09,74.959999
