Date,IPXL
2015-06-17,47.360001000000004
2015-06-18,47.700001
2015-06-19,47.799999
2015-06-22,48.009997999999996
2015-06-23,48.23
2015-06-24,47.810001
2015-06-25,46.860001000000004
2015-06-26,46.09
2015-06-29,45.830002
2015-06-30,45.919998
2015-07-01,46.650002
2015-07-02,46.310001
2015-07-06,47.77
2015-07-07,47.52
2015-07-08,45.990002000000004
2015-07-09,46.009997999999996
2015-07-10,47.360001000000004
2015-07-13,48.290001000000004
2015-07-14,48.549999
2015-07-15,48.939999
2015-07-16,50.110001000000004
2015-07-17,50.419998
2015-07-20,49.23
2015-07-21,49.650002
2015-07-22,50.049999
2015-07-23,50.240002000000004
2015-07-24,49.209998999999996
2015-07-27,49.25
2015-07-28,49.25
2015-07-29,48.419998
2015-07-30,48.360001000000004
2015-07-31,48.459998999999996
2015-08-03,48.290001000000004
2015-08-04,48.540001000000004
2015-08-05,47.889998999999996
2015-08-06,46.299999
2015-08-07,47.07
2015-08-10,45.639998999999996
2015-08-11,44.610001000000004
2015-08-12,44.880001
2015-08-13,44.5
2015-08-14,45.169998
2015-08-17,46.830002
2015-08-18,46.880001
2015-08-19,46.619999
2015-08-20,43.889998999999996
2015-08-21,43.419998
2015-08-24,41.66
2015-08-25,41.029999
2015-08-26,43.43
2015-08-27,43.970001
2015-08-28,42.400002
2015-08-31,40.959998999999996
2015-09-01,40.630001
2015-09-02,41.150002
2015-09-03,40.889998999999996
2015-09-04,40.310001
2015-09-08,45.16
2015-09-09,44.110001000000004
2015-09-10,43.639998999999996
2015-09-11,43.349998
2015-09-14,43.790001000000004
2015-09-15,43.900002
2015-09-16,43.75
2015-09-17,43.880001
2015-09-18,43.599998
2015-09-21,42.349998
2015-09-22,
2015-09-23,42.529999
2015-09-24,42.689999
2015-09-25,40.48
2015-09-28,36.290001000000004
2015-09-29,33.27
2015-09-30,35.209998999999996
2015-10-01,36.290001000000004
2015-10-02,38.200001
2015-10-05,38.59
2015-10-06,37.810001
2015-10-07,38.419998
2015-10-08,38.279999
2015-10-09,38.66
2015-10-12,38.619999
2015-10-13,36.84
2015-10-14,36.549999
2015-10-15,37.299999
2015-10-16,37.959998999999996
2015-10-19,37.84
2015-10-20,35.599998
2015-10-21,35.009997999999996
2015-10-22,34.529999
2015-10-23,35.630001
2015-10-26,35.970001
2015-10-27,35.299999
2015-10-28,36.939999
2015-10-29,35.75
2015-10-30,34.630001
2015-11-02,35.099998
2015-11-03,35.779999
2015-11-04,35.48
2015-11-05,34.790001000000004
2015-11-06,35.84
2015-11-09,37.759997999999996
2015-11-10,38.0
2015-11-11,37.48
2015-11-12,38.119999
2015-11-13,41.700001
2015-11-16,40.610001000000004
2015-11-17,41.830002
2015-11-18,43.25
2015-11-19,42.900002
2015-11-20,43.959998999999996
2015-11-23,43.599998
2015-11-24,44.080002
2015-11-25,44.720001
2015-11-27,44.57
2015-11-30,44.060001
2015-12-01,44.759997999999996
2015-12-02,44.380001
2015-12-03,43.810001
2015-12-04,44.220001
2015-12-07,42.529999
2015-12-08,42.560001
2015-12-09,41.66
2015-12-10,41.759997999999996
2015-12-11,41.52
2015-12-14,41.099998
2015-12-15,41.82
2015-12-16,41.990002000000004
2015-12-17,42.029999
2015-12-18,41.700001
2015-12-21,42.59
2015-12-22,42.619999
2015-12-23,43.330002
2015-12-24,43.43
2015-12-28,44.119999
2015-12-29,43.959998999999996
2015-12-30,43.599998
2015-12-31,42.759997999999996
2016-01-04,42.27
2016-01-05,42.650002
2016-01-06,42.0
2016-01-07,40.490002000000004
2016-01-08,38.290001000000004
2016-01-11,36.099998
2016-01-12,36.959998999999996
2016-01-13,36.049999
2016-01-14,38.310001
2016-01-15,39.02
2016-01-19,38.830002
2016-01-20,38.720001
2016-01-21,38.59
2016-01-22,40.060001
2016-01-25,39.73
2016-01-26,39.93
2016-01-27,38.419998
2016-01-28,36.790001000000004
2016-01-29,37.470001
2016-02-01,37.560001
2016-02-02,36.73
2016-02-03,36.0
2016-02-04,34.900002
2016-02-05,33.759997999999996
2016-02-08,32.700001
2016-02-09,32.439999
2016-02-10,32.18
2016-02-11,30.73
2016-02-12,30.889999
2016-02-16,32.16
2016-02-17,35.709998999999996
2016-02-18,34.990002000000004
2016-02-19,33.970001
2016-02-22,33.139998999999996
2016-02-23,32.830002
2016-02-24,32.009997999999996
2016-02-25,32.669998
2016-02-26,33.27
2016-02-29,32.689999
2016-03-01,34.360001000000004
2016-03-02,34.459998999999996
2016-03-03,34.860001000000004
2016-03-04,34.299999
2016-03-07,34.709998999999996
2016-03-08,32.529999
2016-03-09,33.59
2016-03-10,34.529999
2016-03-11,36.32
2016-03-14,35.18
2016-03-15,32.990002000000004
2016-03-16,32.990002000000004
2016-03-17,31.959999
2016-03-18,31.43
2016-03-21,32.240002000000004
2016-03-22,33.439999
2016-03-23,32.0
2016-03-24,32.220001
2016-03-28,31.370001000000002
2016-03-29,32.650002
2016-03-30,32.32
2016-03-31,32.02
2016-04-01,33.259997999999996
2016-04-04,32.52
2016-04-05,32.349998
2016-04-06,34.700001
2016-04-07,34.889998999999996
2016-04-08,34.810001
2016-04-11,34.279999
2016-04-12,34.310001
2016-04-13,35.349998
2016-04-14,35.389998999999996
2016-04-15,35.209998999999996
2016-04-18,35.439999
2016-04-19,35.380001
2016-04-20,35.200001
2016-04-21,36.400002
2016-04-22,36.25
2016-04-25,35.240002000000004
2016-04-26,34.990002000000004
2016-04-27,34.849998
2016-04-28,34.169998
2016-04-29,33.349998
2016-05-02,33.130001
2016-05-03,33.599998
2016-05-04,32.27
2016-05-05,32.27
2016-05-06,29.799999
2016-05-09,30.389999
2016-05-10,29.49
2016-05-11,28.83
2016-05-12,28.58
