Date,SNI
2014-06-23,81.660004
2014-06-24,80.379997
2014-06-25,80.730003
2014-06-26,80.839996
2014-06-27,80.370003
2014-06-30,81.139999
2014-07-01,81.510002
2014-07-02,81.190002
2014-07-03,81.559998
2014-07-07,80.879997
2014-07-08,80.269997
2014-07-09,80.849998
2014-07-10,80.760002
2014-07-11,81.550003
2014-07-14,80.93
2014-07-15,80.889999
2014-07-16,84.779999
2014-07-17,85.550003
2014-07-18,84.900002
2014-07-21,83.610001
2014-07-22,83.230003
2014-07-23,83.099998
2014-07-24,83.16999799999999
2014-07-25,83.650002
2014-07-28,83.400002
2014-07-29,82.809998
2014-07-30,83.010002
2014-07-31,82.410004
2014-08-01,82.989998
2014-08-04,83.41999799999999
2014-08-05,83.489998
2014-08-06,82.08000200000001
2014-08-07,77.43
2014-08-08,78.18
2014-08-11,78.379997
2014-08-12,78.230003
2014-08-13,79.059998
2014-08-14,79.610001
2014-08-15,80.120003
2014-08-18,80.980003
2014-08-19,80.339996
2014-08-20,81.5
2014-08-21,81.650002
2014-08-22,81.459999
2014-08-25,80.66999799999999
2014-08-26,80.709999
2014-08-27,80.489998
2014-08-28,80.110001
2014-08-29,79.709999
2014-09-02,80.019997
2014-09-03,79.360001
2014-09-04,79.349998
2014-09-05,80.489998
2014-09-08,79.690002
2014-09-09,78.410004
2014-09-10,78.629997
2014-09-11,78.519997
2014-09-12,78.339996
2014-09-15,78.129997
2014-09-16,78.099998
2014-09-17,78.050003
2014-09-18,78.230003
2014-09-19,78.309998
2014-09-22,77.639999
2014-09-23,77.870003
2014-09-24,78.08000200000001
2014-09-25,77.800003
2014-09-26,78.099998
2014-09-29,78.040001
2014-09-30,78.089996
2014-10-01,77.989998
2014-10-02,78.010002
2014-10-03,79.040001
2014-10-06,78.239998
2014-10-07,76.610001
2014-10-08,77.400002
2014-10-09,74.529999
2014-10-10,73.660004
2014-10-13,72.790001
2014-10-14,74.879997
2014-10-15,73.5
2014-10-16,71.610001
2014-10-17,72.68
2014-10-20,73.660004
2014-10-21,75.16999799999999
2014-10-22,74.32
2014-10-23,75.480003
2014-10-24,76.18
2014-10-27,75.709999
2014-10-28,76.400002
2014-10-29,76.82
2014-10-30,76.529999
2014-10-31,77.239998
2014-11-03,77.809998
2014-11-04,74.900002
2014-11-05,74.589996
2014-11-06,75.010002
2014-11-07,75.190002
2014-11-10,73.339996
2014-11-11,73.489998
2014-11-12,73.5
2014-11-13,73.5
2014-11-14,75.16999799999999
2014-11-17,75.010002
2014-11-18,74.879997
2014-11-19,75.489998
2014-11-20,76.730003
2014-11-21,76.209999
2014-11-24,78.010002
2014-11-25,77.940002
2014-11-26,77.970001
2014-11-28,78.16999799999999
2014-12-01,77.910004
2014-12-02,78.970001
2014-12-03,80.519997
2014-12-04,79.870003
2014-12-05,80.279999
2014-12-08,78.309998
2014-12-09,78.059998
2014-12-10,77.610001
2014-12-11,77.220001
2014-12-12,76.589996
2014-12-15,75.870003
2014-12-16,76.25
2014-12-17,77.849998
2014-12-18,78.839996
2014-12-19,77.83000200000001
2014-12-22,77.16999799999999
2014-12-23,77.690002
2014-12-24,78.540001
2014-12-26,77.839996
2014-12-29,77.370003
2014-12-30,76.519997
2014-12-31,75.269997
2015-01-02,75.940002
2015-01-05,74.230003
2015-01-06,72.75
2015-01-07,72.480003
2015-01-08,75.199997
2015-01-09,74.93
2015-01-12,74.91999799999999
2015-01-13,75.449997
2015-01-14,73.75
2015-01-15,72.93
2015-01-16,73.57
2015-01-20,71.739998
2015-01-21,71.68
2015-01-22,73.010002
2015-01-23,72.690002
2015-01-26,73.489998
2015-01-27,73.019997
