Date,GHC
1975-01-10,2.888973
1975-01-13,2.9267369999999997
1975-01-14,2.870091
1975-01-15,2.870091
1975-01-16,2.888973
1975-01-17,2.907855
1975-01-20,2.870091
1975-01-21,2.8323259999999997
1975-01-22,2.813444
1975-01-23,2.794562
1975-01-24,2.77568
1975-01-27,2.907855
1975-01-28,3.021148
1975-01-29,3.077795
1975-01-30,3.077795
1975-01-31,3.096677
1975-02-03,3.134441
1975-02-04,3.115559
1975-02-05,3.134441
1975-02-06,3.115559
1975-02-07,3.153323
1975-02-10,3.153323
1975-02-11,3.134441
1975-02-12,3.153323
1975-02-13,3.172205
1975-02-14,3.172205
1975-02-18,3.20997
1975-02-19,3.228852
1975-02-20,3.228852
1975-02-21,3.323263
1975-02-24,3.417674
1975-02-25,3.4743199999999996
1975-02-26,3.436556
1975-02-27,3.4932019999999997
1975-02-28,3.4743199999999996
1975-03-03,3.4743199999999996
1975-03-04,3.4743199999999996
1975-03-05,3.4743199999999996
1975-03-06,3.4743199999999996
1975-03-07,3.4743199999999996
1975-03-10,3.4743199999999996
1975-03-11,3.4743199999999996
1975-03-12,3.4743199999999996
1975-03-13,3.4743199999999996
1975-03-14,3.4743199999999996
1975-03-17,3.4932019999999997
1975-03-18,3.5498489999999996
1975-03-19,3.5687309999999997
1975-03-20,3.625378
1975-03-21,3.700906
1975-03-24,3.700906
1975-03-25,3.6820239999999997
1975-03-26,3.700906
1975-03-27,3.7764349999999998
1975-03-31,3.7764349999999998
1975-04-01,3.700906
1975-04-02,3.5687309999999997
1975-04-03,3.4743199999999996
1975-04-04,3.4743199999999996
1975-04-07,3.4554379999999996
1975-04-08,3.4554379999999996
1975-04-09,3.436556
1975-04-10,3.398792
1975-04-11,3.398792
1975-04-14,3.436556
1975-04-15,3.436556
1975-04-16,3.4743199999999996
1975-04-17,3.4743199999999996
1975-04-18,3.5120839999999998
1975-04-21,3.625378
1975-04-22,3.625378
1975-04-23,3.6631419999999997
1975-04-24,3.814199
1975-04-25,3.814199
1975-04-28,3.8519639999999997
1975-04-29,4.07855
1975-04-30,4.154078
1975-05-01,4.418429
1975-05-02,4.267372
1975-05-05,4.172961
1975-05-06,4.267372
1975-05-07,4.305136
1975-05-08,4.305136
1975-05-09,4.305136
1975-05-12,4.3806650000000005
1975-05-13,4.248489
1975-05-14,4.248489
1975-05-15,4.248489
1975-05-16,4.229607
1975-05-19,4.267372
1975-05-20,4.267372
1975-05-21,4.172961
1975-05-22,4.210725
1975-05-23,4.210725
1975-05-27,4.172961
1975-05-28,4.172961
1975-05-29,4.154078
1975-05-30,4.172961
1975-06-02,4.229607
1975-06-03,4.248489
1975-06-04,4.267372
1975-06-05,4.2862540000000005
1975-06-06,4.2862540000000005
1975-06-09,4.2862540000000005
1975-06-10,4.361783
1975-06-11,4.324018
1975-06-12,4.305136
1975-06-13,4.267372
1975-06-16,4.229607
1975-06-17,4.229607
1975-06-18,4.229607
1975-06-19,4.229607
1975-06-20,4.172961
1975-06-23,4.172961
1975-06-24,4.172961
1975-06-25,4.191843
1975-06-26,4.229607
1975-06-27,4.2862540000000005
1975-06-30,4.361783
1975-07-01,4.3429
1975-07-02,4.3429
1975-07-03,4.3806650000000005
1975-07-07,4.418429
1975-07-08,4.418429
1975-07-09,4.3429
1975-07-10,4.3806650000000005
1975-07-11,4.3806650000000005
1975-07-14,4.324018
1975-07-15,4.305136
1975-07-16,4.248489
1975-07-17,4.267372
1975-07-18,4.267372
1975-07-21,4.248489
1975-07-22,4.135196
1975-07-23,4.116314
1975-07-24,4.154078
1975-07-25,4.097432
1975-07-28,4.116314
1975-07-29,4.116314
1975-07-30,4.135196
1975-07-31,4.116314
1975-08-01,4.116314
1975-08-04,4.154078
1975-08-05,4.059668
1975-08-06,4.040785
1975-08-07,4.021904
1975-08-08,4.0030209999999995
1975-08-11,4.0030209999999995
1975-08-12,4.0030209999999995
1975-08-13,4.0030209999999995
1975-08-14,4.0030209999999995
1975-08-15,3.965257
1975-08-18,3.946375
1975-08-19,3.946375
1975-08-20,3.946375
1975-08-21,3.8519639999999997
1975-08-22,3.8519639999999997
1975-08-25,3.814199
1975-08-26,3.814199
1975-08-27,3.814199
1975-08-28,3.7575529999999997
1975-08-29,3.7764349999999998
1975-09-02,3.889728
1975-09-03,3.889728
1975-09-04,3.889728
1975-09-05,3.889728
1975-09-08,3.889728
1975-09-09,3.833081
1975-09-10,3.7575529999999997
1975-09-11,3.7575529999999997
1975-09-12,3.719789
1975-09-15,3.625378
1975-09-16,3.625378
1975-09-17,3.4743199999999996
1975-09-18,3.4554379999999996
1975-09-19,3.4743199999999996
1975-09-22,3.4743199999999996
1975-09-23,3.4743199999999996
1975-09-24,3.4743199999999996
1975-09-25,3.4743199999999996
1975-09-26,3.4743199999999996
1975-09-29,3.4743199999999996
1975-09-30,3.4743199999999996
1975-10-01,3.342145
1975-10-02,3.172205
1975-10-03,3.172205
1975-10-06,3.172205
1975-10-07,3.20997
1975-10-08,3.247734
1975-10-09,3.2854980000000005
1975-10-10,3.398792
1975-10-13,3.342145
1975-10-14,3.342145
1975-10-15,3.342145
1975-10-16,3.323263
1975-10-17,3.2854980000000005
1975-10-20,3.2854980000000005
1975-10-21,3.247734
1975-10-22,3.247734
1975-10-23,3.2854980000000005
1975-10-24,3.266616
1975-10-27,3.228852
1975-10-28,3.398792
1975-10-29,3.398792
1975-10-30,3.323263
1975-10-31,3.2854980000000005
1975-11-03,3.2854980000000005
1975-11-04,3.2854980000000005
1975-11-05,3.2854980000000005
1975-11-06,3.2854980000000005
1975-11-07,3.2854980000000005
1975-11-10,3.247734
1975-11-11,3.172205
1975-11-12,3.077795
1975-11-13,3.077795
1975-11-14,3.077795
1975-11-17,3.096677
1975-11-18,3.096677
1975-11-19,3.096677
1975-11-20,3.115559
1975-11-21,3.2854980000000005
1975-11-24,3.323263
1975-11-25,3.342145
1975-11-26,3.342145
1975-11-28,3.342145
1975-12-01,3.323263
1975-12-02,3.323263
1975-12-03,3.398792
1975-12-04,3.398792
1975-12-05,3.3610269999999995
1975-12-08,3.3610269999999995
1975-12-09,3.323263
1975-12-10,3.323263
1975-12-11,3.342145
1975-12-12,3.323263
1975-12-15,3.304381
1975-12-16,3.2854980000000005
1975-12-17,3.323263
1975-12-18,3.304381
1975-12-19,3.228852
1975-12-22,3.134441
1975-12-23,3.134441
1975-12-24,3.247734
1975-12-26,3.172205
1975-12-29,3.172205
1975-12-30,3.191088
1975-12-31,3.247734
1976-01-02,3.4554379999999996
1976-01-05,3.5120839999999998
1976-01-06,3.5498489999999996
1976-01-07,3.625378
1976-01-08,3.719789
1976-01-09,3.7575529999999997
1976-01-12,3.7575529999999997
1976-01-13,3.7764349999999998
1976-01-14,3.7764349999999998
1976-01-15,3.7764349999999998
1976-01-16,3.90861
1976-01-19,3.965257
1976-01-20,3.946375
1976-01-21,3.946375
1976-01-22,3.946375
1976-01-23,3.927492
1976-01-26,3.965257
1976-01-27,4.07855
1976-01-28,4.097432
1976-01-29,4.07855
1976-01-30,4.097432
1976-02-02,4.07855
1976-02-03,4.116314
1976-02-04,4.07855
1976-02-05,4.021904
1976-02-06,4.021904
1976-02-09,4.135196
1976-02-10,4.135196
1976-02-11,4.3806650000000005
1976-02-12,4.418429
1976-02-13,4.493958
1976-02-17,4.531722
1976-02-18,4.739426
1976-02-19,4.758308
1976-02-20,4.739426
1976-02-23,4.607251
1976-02-24,4.493958
1976-02-25,4.493958
1976-02-26,4.531722
1976-02-27,4.399547
1976-03-01,4.531722
1976-03-02,4.5694870000000005
