Date,ALLE
2016-11-03,63.290001000000004
2016-11-04,63.639998999999996
2016-11-07,65.41999799999999
2016-11-08,65.709999
2016-11-09,66.75
2016-11-10,69.110001
2016-11-11,69.309998
2016-11-14,68.589996
2016-11-15,68.769997
2016-11-16,67.57
2016-11-17,68.279999
2016-11-18,67.32
2016-11-21,67.93
2016-11-22,68.0
2016-11-23,67.699997
2016-11-25,67.910004
2016-11-28,67.400002
2016-11-29,67.480003
2016-11-30,66.910004
2016-12-01,65.459999
2016-12-02,64.870003
2016-12-05,64.610001
2016-12-06,65.0
2016-12-07,65.779999
2016-12-08,65.379997
2016-12-09,65.68
2016-12-12,65.120003
2016-12-13,65.650002
2016-12-14,65.440002
2016-12-15,64.900002
2016-12-16,64.220001
2016-12-19,64.910004
2016-12-20,65.33000200000001
2016-12-21,65.550003
2016-12-22,65.25
2016-12-23,65.389999
2016-12-27,65.540001
2016-12-28,64.800003
2016-12-29,64.769997
2016-12-30,64.0
2017-01-03,64.699997
2017-01-04,65.93
2017-01-05,66.290001
2017-01-06,65.889999
2017-01-09,65.41999799999999
2017-01-10,64.5
2017-01-11,65.699997
2017-01-12,66.120003
2017-01-13,65.5
2017-01-17,65.870003
2017-01-18,66.480003
2017-01-19,66.58000200000001
2017-01-20,65.160004
2017-01-23,65.07
2017-01-24,66.41999799999999
2017-01-25,66.599998
2017-01-26,65.949997
2017-01-27,66.519997
2017-01-30,65.839996
2017-01-31,65.66999799999999
2017-02-01,65.940002
2017-02-02,65.620003
2017-02-03,67.33000200000001
2017-02-06,67.339996
2017-02-07,67.019997
2017-02-08,67.599998
2017-02-09,71.730003
2017-02-10,71.91999799999999
2017-02-13,71.449997
2017-02-14,71.08000200000001
2017-02-15,71.83000200000001
2017-02-16,72.93
2017-02-17,73.269997
2017-02-21,74.510002
2017-02-22,74.059998
2017-02-23,73.949997
2017-02-24,73.949997
2017-02-27,73.599998
2017-02-28,72.589996
2017-03-01,73.690002
2017-03-02,73.959999
2017-03-03,73.82
2017-03-06,73.209999
2017-03-07,72.860001
2017-03-08,73.110001
2017-03-09,73.459999
