Date,D
1982-07-06,4.3333330000000005
1982-07-07,4.2916669999999995
1982-07-08,4.2083330000000005
1982-07-09,4.3333330000000005
1982-07-12,4.3333330000000005
1982-07-13,4.2916669999999995
1982-07-14,4.25
1982-07-15,4.25
1982-07-16,4.25
1982-07-19,4.375
1982-07-20,4.375
1982-07-21,4.4166669999999995
1982-07-22,4.4166669999999995
1982-07-23,4.375
1982-07-26,4.3333330000000005
1982-07-27,4.3333330000000005
1982-07-28,4.2083330000000005
1982-07-29,4.2916669999999995
1982-07-30,4.2916669999999995
1982-08-02,4.2916669999999995
1982-08-03,4.4166669999999995
1982-08-04,4.3333330000000005
1982-08-05,4.3333330000000005
1982-08-06,4.375
1982-08-09,4.2916669999999995
1982-08-10,4.3333330000000005
1982-08-11,4.375
1982-08-12,4.4166669999999995
1982-08-13,4.5
1982-08-16,4.5833330000000005
1982-08-17,4.7083330000000005
1982-08-18,4.6666669999999995
1982-08-19,4.6666669999999995
1982-08-20,4.75
1982-08-23,4.7916669999999995
1982-08-24,4.7083330000000005
1982-08-25,4.625
1982-08-26,4.6666669999999995
1982-08-27,4.5416669999999995
1982-08-30,4.5833330000000005
1982-08-31,4.625
1982-09-01,4.625
1982-09-02,4.7083330000000005
1982-09-03,4.6666669999999995
1982-09-07,4.5833330000000005
1982-09-08,4.6666669999999995
1982-09-09,4.625
1982-09-10,4.5416669999999995
1982-09-13,4.5833330000000005
1982-09-14,4.625
1982-09-15,4.625
1982-09-16,4.5833330000000005
1982-09-17,4.5833330000000005
1982-09-20,4.5416669999999995
1982-09-21,4.6666669999999995
1982-09-22,4.6666669999999995
1982-09-23,4.625
1982-09-24,4.5416669999999995
1982-09-27,4.5833330000000005
1982-09-28,4.5833330000000005
1982-09-29,4.5416669999999995
1982-09-30,4.5416669999999995
1982-10-01,4.625
1982-10-04,4.5833330000000005
1982-10-05,4.5416669999999995
1982-10-06,4.6666669999999995
1982-10-07,4.7916669999999995
1982-10-08,4.9166669999999995
1982-10-11,4.875
1982-10-12,4.875
1982-10-13,4.875
1982-10-14,4.875
1982-10-15,4.8333330000000005
1982-10-18,4.7916669999999995
1982-10-19,4.75
1982-10-20,4.7083330000000005
1982-10-21,4.6666669999999995
1982-10-22,4.7083330000000005
1982-10-25,4.6666669999999995
1982-10-26,4.75
1982-10-27,4.75
1982-10-28,4.7083330000000005
1982-10-29,4.7916669999999995
1982-11-01,4.7916669999999995
1982-11-02,4.8333330000000005
1982-11-03,4.7916669999999995
1982-11-04,4.8333330000000005
1982-11-05,4.8333330000000005
1982-11-08,4.875
1982-11-09,5.0
1982-11-10,5.0
1982-11-11,4.9583330000000005
1982-11-12,4.9583330000000005
1982-11-15,4.875
1982-11-16,4.5833330000000005
1982-11-17,4.6666669999999995
1982-11-18,4.5833330000000005
1982-11-19,4.625
1982-11-22,4.7083330000000005
1982-11-23,4.6666669999999995
1982-11-24,4.6666669999999995
1982-11-26,4.5833330000000005
1982-11-29,4.4583330000000005
1982-11-30,4.5
1982-12-01,4.4583330000000005
1982-12-02,4.4166669999999995
1982-12-03,4.4166669999999995
1982-12-06,4.4166669999999995
1982-12-07,4.5833330000000005
1982-12-08,4.5416669999999995
1982-12-09,4.5
1982-12-10,4.5
1982-12-13,4.5833330000000005
1982-12-14,4.625
1982-12-15,4.5833330000000005
1982-12-16,4.5416669999999995
1982-12-17,4.625
1982-12-20,4.5833330000000005
1982-12-21,4.5833330000000005
1982-12-22,4.6666669999999995
1982-12-23,4.7083330000000005
1982-12-27,4.75
1982-12-28,4.7916669999999995
1982-12-29,4.8333330000000005
1982-12-30,4.7916669999999995
1982-12-31,4.7916669999999995
1983-01-03,4.875
1983-01-04,4.875
1983-01-05,4.875
1983-01-06,4.875
1983-01-07,5.0
1983-01-10,4.9583330000000005
1983-01-11,5.0
1983-01-12,5.0
1983-01-13,5.0
1983-01-14,5.0
1983-01-17,5.0
1983-01-18,5.0
1983-01-19,5.0416669999999995
1983-01-20,5.0416669999999995
1983-01-21,5.0416669999999995
1983-01-24,4.9583330000000005
1983-01-25,5.0
1983-01-26,5.0
1983-01-27,5.0833330000000005
1983-01-28,5.0833330000000005
1983-01-31,5.0
1983-02-01,5.0416669999999995
1983-02-02,5.0833330000000005
1983-02-03,5.0416669999999995
1983-02-04,5.0833330000000005
1983-02-07,5.1666669999999995
1983-02-08,5.0833330000000005
1983-02-09,5.125
1983-02-10,5.125
1983-02-11,5.125
1983-02-14,5.125
1983-02-15,5.125
1983-02-16,5.0416669999999995
1983-02-17,5.0833330000000005
1983-02-18,5.0833330000000005
1983-02-22,5.0833330000000005
1983-02-23,4.9166669999999995
1983-02-24,4.9583330000000005
1983-02-25,4.9583330000000005
1983-02-28,4.9583330000000005
1983-03-01,5.0833330000000005
1983-03-02,5.125
1983-03-03,5.125
1983-03-04,5.125
1983-03-07,5.0833330000000005
1983-03-08,5.0416669999999995
1983-03-09,5.0416669999999995
1983-03-10,5.0416669999999995
1983-03-11,5.0
1983-03-14,4.9583330000000005
1983-03-15,5.0
1983-03-16,4.9583330000000005
1983-03-17,4.9583330000000005
1983-03-18,4.9583330000000005
1983-03-21,4.875
1983-03-22,4.9583330000000005
1983-03-23,5.0416669999999995
1983-03-24,5.0416669999999995
1983-03-25,5.0
1983-03-28,5.0416669999999995
1983-03-29,5.0416669999999995
1983-03-30,5.0416669999999995
1983-03-31,5.0
1983-04-04,5.0
1983-04-05,5.0416669999999995
1983-04-06,5.0416669999999995
1983-04-07,5.0833330000000005
1983-04-08,5.0833330000000005
1983-04-11,5.0
1983-04-12,5.0833330000000005
1983-04-13,5.0416669999999995
1983-04-14,5.0833330000000005
1983-04-15,5.0416669999999995
1983-04-18,5.125
1983-04-19,5.1666669999999995
1983-04-20,5.25
1983-04-21,5.2083330000000005
1983-04-22,5.1666669999999995
1983-04-25,5.1666669999999995
1983-04-26,5.0833330000000005
1983-04-27,5.0833330000000005
1983-04-28,5.0833330000000005
1983-04-29,5.1666669999999995
1983-05-02,5.2083330000000005
1983-05-03,5.25
1983-05-04,5.2083330000000005
1983-05-05,5.2083330000000005
1983-05-06,5.2083330000000005
1983-05-09,5.2083330000000005
1983-05-10,5.2083330000000005
1983-05-11,5.2083330000000005
1983-05-12,5.0
1983-05-13,5.0416669999999995
1983-05-16,5.0
1983-05-17,4.9583330000000005
1983-05-18,5.0833330000000005
1983-05-19,5.0
1983-05-20,5.0
1983-05-23,7.3333330000000005
1983-05-24,7.4583330000000005
1983-05-25,7.375
1983-05-26,7.375
1983-05-27,7.4166669999999995
1983-05-31,7.5
1983-06-01,7.4583330000000005
1983-06-02,7.4583330000000005
1983-06-03,7.5416669999999995
1983-06-06,7.5
1983-06-07,7.4166669999999995
1983-06-08,7.25
1983-06-09,7.25
1983-06-10,7.2916669999999995
1983-06-13,7.2916669999999995
1983-06-14,7.1666669999999995
1983-06-15,7.2083330000000005
1983-06-16,7.1666669999999995
1983-06-17,7.1666669999999995
1983-06-20,7.0833330000000005
1983-06-21,7.125
1983-06-22,7.2083330000000005
1983-06-23,7.1666669999999995
1983-06-24,7.1666669999999995
1983-06-27,7.0833330000000005
1983-06-28,7.0416669999999995
1983-06-29,7.1666669999999995
1983-06-30,7.125
1983-07-01,7.125
1983-07-05,7.1666669999999995
1983-07-06,7.125
1983-07-07,7.0833330000000005
1983-07-08,7.125
1983-07-11,7.25
1983-07-12,7.2083330000000005
1983-07-13,7.1666669999999995
1983-07-14,7.1666669999999995
1983-07-15,7.1666669999999995
1983-07-18,7.2083330000000005
1983-07-19,7.1666669999999995
1983-07-20,7.25
1983-07-21,7.25
1983-07-22,7.25
1983-07-25,7.25
1983-07-26,7.3333330000000005
1983-07-27,7.2916669999999995
1983-07-28,7.2916669999999995
1983-07-29,7.2916669999999995
1983-08-01,7.2083330000000005
1983-08-02,7.2083330000000005
1983-08-03,7.2083330000000005
1983-08-04,7.125
1983-08-05,7.125
1983-08-08,7.0833330000000005
1983-08-09,7.125
1983-08-10,7.125
1983-08-11,7.1666669999999995
1983-08-12,7.125
1983-08-15,7.125
1983-08-16,7.1666669999999995
1983-08-17,7.2083330000000005
1983-08-18,7.2083330000000005
1983-08-19,7.2083330000000005
1983-08-22,7.25
1983-08-23,7.25
1983-08-24,6.9583330000000005
1983-08-25,6.9583330000000005
1983-08-26,7.0
1983-08-29,7.0
1983-08-30,6.9583330000000005
1983-08-31,6.8333330000000005
1983-09-01,6.9166669999999995
1983-09-02,6.9583330000000005
1983-09-06,7.0
1983-09-07,7.0
1983-09-08,7.0
1983-09-09,7.0416669999999995
1983-09-12,7.0833330000000005
1983-09-13,7.0
1983-09-14,6.9166669999999995
1983-09-15,6.9583330000000005
1983-09-16,7.0416669999999995
1983-09-19,7.0416669999999995
1983-09-20,7.1666669999999995
1983-09-21,7.2083330000000005
1983-09-22,7.1666669999999995
1983-09-23,7.2083330000000005
1983-09-26,7.2916669999999995
1983-09-27,7.2083330000000005
1983-09-28,7.2083330000000005
1983-09-29,7.2083330000000005
1983-09-30,7.2916669999999995
1983-10-03,7.375
1983-10-04,7.5833330000000005
1983-10-05,7.6666669999999995
1983-10-06,7.6666669999999995
1983-10-07,7.6666669999999995
1983-10-10,7.5833330000000005
1983-10-11,7.625
1983-10-12,7.625
1983-10-13,7.5833330000000005
1983-10-14,7.5833330000000005
1983-10-17,7.5
1983-10-18,7.5
1983-10-19,7.5416669999999995
1983-10-20,7.625
1983-10-21,7.7083330000000005
1983-10-24,7.6666669999999995
1983-10-25,7.75
1983-10-26,7.75
1983-10-27,7.75
1983-10-28,7.7916669999999995
1983-10-31,7.8333330000000005
1983-11-01,7.8333330000000005
1983-11-02,7.8333330000000005
1983-11-03,7.7916669999999995
1983-11-04,7.75
1983-11-07,7.6666669999999995
1983-11-08,7.7083330000000005
1983-11-09,7.75
1983-11-10,7.75
1983-11-11,7.875
1983-11-14,7.875
1983-11-15,7.9166669999999995
1983-11-16,8.0
1983-11-17,7.9583330000000005
1983-11-18,7.9583330000000005
1983-11-21,7.9166669999999995
1983-11-22,7.7083330000000005
1983-11-23,7.7083330000000005
1983-11-25,7.7083330000000005
1983-11-28,7.6666669999999995
1983-11-29,7.4583330000000005
1983-11-30,7.3333330000000005
1983-12-01,7.2083330000000005
1983-12-02,7.125
1983-12-05,7.125
1983-12-06,7.1666669999999995
1983-12-07,7.1666669999999995
1983-12-08,7.125
1983-12-09,7.2083330000000005
1983-12-12,7.25
1983-12-13,7.4166669999999995
1983-12-14,7.3333330000000005
1983-12-15,7.3333330000000005
1983-12-16,7.4166669999999995
1983-12-19,7.4166669999999995
1983-12-20,7.4583330000000005
1983-12-21,7.4583330000000005
1983-12-22,7.375
1983-12-23,7.2083330000000005
1983-12-27,7.3333330000000005
1983-12-28,7.375
1983-12-29,7.3333330000000005
1983-12-30,7.375
1984-01-03,7.4166669999999995
1984-01-04,7.625
1984-01-05,7.625
1984-01-06,7.7916669999999995
1984-01-09,7.7083330000000005
1984-01-10,7.75
1984-01-11,7.75
1984-01-12,7.7916669999999995
1984-01-13,7.75
1984-01-16,7.75
1984-01-17,7.75
1984-01-18,7.8333330000000005
1984-01-19,7.8333330000000005
1984-01-20,7.8333330000000005
1984-01-23,7.8333330000000005
1984-01-24,7.875
1984-01-25,7.9166669999999995
1984-01-26,7.875
1984-01-27,7.875
1984-01-30,7.9166669999999995
1984-01-31,7.875
1984-02-01,7.875
1984-02-02,7.9583330000000005
1984-02-03,7.9166669999999995
1984-02-06,8.041667
1984-02-07,7.9583330000000005
1984-02-08,7.8333330000000005
1984-02-09,7.625
1984-02-10,7.625
1984-02-13,7.375
1984-02-14,7.4583330000000005
1984-02-15,7.5
1984-02-16,7.4583330000000005
1984-02-17,7.5
1984-02-21,7.5416669999999995
1984-02-22,7.5
1984-02-23,7.2916669999999995
1984-02-24,6.9583330000000005
1984-02-27,7.0
1984-02-28,7.0
1984-02-29,7.125
1984-03-01,7.2916669999999995
1984-03-02,7.2916669999999995
1984-03-05,7.25
1984-03-06,7.125
1984-03-07,7.1666669999999995
1984-03-08,7.1666669999999995
1984-03-09,7.125
1984-03-12,7.125
1984-03-13,7.125
1984-03-14,7.1666669999999995
1984-03-15,7.1666669999999995
1984-03-16,7.25
1984-03-19,7.25
1984-03-20,7.2083330000000005
1984-03-21,7.1666669999999995
1984-03-22,7.125
1984-03-23,7.125
1984-03-26,7.1666669999999995
1984-03-27,7.2083330000000005
1984-03-28,7.25
1984-03-29,7.2083330000000005
1984-03-30,7.2083330000000005
1984-04-02,7.2083330000000005
1984-04-03,7.3333330000000005
1984-04-04,7.2916669999999995
1984-04-05,7.3333330000000005
1984-04-06,7.2916669999999995
1984-04-09,7.3333330000000005
1984-04-10,7.3333330000000005
1984-04-11,7.4166669999999995
1984-04-12,7.5
1984-04-13,7.5833330000000005
1984-04-16,7.5416669999999995
1984-04-17,7.7083330000000005
1984-04-18,7.625
1984-04-19,7.5416669999999995
1984-04-23,7.5
1984-04-24,7.5833330000000005
1984-04-25,7.6666669999999995
1984-04-26,7.6666669999999995
1984-04-27,7.7083330000000005
1984-04-30,7.7916669999999995
1984-05-01,7.875
1984-05-02,7.8333330000000005
1984-05-03,7.875
1984-05-04,7.8333330000000005
1984-05-07,7.8333330000000005
1984-05-08,7.875
1984-05-09,8.0
1984-05-10,8.0
1984-05-11,8.0
1984-05-14,7.9583330000000005
1984-05-15,8.041667
1984-05-16,8.0
1984-05-17,7.9166669999999995
1984-05-18,7.875
1984-05-21,7.875
1984-05-22,7.8333330000000005
1984-05-23,7.7916669999999995
1984-05-24,7.625
1984-05-25,7.5
