Date,IMIAF
2015-04-22,18.49
2015-04-23,18.49
2015-04-24,18.42
2015-04-27,18.42
2015-04-28,19.42
2015-04-29,19.42
2015-04-30,19.42
2015-05-01,18.98
2015-05-04,18.98
2015-05-05,18.98
2015-05-06,18.98
2015-05-07,18.98
2015-05-08,18.98
2015-05-11,18.389999
2015-05-12,18.299999
2015-05-13,18.299999
2015-05-14,18.299999
2015-05-15,18.299999
2015-05-18,18.5
2015-05-19,18.5
2015-05-20,18.5
2015-05-21,18.5
2015-05-22,18.5
2015-05-26,18.5
2015-05-27,18.5
2015-05-28,18.5
2015-05-29,18.5
2015-06-01,18.5
2015-06-02,18.5
2015-06-03,18.5
2015-06-04,18.5
2015-06-05,18.5
2015-06-08,18.440001000000002
2015-06-09,18.440001000000002
2015-06-10,18.440001000000002
2015-06-11,18.440001000000002
2015-06-12,18.440001000000002
2015-06-15,18.440001000000002
2015-06-16,18.299999
2015-06-17,18.299999
2015-06-18,18.299999
2015-06-19,18.48
2015-06-22,18.48
2015-06-23,18.48
2015-06-24,18.48
2015-06-25,18.48
2015-06-26,18.48
2015-06-29,18.48
2015-06-30,18.48
2015-07-01,18.48
2015-07-02,18.48
2015-07-06,18.48
2015-07-07,18.48
2015-07-08,17.18
2015-07-09,17.18
2015-07-10,17.18
2015-07-13,18.0
2015-07-14,18.0
2015-07-15,17.48
2015-07-16,17.48
2015-07-17,17.48
2015-07-20,17.48
2015-07-21,17.48
2015-07-22,17.48
2015-07-23,17.48
2015-07-24,17.48
2015-07-27,16.530001000000002
2015-07-28,16.530001000000002
2015-07-29,16.639999
2015-07-30,16.639999
2015-07-31,16.450001
2015-08-03,16.450001
2015-08-04,16.450001
2015-08-05,16.450001
2015-08-06,16.450001
2015-08-07,16.450001
2015-08-10,16.450001
2015-08-11,16.450001
2015-08-12,16.450001
2015-08-13,16.450001
2015-08-14,16.450001
2015-08-17,16.450001
2015-08-18,15.92
2015-08-19,15.92
2015-08-20,15.92
2015-08-21,15.92
2015-08-24,15.25
2015-08-25,15.51
2015-08-26,15.35
2015-08-27,15.35
2015-08-28,15.35
2015-08-31,15.35
2015-09-01,15.35
2015-09-02,15.35
2015-09-03,15.35
2015-09-04,15.35
2015-09-08,15.35
2015-09-09,15.35
2015-09-10,15.35
2015-09-11,15.35
2015-09-14,15.35
2015-09-15,16.0
2015-09-16,16.0
2015-09-17,16.0
2015-09-18,16.0
2015-09-21,16.0
2015-09-22,16.0
2015-09-23,16.0
2015-09-24,16.0
2015-09-25,16.0
2015-09-28,16.0
2015-09-29,16.0
2015-09-30,16.0
2015-10-01,14.46
2015-10-02,14.46
2015-10-05,14.46
2015-10-06,14.46
2015-10-07,16.040001
2015-10-08,16.040001
2015-10-09,16.040001
2015-10-12,16.040001
2015-10-13,16.040001
2015-10-14,16.040001
2015-10-15,15.43
2015-10-16,14.75
2015-10-19,14.75
2015-10-20,14.75
2015-10-21,14.75
2015-10-22,14.75
2015-10-23,14.75
2015-10-26,14.75
2015-10-27,14.98
2015-10-28,14.98
