Date,XOM
1964-02-28,2.566406
1964-03-02,2.558594
1964-03-03,2.566406
1964-03-04,2.5625
1964-03-05,2.566406
1964-03-06,2.5625
1964-03-09,2.539063
1964-03-10,2.554688
1964-03-11,2.558594
1964-03-12,2.5625
1964-03-13,2.582031
1964-03-16,2.574219
1964-03-17,2.632813
1964-03-18,2.636719
1964-03-19,2.65625
1964-03-20,2.644531
1964-03-23,2.648438
1964-03-24,2.652344
1964-03-25,2.640625
1964-03-26,2.640625
1964-03-30,2.625
1964-03-31,2.625
1964-04-01,2.628906
1964-04-02,2.714844
1964-04-03,2.6875
1964-04-06,2.683594
1964-04-07,2.707031
1964-04-08,2.695313
1964-04-09,2.679688
1964-04-10,2.664063
1964-04-13,2.683594
1964-04-14,2.710938
1964-04-15,2.695313
1964-04-16,2.691406
1964-04-17,2.703125
1964-04-20,2.695313
1964-04-21,2.699219
1964-04-22,2.679688
1964-04-23,2.699219
1964-04-24,2.660156
1964-04-27,2.648438
1964-04-28,2.679688
1964-04-29,2.71875
1964-04-30,2.6875
1964-05-01,2.734375
1964-05-04,2.78125
1964-05-05,2.816406
1964-05-06,2.777344
1964-05-07,2.765625
1964-05-08,2.75
1964-05-11,2.753906
1964-05-12,2.761719
1964-05-13,2.75
1964-05-14,2.738281
1964-05-15,2.730469
1964-05-18,2.695313
1964-05-19,2.683594
1964-05-20,2.710938
1964-05-21,2.722656
1964-05-22,2.746094
1964-05-25,2.734375
1964-05-26,2.714844
1964-05-27,2.722656
1964-05-28,2.722656
1964-06-01,2.683594
1964-06-02,2.671875
1964-06-03,2.664063
1964-06-04,2.621094
1964-06-05,2.640625
1964-06-08,2.644531
1964-06-09,2.648438
1964-06-10,2.660156
1964-06-11,2.667969
1964-06-12,2.65625
1964-06-15,2.648438
1964-06-16,2.667969
1964-06-17,2.695313
1964-06-18,2.71875
1964-06-19,2.730469
1964-06-22,2.75
1964-06-23,2.742188
1964-06-24,2.726563
1964-06-25,2.734375
1964-06-26,2.730469
1964-06-29,2.710938
1964-06-30,2.71875
1964-07-01,2.753906
1964-07-02,2.773438
1964-07-06,2.804688
1964-07-07,2.808594
1964-07-08,2.796875
1964-07-09,2.789063
1964-07-10,2.800781
1964-07-13,2.757813
1964-07-14,2.734375
1964-07-15,2.765625
1964-07-16,2.773438
1964-07-17,2.773438
1964-07-20,2.769531
1964-07-21,2.75
1964-07-22,2.738281
1964-07-23,2.738281
1964-07-24,2.730469
1964-07-27,2.742188
1964-07-28,2.742188
1964-07-29,2.726563
1964-07-30,2.75
1964-07-31,2.765625
1964-08-03,2.75
1964-08-04,2.699219
1964-08-05,2.6875
