Date,DYN
2016-06-16,16.030001000000002
2016-06-17,16.92
2016-06-20,16.469998999999998
2016-06-21,16.690001000000002
2016-06-22,15.97
2016-06-23,16.379998999999998
2016-06-24,15.56
2016-06-27,14.62
2016-06-28,15.93
2016-06-29,17.030001000000002
2016-06-30,17.24
2016-07-01,17.1
2016-07-05,16.49
2016-07-06,16.559998999999998
2016-07-07,16.559998999999998
2016-07-08,17.120001000000002
2016-07-11,17.549999
2016-07-12,18.09
2016-07-13,17.91
2016-07-14,18.0
2016-07-15,17.98
2016-07-18,17.74
2016-07-19,16.799999
2016-07-20,16.709999
2016-07-21,16.42
2016-07-22,16.73
2016-07-25,16.459999
2016-07-26,16.68
2016-07-27,15.93
2016-07-28,15.97
2016-07-29,15.13
2016-08-01,14.86
2016-08-02,14.66
2016-08-03,15.26
2016-08-04,14.36
2016-08-05,13.96
2016-08-08,13.67
2016-08-09,12.61
2016-08-10,12.45
2016-08-11,12.38
2016-08-12,12.47
2016-08-15,12.72
2016-08-16,12.36
2016-08-17,12.34
2016-08-18,12.53
2016-08-19,12.14
2016-08-22,12.48
2016-08-23,13.13
2016-08-24,12.96
2016-08-25,12.85
2016-08-26,13.03
2016-08-29,13.0
2016-08-30,12.66
2016-08-31,12.67
2016-09-01,12.28
2016-09-02,12.47
2016-09-06,12.78
2016-09-07,13.25
2016-09-08,14.09
2016-09-09,13.26
2016-09-12,13.75
2016-09-13,12.3
2016-09-14,12.12
2016-09-15,12.36
2016-09-16,12.37
2016-09-19,12.54
2016-09-20,12.9
2016-09-21,13.11
2016-09-22,13.27
2016-09-23,12.97
2016-09-26,12.87
2016-09-27,12.69
2016-09-28,12.36
2016-09-29,12.04
2016-09-30,12.39
2016-10-03,13.13
2016-10-04,13.0
2016-10-05,13.08
2016-10-06,12.76
2016-10-07,12.86
2016-10-10,13.38
2016-10-11,12.7
2016-10-12,12.28
2016-10-13,12.61
2016-10-14,12.55
2016-10-17,12.51
2016-10-18,12.87
2016-10-19,13.37
2016-10-20,12.9
2016-10-21,12.47
2016-10-24,11.87
2016-10-25,11.42
2016-10-26,10.72
2016-10-27,10.79
2016-10-28,10.81
2016-10-31,10.65
2016-11-01,10.72
2016-11-02,7.34
2016-11-03,7.85
2016-11-04,8.31
2016-11-07,8.58
2016-11-08,8.61
2016-11-09,9.07
2016-11-10,8.38
2016-11-11,8.33
2016-11-14,8.77
2016-11-15,9.01
2016-11-16,9.09
2016-11-17,9.48
2016-11-18,9.22
2016-11-21,9.33
2016-11-22,8.86
2016-11-23,9.21
2016-11-25,9.17
2016-11-28,9.35
2016-11-29,8.95
2016-11-30,8.65
2016-12-01,8.17
2016-12-02,7.74
2016-12-05,8.3
2016-12-06,8.4
2016-12-07,8.12
2016-12-08,8.21
2016-12-09,8.98
2016-12-12,8.32
2016-12-13,8.52
2016-12-14,8.37
2016-12-15,8.41
2016-12-16,8.71
2016-12-19,8.6
2016-12-20,8.25
2016-12-21,8.35
2016-12-22,8.01
2016-12-23,8.31
2016-12-27,8.6
2016-12-28,8.46
2016-12-29,8.54
2016-12-30,8.46
2017-01-03,8.29
2017-01-04,8.89
2017-01-05,8.95
2017-01-06,9.24
2017-01-09,9.1
2017-01-10,9.32
2017-01-11,9.67
2017-01-12,9.48
2017-01-13,9.86
2017-01-17,10.42
2017-01-18,9.87
2017-01-19,9.7
2017-01-20,9.42
2017-01-23,9.09
2017-01-24,9.53
2017-01-25,9.97
2017-01-26,9.94
2017-01-27,9.5
2017-01-30,9.24
2017-01-31,9.55
2017-02-01,9.32
2017-02-02,9.6
2017-02-03,9.62
2017-02-06,9.1
2017-02-07,8.82
2017-02-08,8.7
2017-02-09,8.47
2017-02-10,8.75
2017-02-13,8.75
2017-02-14,8.62
2017-02-15,9.25
2017-02-16,9.2
2017-02-17,9.04
2017-02-21,9.12
2017-02-22,9.0
2017-02-23,8.78
2017-02-24,8.48
2017-02-27,8.32
2017-02-28,8.04
2017-03-01,8.02
2017-03-02,8.12
2017-03-03,8.29
2017-03-06,8.11
2017-03-07,7.8
2017-03-08,7.62
2017-03-09,7.76
2017-03-10,7.9
2017-03-13,7.5
2017-03-14,7.26
2017-03-15,7.31
2017-03-16,7.51
2017-03-17,7.3
2017-03-20,7.12
2017-03-21,7.29
2017-03-22,6.96
2017-03-23,7.05
2017-03-24,7.33
2017-03-27,7.55
2017-03-28,7.57
2017-03-29,7.69
2017-03-30,7.68
2017-03-31,7.86
2017-04-03,7.82
2017-04-04,7.98
2017-04-05,8.01
2017-04-06,8.06
2017-04-07,7.76
2017-04-10,7.91
2017-04-11,7.56
2017-04-12,7.43
2017-04-13,7.19
2017-04-17,7.05
2017-04-18,7.05
2017-04-19,6.47
2017-04-20,6.61
2017-04-21,6.38
2017-04-24,6.3
2017-04-25,6.19
2017-04-26,6.47
2017-04-27,6.29
2017-04-28,6.42
2017-05-01,6.63
2017-05-02,6.33
2017-05-03,6.02
2017-05-04,5.93
2017-05-05,6.47
2017-05-08,6.56
2017-05-09,6.4
2017-05-10,6.81
2017-05-11,7.03
2017-05-12,6.82
2017-05-15,6.99
2017-05-16,6.89
2017-05-17,7.0
2017-05-18,7.26
2017-05-19,9.12
2017-05-22,8.16
2017-05-23,8.18
2017-05-24,8.59
2017-05-25,8.65
2017-05-26,8.58
2017-05-30,8.39
2017-05-31,8.27
2017-06-01,8.4
2017-06-02,8.38
2017-06-05,8.2
2017-06-06,8.52
2017-06-07,8.07
2017-06-08,7.81
2017-06-09,8.04
