Date,COOP
2015-10-09,30.959999
2015-10-12,30.959999
2015-10-13,31.08
2015-10-14,30.0
2015-10-15,29.52
2015-10-16,30.0
2015-10-19,29.639999
2015-10-20,29.16
2015-10-21,29.280001000000002
2015-10-22,29.4
2015-10-23,29.280001000000002
2015-10-26,29.16
2015-10-27,28.799999
2015-10-28,28.440001000000002
2015-10-29,28.440001000000002
2015-10-30,28.08
2015-11-02,28.200001
2015-11-03,27.959999
2015-11-04,28.08
2015-11-05,28.32
2015-11-06,28.08
2015-11-09,28.200001
2015-11-10,27.959999
2015-11-11,28.200001
2015-11-12,27.719998999999998
2015-11-13,27.48
2015-11-16,28.200001
2015-11-17,28.440001000000002
2015-11-18,28.799999
2015-11-19,28.799999
2015-11-20,29.16
2015-11-23,28.559998999999998
2015-11-24,28.440001000000002
2015-11-25,29.280001000000002
2015-11-27,29.280001000000002
2015-11-30,29.4
2015-12-01,29.76
2015-12-02,29.16
2015-12-03,29.280001000000002
2015-12-04,29.040001
2015-12-07,30.84
2015-12-08,34.68
2015-12-09,33.959998999999996
2015-12-10,33.720001
2015-12-11,31.68
2015-12-14,31.68
2015-12-15,30.959999
2015-12-16,32.759997999999996
2015-12-17,33.360001000000004
2015-12-18,28.559998999999998
2015-12-21,28.200001
2015-12-22,29.040001
2015-12-23,29.52
2015-12-24,29.040001
2015-12-28,29.040001
2015-12-29,29.639999
2015-12-30,29.4
2015-12-31,31.08
2016-01-04,30.959999
2016-01-05,29.879998999999998
2016-01-06,29.52
2016-01-07,29.280001000000002
2016-01-08,28.92
2016-01-11,29.52
2016-01-12,28.799999
2016-01-13,28.32
2016-01-14,27.84
2016-01-15,27.48
2016-01-19,26.76
2016-01-20,25.68
2016-01-21,25.92
2016-01-22,27.0
2016-01-25,27.24
2016-01-26,27.48
2016-01-27,27.48
2016-01-28,27.24
2016-01-29,29.040001
2016-02-01,30.0
2016-02-02,29.76
2016-02-03,30.24
2016-02-04,30.24
2016-02-05,29.76
2016-02-08,28.799999
2016-02-09,28.68
2016-02-10,28.559998999999998
2016-02-11,27.959999
2016-02-12,28.200001
2016-02-16,28.200001
2016-02-17,28.08
2016-02-18,28.08
2016-02-19,28.68
2016-02-22,29.280001000000002
2016-02-23,29.280001000000002
2016-02-24,28.08
2016-02-25,28.32
2016-02-26,28.200001
2016-02-29,29.280001000000002
2016-03-01,28.440001000000002
2016-03-02,28.32
2016-03-03,27.959999
2016-03-04,27.6
2016-03-07,27.84
2016-03-08,27.360001
2016-03-09,27.84
2016-03-10,27.6
2016-03-11,27.959999
2016-03-14,27.719998999999998
2016-03-15,27.84
2016-03-16,27.84
2016-03-17,27.84
2016-03-18,28.200001
2016-03-21,28.440001000000002
2016-03-22,28.559998999999998
2016-03-23,28.200001
2016-03-24,27.959999
2016-03-28,28.200001
2016-03-29,27.959999
2016-03-30,27.719998999999998
2016-03-31,28.08
2016-04-01,27.719998999999998
2016-04-04,28.08
2016-04-05,28.200001
2016-04-06,28.200001
2016-04-07,27.959999
2016-04-08,27.959999
2016-04-11,27.719998999999998
2016-04-12,28.200001
2016-04-13,27.84
2016-04-14,27.84
2016-04-15,27.360001
2016-04-18,27.360001
2016-04-19,27.48
2016-04-20,27.360001
2016-04-21,27.24
2016-04-22,27.360001
2016-04-25,27.6
2016-04-26,27.24
2016-04-27,26.280001000000002
2016-04-28,25.92
2016-04-29,26.76
2016-05-02,27.0
2016-05-03,27.120001000000002
2016-05-04,27.48
2016-05-05,27.48
2016-05-06,27.360001
2016-05-09,27.48
2016-05-10,27.48
2016-05-11,27.6
2016-05-12,27.48
2016-05-13,27.719998999999998
2016-05-16,28.440001000000002
2016-05-17,28.559998999999998
2016-05-18,28.559998999999998
