Date,MURGF
2012-02-14,139.600006
2012-02-15,141.300003
2012-02-16,140.850006
2012-02-17,144.649994
2012-02-21,145.300003
2012-02-22,142.699997
2012-02-23,145.5
2012-02-24,147.300003
2012-02-27,146.350006
2012-02-28,149.100006
2012-02-29,147.199997
2012-03-01,146.850006
2012-03-02,143.300003
2012-03-05,143.699997
2012-03-06,137.550003
2012-03-07,137.550003
2012-03-08,137.550003
2012-03-09,142.059998
2012-03-12,142.949997
2012-03-13,146.399994
2012-03-14,146.110001
2012-03-15,150.300003
2012-03-16,153.699997
2012-03-19,153.199997
2012-03-20,151.399994
2012-03-21,152.259995
2012-03-22,152.259995
2012-03-23,152.619995
2012-03-26,156.850006
2012-03-27,155.550003
2012-03-28,153.300003
2012-03-29,150.949997
2012-03-30,150.449997
2012-04-02,152.850006
2012-04-03,152.850006
2012-04-04,146.5
2012-04-05,145.199997
2012-04-09,144.899994
2012-04-10,141.649994
2012-04-11,145.649994
2012-04-12,147.53999299999998
2012-04-13,146.179993
2012-04-16,144.28999299999998
2012-04-17,150.169998
2012-04-18,148.080002
2012-04-19,149.0
2012-04-20,151.399994
2012-04-23,147.940002
2012-04-24,150.25
2012-04-25,151.25
2012-04-26,154.850006
2012-04-27,146.449997
2012-04-30,144.800003
2012-05-01,147.399994
2012-05-02,143.08999599999999
2012-05-03,140.399994
2012-05-04,140.449997
2012-05-07,140.800003
2012-05-08,136.899994
2012-05-09,135.850006
2012-05-10,137.600006
2012-05-11,137.600006
2012-05-14,137.600006
2012-05-15,137.600006
2012-05-16,130.869995
2012-05-17,129.300003
2012-05-18,130.190002
2012-05-21,130.190002
2012-05-22,133.199997
2012-05-23,127.57
2012-05-24,129.0
2012-05-25,129.0
2012-05-29,126.93
2012-05-30,124.540001
2012-05-31,123.940002
2012-06-01,121.0
2012-06-04,120.010002
2012-06-05,121.400002
2012-06-06,126.050003
2012-06-07,126.699997
2012-06-08,126.699997
2012-06-11,127.800003
2012-06-12,125.860001
2012-06-13,125.860001
2012-06-14,128.850006
2012-06-15,132.28999299999998
2012-06-18,132.28999299999998
2012-06-19,132.28999299999998
2012-06-20,136.449997
2012-06-21,133.050003
2012-06-22,132.21000700000002
2012-06-25,130.050003
2012-06-26,131.21000700000002
2012-06-27,133.610001
2012-06-28,132.33999599999999
2012-06-29,139.759995
2012-07-02,139.759995
2012-07-03,143.16000400000001
2012-07-05,139.75
2012-07-06,139.75
2012-07-09,139.75
2012-07-10,138.0
2012-07-11,138.0
2012-07-12,136.71000700000002
2012-07-13,139.009995
2012-07-16,139.899994
2012-07-17,139.899994
2012-07-18,142.809998
2012-07-19,143.899994
2012-07-20,143.899994
2012-07-23,133.300003
2012-07-24,131.25
2012-07-25,131.899994
2012-07-26,140.600006
2012-07-27,143.08999599999999
2012-07-30,143.08999599999999
2012-07-31,141.509995
2012-08-01,142.0
2012-08-02,143.490005
2012-08-03,146.399994
2012-08-06,144.5
2012-08-07,144.5
2012-08-08,146.259995
2012-08-09,145.46000700000002
2012-08-10,145.46000700000002
2012-08-13,147.100006
2012-08-14,147.100006
2012-08-15,145.759995
2012-08-16,147.300003
2012-08-17,146.360001
2012-08-20,147.300003
2012-08-21,148.71000700000002
2012-08-22,148.71000700000002
2012-08-23,145.91000400000001
2012-08-24,145.91000400000001
2012-08-27,147.399994
2012-08-28,146.059998
2012-08-29,146.100006
2012-08-30,145.600006
2012-08-31,145.600006
2012-09-04,147.71000700000002
2012-09-05,148.699997
2012-09-06,151.179993
2012-09-07,154.5
2012-09-10,154.949997
2012-09-11,155.199997
2012-09-12,155.199997
2012-09-13,157.759995
2012-09-14,162.270004
2012-09-17,162.270004
2012-09-18,161.240005
2012-09-19,160.0
2012-09-20,160.389999
2012-09-21,161.869995
2012-09-24,161.869995
2012-09-25,162.53999299999998
2012-09-26,157.509995
2012-09-27,157.509995
2012-09-28,155.559998
2012-10-01,158.899994
2012-10-02,160.5
2012-10-03,159.679993
2012-10-04,160.759995
2012-10-05,160.759995
2012-10-08,158.880005
2012-10-09,158.880005
2012-10-10,157.059998
2012-10-11,158.559998
2012-10-12,159.509995
2012-10-15,159.509995
2012-10-16,166.25
2012-10-17,168.610001
2012-10-18,168.610001
2012-10-19,164.080002
2012-10-22,166.33999599999999
2012-10-23,163.149994
2012-10-24,161.199997
2012-10-25,162.0
2012-10-26,161.399994
2012-10-31,162.449997
2012-11-01,161.449997
2012-11-02,160.649994
2012-11-05,161.399994
2012-11-06,163.5
2012-11-07,164.33999599999999
2012-11-08,161.259995
2012-11-09,160.559998
2012-11-12,161.149994
2012-11-13,162.050003
2012-11-14,163.919998
2012-11-15,161.800003
2012-11-16,159.889999
2012-11-19,162.139999
2012-11-20,164.100006
2012-11-21,163.110001
2012-11-23,168.16000400000001
2012-11-26,168.16000400000001
2012-11-27,169.100006
2012-11-28,169.100006
2012-11-29,169.699997
2012-11-30,170.360001
2012-12-03,170.360001
2012-12-04,170.360001
2012-12-05,172.699997
2012-12-06,172.699997
2012-12-07,173.100006
2012-12-10,173.199997
2012-12-11,174.25
2012-12-12,174.25
2012-12-13,178.25
2012-12-14,178.279999
2012-12-17,176.399994
2012-12-18,180.46000700000002
2012-12-19,180.949997
2012-12-20,181.0
2012-12-21,181.949997
2012-12-24,180.600006
2012-12-26,179.949997
2012-12-27,180.830002
2012-12-28,180.0
2012-12-31,181.0
2013-01-02,181.0
2013-01-03,180.25
2013-01-04,180.899994
2013-01-07,181.699997
2013-01-08,177.550003
2013-01-09,177.25
2013-01-10,179.699997
2013-01-11,181.199997
2013-01-14,183.350006
2013-01-15,180.550003
2013-01-16,174.949997
2013-01-17,178.5
2013-01-18,179.240005
2013-01-22,179.600006
2013-01-23,179.600006
2013-01-24,179.5
2013-01-25,182.199997
2013-01-28,182.800003
2013-01-29,182.600006
2013-01-30,182.300003
2013-01-31,184.350006
2013-02-01,186.550003
2013-02-04,180.699997
2013-02-05,188.919998
2013-02-06,185.649994
2013-02-07,180.520004
2013-02-08,180.550003
2013-02-11,181.5
2013-02-12,183.100006
2013-02-13,181.130005
2013-02-14,179.270004
2013-02-15,178.5
2013-02-19,182.899994
2013-02-20,180.0
2013-02-21,175.0
2013-02-22,180.449997
2013-02-25,179.300003
2013-02-26,176.100006
2013-02-27,177.559998
2013-02-28,180.5
2013-03-01,179.0
2013-03-04,178.649994
2013-03-05,183.100006
2013-03-06,186.28999299999998
2013-03-07,191.270004
2013-03-08,188.91000400000001
2013-03-11,188.91000400000001
2013-03-12,188.91000400000001
2013-03-13,188.5
2013-03-14,191.449997
2013-03-15,196.020004
2013-03-18,193.320007
2013-03-19,190.5
2013-03-20,193.0
2013-03-21,189.399994
2013-03-22,194.029999
2013-03-25,189.699997
2013-03-26,189.949997
2013-03-27,187.149994
2013-03-28,188.5
2013-04-01,187.050003
2013-04-02,195.100006
2013-04-03,193.399994
2013-04-04,193.399994
2013-04-05,193.91000400000001
2013-04-08,193.550003
2013-04-09,196.380005
2013-04-10,196.380005
2013-04-11,201.300003
2013-04-12,200.699997
2013-04-15,198.149994
2013-04-16,200.699997
2013-04-17,200.699997
2013-04-18,193.21000700000002
2013-04-19,194.809998
2013-04-22,195.949997
2013-04-23,201.5
2013-04-24,203.25
2013-04-25,206.699997
2013-04-26,194.919998
2013-04-29,198.020004
2013-04-30,200.399994
2013-05-01,198.16000400000001
2013-05-02,194.050003
2013-05-03,197.490005
2013-05-06,193.559998
2013-05-07,195.71000700000002
2013-05-08,199.800003
2013-05-09,198.429993
2013-05-10,196.970001
2013-05-13,196.970001
2013-05-14,197.300003
2013-05-15,194.899994
2013-05-16,193.399994
2013-05-17,192.600006
2013-05-20,191.330002
2013-05-21,191.199997
2013-05-22,189.639999
2013-05-23,188.279999
2013-05-24,186.100006
2013-05-28,190.320007
2013-05-29,186.100006
2013-05-30,190.860001
2013-05-31,187.669998
2013-06-03,185.100006
2013-06-04,185.100006
2013-06-05,183.0
2013-06-06,183.399994
2013-06-07,189.360001
2013-06-10,188.880005
2013-06-11,188.800003
2013-06-12,188.300003
2013-06-13,190.600006
2013-06-14,188.800003
2013-06-17,192.820007
2013-06-18,193.100006
2013-06-19,193.75
2013-06-20,183.800003
2013-06-21,183.800003
2013-06-24,181.050003
2013-06-25,183.050003
2013-06-26,183.050003
2013-06-27,185.199997
2013-06-28,185.199997
2013-07-01,186.919998
2013-07-02,178.600006
2013-07-03,180.169998
2013-07-05,178.050003
2013-07-08,181.949997
2013-07-09,181.949997
2013-07-10,184.199997
2013-07-11,189.0
2013-07-12,189.0
2013-07-15,190.699997
2013-07-16,190.699997
2013-07-17,190.699997
2013-07-18,192.720001
2013-07-19,194.5
2013-07-22,195.100006
2013-07-23,193.75
2013-07-24,195.300003
2013-07-25,198.800003
2013-07-26,197.75
2013-07-29,197.050003
2013-07-30,196.899994
2013-07-31,198.699997
2013-08-01,200.300003
2013-08-02,201.100006
2013-08-05,201.949997
2013-08-06,191.800003
2013-08-07,192.350006
2013-08-08,192.399994
2013-08-09,192.850006
2013-08-12,190.869995
2013-08-13,190.869995
2013-08-14,190.639999
2013-08-15,189.470001
2013-08-16,189.940002
2013-08-19,190.5
2013-08-20,191.300003
2013-08-21,190.899994
2013-08-22,191.350006
2013-08-23,192.600006
2013-08-26,193.699997
2013-08-27,189.820007
2013-08-28,187.449997
2013-08-29,184.699997
2013-08-30,181.699997
2013-09-03,179.800003
2013-09-04,179.179993
2013-09-05,178.699997
2013-09-06,177.619995
2013-09-09,185.800003
2013-09-10,188.300003
2013-09-11,188.399994
2013-09-12,188.5
2013-09-13,192.199997
2013-09-16,192.199997
2013-09-17,195.240005
2013-09-18,195.75
2013-09-19,194.100006
2013-09-20,196.25
2013-09-23,196.0
2013-09-24,196.0
2013-09-25,196.0
2013-09-26,196.550003
2013-09-27,196.550003
2013-09-30,195.149994
2013-10-01,196.979996
2013-10-02,196.979996
2013-10-03,196.889999
2013-10-04,196.889999
2013-10-07,195.139999
2013-10-08,193.380005
2013-10-09,192.199997
2013-10-10,195.58999599999999
2013-10-11,195.58999599999999
2013-10-14,196.850006
2013-10-15,196.360001
2013-10-16,196.71000700000002
2013-10-17,200.0
2013-10-18,200.25
2013-10-21,200.169998
2013-10-22,205.830002
