Date,SNA
1976-03-08,5.3333330000000005
1976-03-09,5.2916669999999995
1976-03-10,5.0833330000000005
1976-03-11,4.9583330000000005
1976-03-12,4.9166669999999995
1976-03-15,4.875
1976-03-16,4.9166669999999995
1976-03-17,4.9583330000000005
1976-03-18,4.9166669999999995
1976-03-19,4.9166669999999995
1976-03-22,4.9583330000000005
1976-03-23,5.125
1976-03-24,5.0
1976-03-25,4.9583330000000005
1976-03-26,5.0
1976-03-29,5.0833330000000005
1976-03-30,5.1666669999999995
1976-03-31,5.2083330000000005
1976-04-01,5.3333330000000005
1976-04-02,5.4166669999999995
1976-04-05,5.4583330000000005
1976-04-06,5.4166669999999995
1976-04-07,5.3333330000000005
1976-04-08,5.3333330000000005
1976-04-09,5.2916669999999995
1976-04-12,5.2916669999999995
1976-04-13,5.25
1976-04-14,5.3333330000000005
1976-04-15,5.4166669999999995
1976-04-19,5.5416669999999995
1976-04-20,5.5833330000000005
1976-04-21,5.625
1976-04-22,5.625
1976-04-23,5.625
1976-04-26,5.5833330000000005
1976-04-27,5.5416669999999995
1976-04-28,5.625
1976-04-29,5.75
1976-04-30,5.75
1976-05-03,5.7083330000000005
1976-05-04,5.7083330000000005
1976-05-05,5.75
1976-05-06,5.75
1976-05-07,5.7083330000000005
1976-05-10,5.7916669999999995
1976-05-11,5.6666669999999995
1976-05-12,5.6666669999999995
1976-05-13,5.6666669999999995
1976-05-14,5.7916669999999995
1976-05-17,5.7916669999999995
1976-05-18,5.7916669999999995
1976-05-19,5.7916669999999995
1976-05-20,5.7916669999999995
1976-05-21,5.8333330000000005
1976-05-24,5.875
1976-05-25,5.875
1976-05-26,5.9166669999999995
1976-05-27,5.875
1976-05-28,5.875
1976-06-01,5.7916669999999995
1976-06-02,5.6666669999999995
1976-06-03,5.5416669999999995
1976-06-04,5.5416669999999995
1976-06-07,5.5
1976-06-08,5.5416669999999995
1976-06-09,5.5416669999999995
1976-06-10,5.5833330000000005
1976-06-11,5.625
1976-06-14,5.6666669999999995
1976-06-15,5.5416669999999995
1976-06-16,5.5416669999999995
1976-06-17,5.5416669999999995
1976-06-18,5.625
1976-06-21,5.5833330000000005
1976-06-22,5.5833330000000005
1976-06-23,5.5833330000000005
1976-06-24,5.5833330000000005
1976-06-25,5.5833330000000005
1976-06-28,5.625
1976-06-29,5.6666669999999995
1976-06-30,5.5833330000000005
1976-07-01,5.5416669999999995
1976-07-02,5.5
1976-07-06,5.5
1976-07-07,5.5
1976-07-08,5.5416669999999995
1976-07-09,5.5416669999999995
1976-07-12,5.5833330000000005
1976-07-13,5.5833330000000005
1976-07-14,5.5833330000000005
1976-07-15,5.5833330000000005
1976-07-16,5.5416669999999995
1976-07-19,5.5416669999999995
1976-07-20,5.5416669999999995
1976-07-21,5.7083330000000005
1976-07-22,5.7083330000000005
1976-07-23,5.6666669999999995
1976-07-26,5.6666669999999995
1976-07-27,5.625
1976-07-28,5.6666669999999995
1976-07-29,5.6666669999999995
1976-07-30,5.7083330000000005
1976-08-02,5.75
1976-08-03,5.8333330000000005
1976-08-04,5.7916669999999995
1976-08-05,5.7916669999999995
1976-08-06,5.875
1976-08-09,5.875
1976-08-10,6.0416669999999995
1976-08-11,5.875
1976-08-12,5.9166669999999995
1976-08-13,5.8333330000000005
1976-08-16,5.875
1976-08-17,5.8333330000000005
1976-08-18,5.4583330000000005
1976-08-19,5.375
1976-08-20,5.4166669999999995
1976-08-23,5.375
1976-08-24,5.3333330000000005
1976-08-25,5.3333330000000005
1976-08-26,5.0833330000000005
1976-08-27,5.0416669999999995
1976-08-30,5.0833330000000005
1976-08-31,5.125
1976-09-01,5.125
1976-09-02,5.1666669999999995
1976-09-03,5.2916669999999995
1976-09-07,5.3333330000000005
1976-09-08,5.2916669999999995
1976-09-09,5.3333330000000005
1976-09-10,5.4166669999999995
1976-09-13,5.4583330000000005
1976-09-14,5.375
1976-09-15,5.5
1976-09-16,5.5
1976-09-17,5.5
1976-09-20,5.3333330000000005
1976-09-21,5.4166669999999995
1976-09-22,5.5
1976-09-23,5.5416669999999995
1976-09-24,5.5833330000000005
1976-09-27,5.5416669999999995
1976-09-28,5.4166669999999995
1976-09-29,5.375
1976-09-30,5.375
1976-10-01,5.375
1976-10-04,5.3333330000000005
1976-10-05,5.3333330000000005
1976-10-06,5.1666669999999995
1976-10-07,5.2083330000000005
1976-10-08,5.2916669999999995
1976-10-11,5.3333330000000005
1976-10-12,5.3333330000000005
1976-10-13,5.4166669999999995
1976-10-14,5.4166669999999995
1976-10-15,5.4166669999999995
1976-10-18,5.4583330000000005
1976-10-19,5.4583330000000005
1976-10-20,5.5
1976-10-21,5.4583330000000005
1976-10-22,5.4166669999999995
1976-10-25,5.4166669999999995
1976-10-26,5.4583330000000005
1976-10-27,5.4583330000000005
1976-10-28,5.4583330000000005
1976-10-29,5.4583330000000005
1976-11-01,5.4583330000000005
1976-11-03,5.4166669999999995
1976-11-04,5.4166669999999995
1976-11-05,5.4166669999999995
1976-11-08,5.3333330000000005
1976-11-09,5.2916669999999995
1976-11-10,5.2916669999999995
1976-11-11,5.2916669999999995
1976-11-12,5.2916669999999995
1976-11-15,5.2916669999999995
1976-11-16,5.3333330000000005
1976-11-17,5.3333330000000005
1976-11-18,5.5
1976-11-19,5.4583330000000005
1976-11-22,5.5
1976-11-23,5.4583330000000005
1976-11-24,5.5
1976-11-26,5.5
1976-11-29,5.5
1976-11-30,5.4166669999999995
1976-12-01,5.5416669999999995
1976-12-02,5.625
1976-12-03,5.625
1976-12-06,5.625
1976-12-07,5.6666669999999995
1976-12-08,5.7083330000000005
1976-12-09,5.7916669999999995
1976-12-10,5.7916669999999995
1976-12-13,5.75
1976-12-14,5.6666669999999995
1976-12-15,5.7083330000000005
1976-12-16,5.6666669999999995
1976-12-17,5.5833330000000005
1976-12-20,5.5833330000000005
1976-12-21,5.5833330000000005
1976-12-22,5.625
1976-12-23,5.625
1976-12-27,5.625
1976-12-28,5.6666669999999995
1976-12-29,5.625
1976-12-30,5.625
1976-12-31,5.625
1977-01-03,5.625
1977-01-04,5.625
1977-01-05,5.625
1977-01-06,5.625
1977-01-07,5.625
1977-01-10,5.625
1977-01-11,5.5416669999999995
1977-01-12,5.5416669999999995
1977-01-13,5.5416669999999995
1977-01-14,5.5416669999999995
1977-01-17,5.4583330000000005
1977-01-18,5.4583330000000005
1977-01-19,5.4583330000000005
1977-01-20,5.4583330000000005
1977-01-21,5.4583330000000005
1977-01-24,5.3333330000000005
1977-01-25,5.0416669999999995
1977-01-26,5.0
1977-01-27,4.9583330000000005
1977-01-28,4.9166669999999995
1977-01-31,4.875
1977-02-01,4.625
1977-02-02,4.75
1977-02-03,4.7083330000000005
1977-02-04,4.7916669999999995
1977-02-07,4.75
1977-02-08,4.75
1977-02-09,4.75
1977-02-10,4.7916669999999995
1977-02-11,4.7916669999999995
1977-02-14,4.875
1977-02-15,4.9166669999999995
1977-02-16,5.0833330000000005
1977-02-17,5.0833330000000005
1977-02-18,5.0
1977-02-22,5.0
